Instrument
AMZN
BJK
BSV
BWX
BZF
CGW
COW
CWI
CYB
DBA
DBB
DBC
DBV
DIA
ECH
EEB
EEM
EFA
EFG
EFV
EMB
EPP
EWA
EWC
EWD
EWG
EWH
EWJ
EWK
EWL
EWM
EWN
EWO
EWP
EWQ
EWS
EWT
EWU
EWW
EWY
EWZ
EXI
EZA
FNI
FXA
FXB
FXC
FXE
FXF
FXI
FXS
FXY
GLD
GNR
GXC
HYG
IAI
IEF
IEI
IEV
IFGL
IFN
IGN
IGV
IHE
IJJ
IJK
IJS
IJT
ILF
INDA
INR
ITA
ITB
IWC
IWM
IXC
IXG
IXJ
IXN
IYH
IYR
IYT
IYZ
JXI
JYN
KIE
KOL
KRE
KXI
LQD
MDY
MOO
OIH
PBJ
PBS
PGJ
PST
PZI
QQQ
RSX
RWR
RWX
RXI
SCHH
SHY
SLV
SLX
SMH
SPHD
SPY
TAO
THD
TIP
TLH
TLT
UDN
UNG
USO
UUP
VEA
VNQ
VNQI
VTI
VXX
WOOD
XBI
XLB
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
XME
XOP
XRT
