Date,IGV_Open,IGV_High,IGV_Low,IGV_Close,IGV_Volume,IGV_ATRPercentOfClose20,IGV_SQN25,IGV_SQN50,IGV_SQN100,IGV_SQN200,IGV_MACD,IGV_MACD_Avg,IGV_MACD_Diff,IGV_LinReg10,IGV_LinReg30,IGV_LinReg90,IGV_LinReg270
1/3/2017, 109.32, 110.37, 109.29, 110, 46543, 0, 0, 0, 0, 0, 0, 0, 0, 110, 110, 110, 110
1/4/2017, 110.19, 111.85, 110.19, 111.59, 128054, 0, 0, 0, 0, 0, 0.126837606837611, 0.0253675213675223, 0.101470085470089, 111.59, 111.59, 111.59, 111.59
1/5/2017, 111.46, 112.26, 111.41, 111.82, 18007, 0, 0, 0, 0, 0, 0.243113935763503, 0.0689168042467185, 0.174197131516785, 112.046666666667, 112.046666666667, 112.046666666667, 112.046666666667
1/6/2017, 111.88, 113.08, 111.56, 112.93, 60627, 0, 0, 0, 0, 0, 0.41999010303293, 0.139131464003961, 0.280858639028969, 112.938, 112.938, 112.938, 112.938
1/9/2017, 112.86, 113.13, 112.52, 112.93, 97972, 0, 0, 0, 0, 0, 0.553782084762162, 0.222061588155601, 0.331720496606561, 113.294, 113.294, 113.294, 113.294
1/10/2017, 112.95, 113.44, 112.42, 113.04, 37361, 0, 0, 0, 0, 0, 0.661068884296327, 0.309863047383746, 0.351205836912581, 113.50380952381, 113.50380952381, 113.50380952381, 113.50380952381
1/11/2017, 112.97, 114.47, 112.97, 114.47, 50425, 0, 0, 0, 0, 0, 0.851666019153058, 0.418223641737609, 0.433442377415449, 114.263571428571, 114.263571428571, 114.263571428571, 114.263571428571
1/12/2017, 113.96, 114.3, 112.65, 114.19, 65767, 0, 0, 0, 0, 0, 0.968952480717121, 0.528369409533511, 0.44058307118361, 114.595833333333, 114.595833333333, 114.595833333333, 114.595833333333
1/13/2017, 114.14, 114.79, 114.14, 114.74, 26964, 0, 0, 0, 0, 0, 1.09367603344434, 0.641430734315677, 0.452245299128662, 115.001333333333, 115.001333333333, 115.001333333333, 115.001333333333
1/17/2017, 114.53, 114.53, 113.36, 113.57, 47550, 0, 0, 0, 0, 0, 1.08559703876116, 0.730263995204774, 0.35533304355639, 114.857818181818, 114.857818181818, 114.857818181818, 114.857818181818
1/18/2017, 113.66, 114.15, 113.61, 114.09, 109468, 0, 0, 0, 0, 0, 1.10837734732833, 0.805886665629485, 0.302490681698843, 114.673636363636, 114.905909090909, 114.905909090909, 114.905909090909
1/19/2017, 114.09, 114.59, 113.73, 114.03, 255845, 0, 0, 0, 0, 0, 1.10880776176326, 0.86647088485624, 0.242336876907019, 114.563636363636, 114.911666666667, 114.911666666667, 114.911666666667
1/20/2017, 114.43, 114.89, 114.31, 114.79, 80677, 0, 0, 0, 0, 0, 1.15713577578762, 0.924603863042517, 0.232531912745106, 114.629090909091, 115.114945054945, 115.114945054945, 115.114945054945
1/23/2017, 114.66, 115.27, 114.15, 114.77, 191819, 0, 0, 0, 0, 0, 1.18021743035615, 0.975726576505244, 0.204490853850908, 114.747636363636, 115.257714285714, 115.257714285714, 115.257714285714
1/24/2017, 115.04, 116.62, 114.92, 116.4, 148839, 0, 0, 0, 0, 0, 1.31488006649553, 1.0435572745033, 0.271322791992231, 115.328909090909, 115.755833333333, 115.755833333333, 115.755833333333
1/25/2017, 117, 117.6, 116.85, 117.3, 183836, 0, 0, 0, 0, 0, 1.47719546442244, 1.13028491248713, 0.346910551935308, 116.053818181818, 116.350294117647, 116.350294117647, 116.350294117647
1/26/2017, 117.64, 117.8, 116.42, 116.72, 74475, 0, 0, 0, 0, 0, 1.54126370536891, 1.21248067106348, 0.328783034305421, 116.632, 116.697647058824, 116.697647058824, 116.697647058824
1/27/2017, 117.09, 117.29, 116.95, 117.27, 155995, 0, 0, 0, 0, 0, 1.61777000576436, 1.29353853800366, 0.324231467760698, 117.221454545455, 117.086608187135, 117.086608187135, 117.086608187135
1/30/2017, 116.95, 116.97, 115.73, 116.97, 61633, 0, 0, 0, 0, 0, 1.63534309005406, 1.36189944841374, 0.273443641640325, 117.649272727273, 117.342368421053, 117.342368421053, 117.342368421053
1/31/2017, 116.74, 117.19, 116.18, 117.17, 112344, 0, 0, 0, 0, 0, 1.64642920349981, 1.41880539943095, 0.227623804068853, 117.790545454546, 117.586, 117.586, 117.586
2/1/2017, 117.38, 117.38, 115.95, 116.46, 88092, 0, 0, 0, 0, 0, 1.57971400231344, 1.45098712000745, 0.128726882305987, 117.594181818182, 117.658571428571, 117.658571428571, 117.658571428571
2/2/2017, 116.2, 117.45, 115.74, 117.37, 97287, 1.02460701201329, 0, 0, 0, 0, 1.58203441161399, 1.47719657832876, 0.104837833285231, 117.570909090909, 117.868735177866, 117.868735177866, 117.868735177866
2/3/2017, 118, 118.82, 118, 118.64, 47558, 1.02406624030681, 0, 0, 0, 0, 1.66713405523562, 1.51518407371013, 0.15194998152549, 117.956181818182, 118.249891304348, 118.249891304348, 118.249891304348
2/6/2017, 118.42, 118.42, 117.88, 118.28, 74404, 1.00795111441072, 0, 0, 0, 0, 1.68609093778549, 1.5493654465252, 0.13672549126029, 118.003090909091, 118.516233333333, 118.516233333333, 118.516233333333
2/7/2017, 118.56, 118.94, 118.21, 118.62, 38964, 0.985579454745194, 0, 0, 0, 0, 1.70885099177433, 1.58126255557503, 0.127588436199298, 118.302, 118.792953846154, 118.792953846154, 118.792953846154
