Date,VNQI_Open,VNQI_High,VNQI_Low,VNQI_Close,VNQI_Volume,VNQI_ATRPercentOfClose20,VNQI_SQN25,VNQI_SQN50,VNQI_SQN100,VNQI_SQN200,VNQI_MACD,VNQI_MACD_Avg,VNQI_MACD_Diff,VNQI_LinReg10,VNQI_LinReg30,VNQI_LinReg90,VNQI_LinReg270
2/16/2017, 52.49, 52.57, 52.38, 52.55, 356842, 0.632052426320516, 1.32979725964637, 0, 0, 0, 0.498724558900072, 0.418998869584358, 0.0797256893157147, 52.6787272727271, 52.2041075268817, 52.2341477272727, 52.2341477272727
2/17/2017, 52.3, 52.46, 52.28, 52.43, 345238, 0.627572711290978, 1.55924504575133, 0, 0, 0, 0.492559308306213, 0.433710957328729, 0.058848350977484, 52.686909090909, 52.3216774193549, 52.3102673796791, 52.3102673796791
2/21/2017, 52.42, 52.57, 52.35, 52.55, 1447484, 0.615765088303266, 1.63353175911166, 0, 0, 0, 0.491688421848842, 0.445306450232751, 0.0463819716160907, 52.6523636363635, 52.442688172043, 52.3915294117647, 52.3915294117647
2/22/2017, 52.7, 52.79, 52.57, 52.78, 861251, 0.605163558560436, 1.89674020579418, 0, 0, 0, 0.503750394888243, 0.45699523916385, 0.0467551557243934, 52.6716363636363, 52.5766666666667, 52.4893333333333, 52.4893333333333
2/23/2017, 52.99, 53.07, 52.87, 52.98, 235586, 0.60010392581689, 2.0812919843589, 0, 0, 0, 0.523414329379065, 0.470279057206893, 0.0531352721721723, 52.7916363636363, 52.7316774193549, 52.5984684684685, 52.5984684684685
2/24/2017, 52.8, 52.9, 52.72, 52.88, 258541, 0.595760792176435, 2.53658407911775, 0, 0, 0, 0.52487850222083, 0.48119894620968, 0.0436795560111493, 52.8839999999999, 52.8657419354839, 52.6864295874822, 52.6864295874822
2/27/2017, 52.74, 52.74, 52.55, 52.62, 392496, 0.600126171717511, 2.03096309036051, 0, 0, 0, 0.499303384051608, 0.484819833778066, 0.014483550273542, 52.8701818181817, 52.9362580645162, 52.7394331983805, 52.7394331983805
2/28/2017, 52.63, 52.73, 52.55, 52.6, 396901, 0.587446904904689, 1.69068570525346, 0, 0, 0, 0.471980389656331, 0.482251944953719, -0.0102715552973881, 52.8045454545454, 52.9954838709678, 52.7850769230769, 52.7850769230769
3/1/2017, 52.6, 52.92, 52.57, 52.8, 379620, 0.589104580266805, 1.74655141408719, 0, 0, 0, 0.461149207270786, 0.478031397417132, -0.0168821901463461, 52.798909090909, 53.0657204301076, 52.8453658536586, 52.8453658536586
3/2/2017, 52.3, 52.35, 52.09, 52.1, 321334, 0.635306828141707, 0.749639480480503, 0, 0, 0, 0.391567520703525, 0.460738622074411, -0.0691711013708858, 52.5801818181817, 53.0344946236559, 52.8340766550523, 52.8340766550523
3/3/2017, 52.05, 52.3, 52.02, 52.25, 294611, 0.628603090121985, 1.0374236711581, 0, 0, 0, 0.344555458342249, 0.437501989327979, -0.0929465309857293, 52.4334545454545, 52.9908387096774, 52.8367995570321, 52.8367995570321
3/6/2017, 52.22, 52.23, 52.08, 52.2, 560767, 0.614028465247702, 1.07625814603102, 0, 0, 0, 0.299807484032499, 0.409963088268883, -0.110155604236384, 52.2618181818181, 52.9361505376344, 52.8341649048626, 52.8341649048626
3/7/2017, 52.07, 52.2, 52.05, 52.09, 779591, 0.598957028059773, 1.0690950603551, 0, 0, 0, 0.252556991521644, 0.378481868919435, -0.125924877397791, 52.0887272727271, 52.8844516129032, 52.8214545454545, 52.8214545454545
3/8/2017, 52.08, 52.14, 51.83, 51.83, 330500, 0.601769014317035, 0.525783663355322, 0, 0, 0, 0.191918491787817, 0.341169193493111, -0.149250701705294, 51.8969090909089, 52.8013978494624, 52.7867729468599, 52.7867729468599
3/9/2017, 51.85, 51.88, 51.66, 51.8, 196455, 0.593247173966204, 0.397804810643526, 0, 0, 0, 0.139829427987387, 0.300901240391966, -0.16107181240458, 51.7865454545453, 52.7153548387097, 52.7516003700277, 52.7516003700277
3/10/2017, 51.98, 52.05, 51.86, 52.04, 248513, 0.585005638564122, 0.593036526176262, 0, 0, 0, 0.116570709306274, 0.264035134174828, -0.147464424868554, 51.8034545454544, 52.6439569892474, 52.7382712765957, 52.7382712765957
3/13/2017, 52.25, 52.42, 52.25, 52.39, 831369, 0.588309004759173, 0.647267289596255, 0, 0, 0, 0.12493985325348, 0.236216077990558, -0.111276224737078, 51.9350909090907, 52.6044516129033, 52.7536989795918, 52.7536989795918
3/14/2017, 52.05, 52.08, 51.94, 51.99, 206221, 0.606471116010125, 0.466030965272878, 0, 0, 0, 0.0981642269642222, 0.208605707785291, -0.110441480821069, 51.9370909090907, 52.4981720430108, 52.7359346938776, 52.7359346938776
3/15/2017, 52.13, 52.94, 52.13, 52.91, 313061, 0.65590458618972, 0.865011288763695, 0, 0, 0, 0.149457804920338, 0.196776127212301, -0.0473183222919622, 52.3301818181816, 52.5272043010753, 52.7904, 52.7904
