Date,LQD_Open,LQD_High,LQD_Low,LQD_Close,LQD_Volume,LQD_ATRPercentOfClose20,LQD_SQN25,LQD_SQN50,LQD_SQN100,LQD_SQN200,LQD_MACD,LQD_MACD_Avg,LQD_MACD_Diff,LQD_LinReg10,LQD_LinReg30,LQD_LinReg90,LQD_LinReg270
1/3/2017, 116.95, 117.4, 116.52, 117.28, 5822644, 0, 0, 0, 0, 0, 0, 0, 0, 117.28, 117.28, 117.28, 117.28
1/4/2017, 117.53, 117.68, 117.33, 117.68, 4999151, 0, 0, 0, 0, 0, 0.0319088319088365, 0.00638176638176731, 0.0255270655270692, 117.68, 117.68, 117.68, 117.68
1/5/2017, 117.8, 118.34, 117.71, 118.31, 7071051, 0, 0, 0, 0, 0, 0.106801405832755, 0.0264656942719648, 0.0803357115607901, 118.271666666667, 118.271666666667, 118.271666666667, 118.271666666667
1/6/2017, 117.87, 117.98, 117.62, 117.69, 4496022, 0, 0, 0, 0, 0, 0.114802124367628, 0.0441329802910975, 0.0706691440765307, 118.019, 118.019, 118.019, 118.019
1/9/2017, 118.01, 118.07, 117.87, 117.92, 3561351, 0, 0, 0, 0, 0, 0.138109785620117, 0.0629283413569013, 0.0751814442632152, 118.034, 118.034, 118.034, 118.034
1/10/2017, 117.92, 117.97, 117.77, 117.85, 4259553, 0, 0, 0, 0, 0, 0.149212827506034, 0.0801852385867278, 0.069027588919306, 117.999047619048, 117.999047619048, 117.999047619048, 117.999047619048
1/11/2017, 117.9, 118.39, 117.69, 118.03, 7133642, 0, 0, 0, 0, 0, 0.170570335222834, 0.0982622579139491, 0.072308077308885, 118.058571428571, 118.058571428571, 118.058571428571, 118.058571428571
1/12/2017, 118.42, 118.43, 118.01, 118.02, 3922583, 0, 0, 0, 0, 0, 0.1845618830326, 0.115522182937679, 0.069039700094921, 118.088333333333, 118.088333333333, 118.088333333333, 118.088333333333
1/13/2017, 117.82, 117.97, 117.39, 117.78, 4045310, 0, 0, 0, 0, 0, 0.1742753534473, 0.127272817039603, 0.0470025364076962, 118.014666666667, 118.014666666667, 118.014666666667, 118.014666666667
1/17/2017, 118.43, 118.54, 118.1, 118.29, 8443107, 0, 0, 0, 0, 0, 0.204913823391038, 0.14280101830989, 0.062112805081148, 118.138363636364, 118.138363636364, 118.138363636364, 118.138363636364
1/18/2017, 117.95, 118.01, 117.42, 117.51, 6026212, 0, 0, 0, 0, 0, 0.164360900145908, 0.147112994677094, 0.0172479054688143, 117.887818181818, 117.976818181818, 117.976818181818, 117.976818181818
1/19/2017, 117.3, 117.35, 116.92, 117.11, 3371323, 0, 0, 0, 0, 0, 0.0988067762342553, 0.137451750988526, -0.038644974754271, 117.566545454546, 117.738974358974, 117.738974358974, 117.738974358974
1/20/2017, 117.13, 117.36, 116.9, 117.32, 4570616, 0, 0, 0, 0, 0, 0.0630728412466652, 0.122575969040154, -0.0595031277934888, 117.474909090909, 117.617252747253, 117.617252747253, 117.617252747253
1/23/2017, 117.54, 118.05, 117.32, 117.86, 8747764, 0, 0, 0, 0, 0, 0.0774343127948924, 0.113547637791102, -0.0361133249962093, 117.499818181818, 117.662857142857, 117.662857142857, 117.662857142857
