Date,KRE_Open,KRE_High,KRE_Low,KRE_Close,KRE_Volume,KRE_ATRPercentOfClose20,KRE_SQN25,KRE_SQN50,KRE_SQN100,KRE_SQN200,KRE_MACD,KRE_MACD_Avg,KRE_MACD_Diff,KRE_LinReg10,KRE_LinReg30,KRE_LinReg90,KRE_LinReg270
1/3/2017, 56.48, 56.73, 55.23, 55.57, 8186435, 0, 0, 0, 0, 0, 0, 0, 0, 55.57, 55.57, 55.57, 55.57
1/4/2017, 55.94, 56.59, 55.69, 56.44, 5981636, 0, 0, 0, 0, 0, 0.069401709401717, 0.0138803418803434, 0.0555213675213736, 56.44, 56.44, 56.44, 56.44
1/5/2017, 56.11, 56.5, 55.07, 55.55, 7650734, 0, 0, 0, 0, 0, 0.0519882143813817, 0.0215019163805511, 0.0304862980008306, 55.8433333333333, 55.8433333333333, 55.8433333333333, 55.8433333333333
1/6/2017, 55.99, 56.18, 55.52, 55.78, 5534608, 0, 0, 0, 0, 0, 0.0561002827913129, 0.0284215896627034, 0.0276786931286094, 55.796, 55.796, 55.796, 55.796
1/9/2017, 55.4, 55.6, 54.85, 55.24, 4440058, 0, 0, 0, 0, 0, 0.0156057462715538, 0.0258584209844735, -0.0102526747129197, 55.452, 55.452, 55.452, 55.452
1/10/2017, 55.24, 55.96, 55.01, 55.76, 5748647, 0, 0, 0, 0, 0, 0.0251828957643667, 0.0257233159404521, -0.000540420176085413, 55.5504761904762, 55.5504761904762, 55.5504761904762, 55.5504761904762
1/11/2017, 55.61, 56.11, 55.28, 56.09, 7564243, 0, 0, 0, 0, 0, 0.0587241622243795, 0.0323234851972376, 0.0264006770271419, 55.7639285714286, 55.7639285714286, 55.7639285714286, 55.7639285714286
1/12/2017, 55.79, 55.82, 54.58, 55.19, 7294409, 0, 0, 0, 0, 0, 0.0125388392261101, 0.0283665560030121, -0.015827716776902, 55.5225, 55.5225, 55.5225, 55.5225
1/13/2017, 55.7, 56.67, 55.52, 55.81, 7608191, 0, 0, 0, 0, 0, 0.0256695538089389, 0.0278271555641975, -0.00215760175525858, 55.5991111111111, 55.5991111111111, 55.5991111111111, 55.5991111111111
1/17/2017, 55.17, 55.17, 53.72, 53.79, 11245447, 0, 0, 0, 0, 0, -0.12547498096302, -0.00283327174124599, -0.122641709221774, 54.9552727272728, 54.9552727272728, 54.9552727272728, 54.9552727272728
1/18/2017, 54.1, 54.46, 53.48, 54.39, 7616532, 0, 0, 0, 0, 0, -0.194599901585342, -0.0411865977100651, -0.153413303875277, 54.5738181818183, 54.6895454545455, 54.6895454545455, 54.6895454545455
1/19/2017, 54.73, 54.83, 53.8, 54.1, 8101530, 0, 0, 0, 0, 0, -0.269673843365396, -0.0868840468411314, -0.182789796524265, 54.3305454545455, 54.4128205128205, 54.4128205128205, 54.4128205128205
