Date,JYN_Open,JYN_High,JYN_Low,JYN_Close,JYN_Volume,JYN_ATRPercentOfClose20,JYN_SQN25,JYN_SQN50,JYN_SQN100,JYN_SQN200,JYN_MACD,JYN_MACD_Avg,JYN_MACD_Diff,JYN_LinReg10,JYN_LinReg30,JYN_LinReg90,JYN_LinReg270
1/4/2017, 47.76, 47.76, 47.76, 47.76, 150, 0, 0, 0, 0, 0, 0, 0, 0, 47.76, 47.76, 47.76, 47.76
1/25/2017, 49.55, 49.55, 49.55, 49.55, 1573, 0, 0, 0, 0, 0, 0.142792022792023, 0.0285584045584045, 0.114233618233618, 49.55, 49.55, 49.55, 49.55
2/6/2017, 49.9, 49.97, 49.9, 49.97, 200, 0, 0, 0, 0, 0, 0.286543128708374, 0.0801553493883984, 0.206387779319975, 50.1983333333333, 50.1983333333333, 50.1983333333333, 50.1983333333333
2/16/2017, 49.61, 49.61, 49.61, 49.61, 200, 0, 0, 0, 0, 0, 0.367185241563533, 0.137561327823425, 0.229623913740108, 50.118, 50.118, 50.118, 50.118
2/22/2017, 49.82, 49.82, 49.82, 49.82, 200, 0, 0, 0, 0, 0, 0.44293407366871, 0.198635876992482, 0.244298196676227, 50.178, 50.178, 50.178, 50.178
3/21/2017, 49.82, 49.82, 49.82, 49.82, 201, 0, 0, 0, 0, 0, 0.497233767498486, 0.258355455093683, 0.238878312404803, 50.1895238095238, 50.1895238095238, 50.1895238095238, 50.1895238095238
5/17/2017, 50.27, 50.27, 50.27, 50.27, 251, 0, 0, 0, 0, 0, 0.570007216880789, 0.320685807451104, 0.249321409429685, 50.3914285714286, 50.3914285714286, 50.3914285714286, 50.3914285714286
5/19/2017, 50.59, 50.59, 50.59, 50.59, 102, 0, 0, 0, 0, 0, 0.646054708939516, 0.385759587748787, 0.26029512119073, 50.6391666666667, 50.6391666666667, 50.6391666666667, 50.6391666666667
7/17/2017, 49.9, 50.15, 49.9, 50.15, 1200, 0, 0, 0, 0, 0, 0.663173915436353, 0.4412424532863, 0.221931462150053, 50.626, 50.626, 50.626, 50.626
7/25/2017, 50.72, 50.93, 50.57, 50.57, 995, 0, 0, 0, 0, 0, 0.702533135165375, 0.493500589662115, 0.20903254550326, 50.7538181818182, 50.7538181818182, 50.7538181818182, 50.7538181818182
8/29/2017, 51.25, 51.25, 51.25, 51.25, 503, 0, 0, 0, 0, 0, 0.779609069310162, 0.550722285591724, 0.228886783718438, 50.8407272727273, 51.0545454545455, 51.0545454545455, 51.0545454545455
9/12/2017, 50.85, 51.03, 50.85, 51.03, 615, 0, 0, 0, 0, 0, 0.813561905813224, 0.603290209636024, 0.210271696177199, 51.0192727272728, 51.2042307692308, 51.2042307692308, 51.2042307692308
9/13/2017, 50.63, 50.63, 50.63, 50.63, 219, 0, 0, 0, 0, 0, 0.798982938334845, 0.642428755375788, 0.156554182959057, 51.0629090909091, 51.2009890109891, 51.2009890109891, 51.2009890109891
9/14/2017, 50.66, 50.66, 50.61, 50.61, 480, 0, 0, 0, 0, 0, 0.77686001010153, 0.669315006320937, 0.107545003780593, 50.9916363636364, 51.188, 51.188, 51.188
9/27/2017, 50.1, 50.1, 50.1, 50.1, 351, 0, 0, 0, 0, 0, 0.709990365359182, 0.677450078128586, 0.0325402872305967, 50.7316363636364, 51.0500833333334, 51.0500833333334, 51.0500833333334
9/28/2017, 49.69, 49.69, 49.69, 49.69, 200, 0, 0, 0, 0, 0, 0.616802007052677, 0.665320463913404, -0.0485184568607273, 50.3147272727273, 50.8431617647059, 50.8431617647059, 50.8431617647059
