Date,TIP_Open,TIP_High,TIP_Low,TIP_Close,TIP_Volume,TIP_ATRPercentOfClose20,TIP_SQN25,TIP_SQN50,TIP_SQN100,TIP_SQN200,TIP_MACD,TIP_MACD_Avg,TIP_MACD_Diff,TIP_LinReg10,TIP_LinReg30,TIP_LinReg90,TIP_LinReg270
1/3/2017, 112.96, 113.4, 112.94, 113.28, 2957464, 0, 0, 0, 0, 0, 0, 0, 0, 113.28, 113.28, 113.28, 113.28
1/4/2017, 113.23, 113.55, 113.19, 113.53, 2976245, 0, 0, 0, 0, 0, 0.019943019943014, 0.00398860398860279, 0.0159544159544112, 113.53, 113.53, 113.53, 113.53
1/5/2017, 113.52, 113.92, 113.37, 113.92, 1775608, 0, 0, 0, 0, 0, 0.0664517333463124, 0.0164812298601447, 0.0499705034861677, 113.896666666667, 113.896666666667, 113.896666666667, 113.896666666667
1/6/2017, 113.58, 113.7, 113.42, 113.45, 978173, 0, 0, 0, 0, 0, 0.0646400218150518, 0.0261129882511261, 0.0385270335639257, 113.68, 113.68, 113.68, 113.68
1/9/2017, 113.71, 113.73, 113.5, 113.63, 1691574, 0, 0, 0, 0, 0, 0.0768429256373793, 0.0362589757283768, 0.0405839499090025, 113.686, 113.686, 113.686, 113.686
1/10/2017, 113.47, 113.82, 113.47, 113.72, 2508714, 0, 0, 0, 0, 0, 0.0927073895934853, 0.0475486585013985, 0.0451587310920869, 113.733333333333, 113.733333333333, 113.733333333333, 113.733333333333
1/11/2017, 114.07, 114.5, 113.86, 114.08, 1169134, 0, 0, 0, 0, 0, 0.132798267170571, 0.064598580235233, 0.0681996869353382, 113.925357142857, 113.925357142857, 113.925357142857, 113.925357142857
1/12/2017, 114.51, 114.62, 114.13, 114.18, 1014287, 0, 0, 0, 0, 0, 0.170672336301664, 0.0858133314485191, 0.0848590048531444, 114.083333333333, 114.083333333333, 114.083333333333, 114.083333333333
1/13/2017, 113.99, 114.11, 113.66, 113.98, 1920360, 0, 0, 0, 0, 0, 0.182446352443662, 0.105139935647548, 0.0773064167961146, 114.108222222222, 114.108222222222, 114.108222222222, 114.108222222222
1/17/2017, 114.54, 114.54, 114.07, 114.34, 1440820, 0, 0, 0, 0, 0, 0.218309796971511, 0.12777390791234, 0.0905358890591703, 114.246545454545, 114.246545454545, 114.246545454545, 114.246545454545
1/18/2017, 114.05, 114.29, 113.74, 113.78, 1267225, 0, 0, 0, 0, 0, 0.199247711664583, 0.142068668662789, 0.0571790430017941, 114.129636363636, 114.164090909091, 114.164090909091, 114.164090909091
1/19/2017, 113.65, 113.84, 113.35, 113.69, 2081068, 0, 0, 0, 0, 0, 0.17486291307182, 0.148627517544595, 0.0262353955272249, 114.004363636364, 114.074487179487, 114.074487179487, 114.074487179487
1/20/2017, 113.72, 113.86, 113.49, 113.71, 2925635, 0, 0, 0, 0, 0, 0.155360715734773, 0.149974157182631, 0.0053865585521421, 113.955272727273, 114.010769230769, 114.010769230769, 114.010769230769
1/23/2017, 113.87, 114.28, 113.7, 114.17, 4172464, 0, 0, 0, 0, 0, 0.1750058806048, 0.154980501867065, 0.0200253787377357, 113.982545454546, 114.078857142857, 114.078857142857, 114.078857142857
1/24/2017, 114, 114.17, 113.82, 113.98, 1583480, 0, 0, 0, 0, 0, 0.173246327376418, 0.158633666968935, 0.0146126604074829, 113.940909090909, 114.085333333333, 114.085333333333, 114.085333333333
1/25/2017, 113.51, 113.7, 113.2, 113.61, 2934806, 0, 0, 0, 0, 0, 0.140377773395471, 0.154982488254242, -0.0146047148587713, 113.770363636364, 114.005220588235, 114.005220588235, 114.005220588235
1/26/2017, 113.66, 113.81, 113.41, 113.78, 1958886, 0, 0, 0, 0, 0, 0.126587564169441, 0.149303503437282, -0.0227159392678414, 113.736545454546, 113.976470588235, 113.976470588235, 113.976470588235
1/27/2017, 113.95, 114.05, 113.85, 113.97, 2023029, 0, 0, 0, 0, 0, 0.129497371024598, 0.145342276954745, -0.015844905930147, 113.804727272727, 113.99134502924, 113.99134502924, 113.99134502924
1/30/2017, 114.03, 114.12, 113.85, 113.94, 1922839, 0, 0, 0, 0, 0, 0.127908218321082, 0.141855465228013, -0.0139472469069309, 113.834, 113.997368421053, 113.997368421053, 113.997368421053
1/31/2017, 114, 114.25, 113.94, 114.18, 7613057, 0, 0, 0, 0, 0, 0.144350811293322, 0.142354534441074, 0.00199627685224715, 114.020363636364, 114.046571428572, 114.046571428572, 114.046571428572
2/1/2017, 113.95, 114.17, 113.77, 113.94, 1777719, 0, 0, 0, 0, 0, 0.13644286206879, 0.141172199966618, -0.00472933789782734, 114.020545454546, 114.045021645022, 114.045021645022, 114.045021645022
2/2/2017, 114.25, 114.28, 113.9, 113.95, 3938790, 0.402843352347524, 0, 0, 0, 0, 0.129489991741096, 0.138835758321513, -0.00934576658041741, 113.997454545455, 114.045019762846, 114.045019762846, 114.045019762846
