Date,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,XLU_ATRPercentOfClose20,XLU_SQN25,XLU_SQN50,XLU_SQN100,XLU_SQN200,XLU_MACD,XLU_MACD_Avg,XLU_MACD_Diff,XLU_LinReg10,XLU_LinReg30,XLU_LinReg90,XLU_LinReg270
4/27/2017, 51.75, 52.2, 51.71, 51.95, 9466542, 0.975244729698942, 0.0948648003952645, 1.21843119299454, 0, 0, 0.186888277954395, 0.200099667177263, -0.013211389222868, 51.8739999999994, 51.8528172043013, 52.490175925926, 52.490175925926
4/28/2017, 51.88, 51.95, 51.54, 51.7, 9405749, 0.970614420163773, 0.0104141634873127, 1.16078238765576, 0, 0, 0.166791475621231, 0.193438028866057, -0.0266465532448256, 51.8078181818176, 51.8445591397852, 52.5036735922915, 52.5036735922915
5/1/2017, 51.82, 51.82, 51.26, 51.39, 10692520, 0.982131294927879, -0.444404344448428, 0.821987998886234, 0, 0, 0.124416015381613, 0.179633626169168, -0.0552176107875554, 51.679454545454, 51.7891182795701, 52.5014399059654, 52.5014399059654
5/2/2017, 51.45, 51.64, 51.24, 51.45, 9438626, 0.970809346628309, -0.210857752225143, 0.834203689214049, 0, 0, 0.0945843469274195, 0.162623770320818, -0.0680394233933988, 51.6241818181812, 51.7182580645164, 52.5018330464717, 52.5018330464717
5/3/2017, 51.52, 51.58, 51.24, 51.27, 10507208, 0.958664596056664, -0.336546437936729, 0.539823844465274, 0, 0, 0.0557750984584402, 0.141254035948343, -0.0854789374899025, 51.466363636363, 51.6683440860218, 52.4934929971989, 52.4934929971989
5/4/2017, 51.12, 51.51, 51.11, 51.45, 14039080, 0.946417826002602, -0.0436658488702834, 0.525278365892557, 0, 0, 0.0390923528094262, 0.120821699320559, -0.0817293465111331, 51.3525454545448, 51.6601290322583, 52.4935266757866, 52.4935266757866
5/5/2017, 51.6, 51.92, 51.55, 51.73, 10785296, 0.939658559645123, 0.596976190864383, 0.424138670655035, 0, 0, 0.0479125110296081, 0.106239861662369, -0.058327350632761, 51.3885454545448, 51.679419354839, 52.5060785886127, 52.5060785886127
5/8/2017, 51.77, 51.83, 51.45, 51.71, 8789722, 0.929764270468383, 0.393285112874232, 0.0766728240074337, 0, 0, 0.0526814382844023, 0.0955281769867758, -0.0428467387023735, 51.4716363636357, 51.7086451612906, 52.5169566353187, 52.5169566353187
5/9/2017, 51.67, 51.71, 51.24, 51.33, 7758919, 0.935597212246718, 0.0378537118464785, 0.0348683622451311, 0, 0, 0.0255040287172577, 0.0815233473328722, -0.0560193186156145, 51.425272727272, 51.677483870968, 52.5101608784475, 52.5101608784475
5/10/2017, 51.37, 51.52, 51.13, 51.41, 8439821, 0.925364611153333, -0.0345930930005029, -0.150530107463348, 0, 0, 0.0103023086436451, 0.0672791395950268, -0.0569768309513816, 51.4072727272719, 51.6561290322583, 52.5069063670413, 52.5069063670413
5/11/2017, 51.28, 51.48, 51.07, 51.48, 7699155, 0.917722317918089, -0.24211201986498, 0.102875078029194, 0, 0, 0.00385876945613006, 0.0545950655672474, -0.0507362961111174, 51.4690909090901, 51.6358709677422, 52.5065860805861, 52.5065860805861
5/12/2017, 51.6, 51.84, 51.53, 51.73, 7523074, 0.902418861011059, 0.111236927273956, 0.0442101866289249, 0, 0, 0.0187094579051674, 0.0474179440348314, -0.028708486129664, 51.5929090909083, 51.6208602150541, 52.516927960928, 52.5168442427139
5/15/2017, 51.74, 52.04, 51.68, 51.95, 6351125, 0.888316098096188, 0.516508159846457, 0.229661809559342, 0, 0, 0.0476812570272784, 0.0474706066333208, 0.000210650393957602, 51.7290909090901, 51.6430967741938, 52.5384835164836, 52.5358906030856
5/16/2017, 51.87, 52.02, 51.51, 51.57, 7653070, 0.899566031244758, 0.0807530030932237, 0.0924866951538755, 0, 0, 0.0395231935813314, 0.045881124022923, -0.00635793044159157, 51.7154545454538, 51.6123225806454, 52.5421074481075, 52.5379135209335
5/17/2017, 51.7, 51.94, 51.47, 51.7, 15032839, 0.897893408505368, 0.21001289396676, 0.169339375645008, 0, 0, 0.0430515120372874, 0.0453152016257958, -0.00226368958850844, 51.704181818181, 51.6069677419358, 52.5526300366301, 52.5450795072789
5/18/2017, 51.81, 52.15, 51.44, 51.88, 16875978, 0.918466360037416, 0.0376765770685444, 0.656002799741646, 0, 0, 0.059684222941101, 0.0481890058888569, 0.0114952170522441, 51.7676363636355, 51.6422365591401, 52.5546959706961, 52.5592236842106
5/19/2017, 51.87, 52.08, 51.58, 52.08, 9901328, 0.917195334500847, 0.369056726818939, 0.815023460232861, 0, 0, 0.0879898030174076, 0.056149165314567, 0.0318406377028405, 51.9327272727264, 51.6933763440863, 52.5594676434678, 52.5808462199313
5/22/2017, 52, 52.61, 51.97, 52.53, 7779269, 0.924788813435445, 0.534798068544863, 0.822283134035862, 0, 0, 0.145061242643955, 0.0739315807804446, 0.0711296618635102, 52.230181818181, 51.783978494624, 52.5920610500612, 52.619758047549
5/23/2017, 52.62, 52.98, 52.53, 52.67, 15290193, 0.918932951419702, 0.549624221558334, 0.815263087885712, 0, 0, 0.199290305113244, 0.0990033256470046, 0.10028697946624, 52.4552727272719, 51.8910537634411, 52.62873992674, 52.6627149041436
5/24/2017, 52.72, 53.06, 52.67, 52.97, 7602342, 0.904855363860901, 1.1436553817115, 0.984309000251911, 0, 0, 0.263437971661972, 0.131890254849998, 0.131547716811974, 52.7269090909083, 52.0272473118282, 52.6739804639806, 52.7159030303031
5/25/2017, 53.08, 53.49, 52.95, 53.4, 16777277, 0.903252419335699, 1.65404032611756, 0.829292460620822, 0, 0, 0.344995967144172, 0.174511397308833, 0.170484569835339, 53.0759999999991, 52.2336559139787, 52.7465274725276, 52.78399009901
5/26/2017, 53.43, 53.52, 53.3, 53.4, 7649643, 0.878689049305244, 1.44546552158823, 1.20448045463595, 1.55979778031478, 0, 0.404963103580144, 0.220601738563095, 0.184361365017049, 53.3703636363628, 52.418731182796, 52.8145470085471, 52.8495398951661
5/30/2017, 53.44, 53.7, 53.29, 53.57, 6292291, 0.870373258750328, 1.37053331189599, 1.345764291976, 1.55195117430806, 0, 0.460892192200014, 0.268659829290479, 0.192232362909535, 53.6763636363628, 52.629612903226, 52.877203907204, 52.9192309156673
5/31/2017, 53.63, 54.03, 53.57, 53.84, 12620691, 0.865427204637673, 1.65087765385527, 1.71752621205975, 1.61172982538904, 0, 0.52099740758937, 0.319127344950257, 0.201870062639113, 53.9112727272719, 52.872043010753, 52.9499853479855, 52.9967102315161
6/1/2017, 53.7, 54.23, 53.64, 54.22, 11118558, 0.870801745902023, 2.09646585884886, 1.60778199012016, 1.66751819528302, 0, 0.592464486226731, 0.373794773205552, 0.21866971302118, 54.1796363636355, 53.1270107526884, 53.0300122100123, 53.0858131868133
