Date,THD_Open,THD_High,THD_Low,THD_Close,THD_Volume,THD_ATRPercentOfClose20,THD_SQN25,THD_SQN50,THD_SQN100,THD_SQN200,THD_MACD,THD_MACD_Avg,THD_MACD_Diff,THD_LinReg10,THD_LinReg30,THD_LinReg90,THD_LinReg270
1/18/2017, 74.36, 74.36, 73.5, 73.75, 190497, 0, 0, 0, 0, 0, 0.532724248464149, 0.448452492280139, 0.0842717561840101, 74.4245454545454, 74.6518181818182, 74.6518181818182, 74.6518181818182
1/19/2017, 73.31, 73.75, 72.8, 73.12, 150844, 0, 0, 0, 0, 0, 0.430341457658315, 0.444830285355774, -0.0144888276974589, 73.9270909090909, 74.2823076923077, 74.2823076923077, 74.2823076923077
1/20/2017, 73.77, 73.79, 73.31, 73.7, 109433, 0, 0, 0, 0, 0, 0.391490650529434, 0.434162358390506, -0.0426717078610721, 73.7930909090909, 74.1608791208791, 74.1608791208791, 74.1608791208791
1/23/2017, 74.19, 74.83, 74.11, 74.65, 159330, 0, 0, 0, 0, 0, 0.432374027844077, 0.43380469228122, -0.00143066443714351, 73.9527272727273, 74.3105714285714, 74.3105714285714, 74.3105714285714
1/24/2017, 75.25, 75.78, 75.09, 75.44, 173384, 0, 0, 0, 0, 0, 0.522497767588092, 0.451543307342595, 0.0709544602454976, 74.2918181818182, 74.6178333333333, 74.6178333333333, 74.6178333333333
1/25/2017, 75.5, 75.96, 75.17, 75.82, 143555, 0, 0, 0, 0, 0, 0.617466534993369, 0.48472795287275, 0.13273858212062, 74.8338181818182, 74.9477205882353, 74.9477205882353, 74.9477205882353
1/26/2017, 75.82, 75.97, 75.6, 75.79, 93105, 0, 0, 0, 0, 0, 0.682442446379341, 0.524270851574068, 0.158171594805273, 75.3636363636364, 75.2056862745098, 75.2056862745098, 75.2056862745098
1/27/2017, 75.66, 75.84, 75.39, 75.75, 76944, 0, 0, 0, 0, 0, 0.722381494372584, 0.563892980133771, 0.158488514238813, 75.7280000000001, 75.4060818713451, 75.4060818713451, 75.4060818713451
1/30/2017, 75.64, 75.95, 75.55, 75.92, 141996, 0, 0, 0, 0, 0, 0.759001757109488, 0.602914735528914, 0.156087021580573, 76.1538181818183, 75.6023684210526, 75.6023684210526, 75.6023684210526
1/31/2017, 75.46, 75.69, 75.33, 75.68, 298560, 0, 0, 0, 0, 0, 0.759897954329446, 0.634311379289021, 0.125586575040425, 76.3534545454546, 75.7191428571429, 75.7191428571429, 75.7191428571429
2/1/2017, 75.46, 75.69, 75.05, 75.55, 223824, 0, 0, 0, 0, 0, 0.741569927030795, 0.655763088837376, 0.0858068381934196, 76.3141818181819, 75.7919480519481, 75.7919480519481, 75.7919480519481
2/2/2017, 75.41, 75.54, 75.28, 75.47, 115351, 0.995108983702134, 0, 0, 0, 0, 0.712377655762268, 0.667086002222354, 0.0452916535399135, 76.0230909090911, 75.8378260869566, 75.8378260869566, 75.8378260869566
2/3/2017, 76.21, 76.45, 75.82, 76.4, 233916, 0.997982084424084, 0, 0, 0, 0, 0.75557598846342, 0.684783999470567, 0.0707919889928526, 76.0410909090911, 76.0265217391305, 76.0265217391305, 76.0265217391305
2/6/2017, 76.4, 76.51, 76.27, 76.46, 103111, 0.963033477471882, 0, 0, 0, 0, 0.785596608232552, 0.704946521222964, 0.080650087009588, 76.1225454545456, 76.1963, 76.1963, 76.1963
2/7/2017, 76.15, 76.26, 75.9, 76.1, 97609, 0.956003452077859, 0, 0, 0, 0, 0.771446420208576, 0.718246501020087, 0.0531999191884898, 76.1389090909093, 76.2870153846154, 76.2870153846154, 76.2870153846154
2/8/2017, 76.33, 76.81, 76, 76.69, 129772, 0.954026203781051, 1.61582872607302, 0, 0, 0, 0.798634205429565, 0.734324041901982, 0.0643101635275825, 76.3990909090911, 76.4497435897436, 76.4497435897436, 76.4497435897436
2/9/2017, 76.31, 76.43, 76.11, 76.23, 163645, 0.949836758357213, 1.03118095764012, 0, 0, 0, 0.774138775555087, 0.742286988632603, 0.031851786922484, 76.4469090909092, 76.5257936507937, 76.5257936507937, 76.5257936507937
