Date,IYH_Open,IYH_High,IYH_Low,IYH_Close,IYH_Volume,IYH_ATRPercentOfClose20,IYH_SQN25,IYH_SQN50,IYH_SQN100,IYH_SQN200,IYH_MACD,IYH_MACD_Avg,IYH_MACD_Diff,IYH_LinReg10,IYH_LinReg30,IYH_LinReg90,IYH_LinReg270
1/3/2017, 144.05, 145.75, 144.05, 145.7, 801507, 0, 0, 0, 0, 0, 0, 0, 0, 145.7, 145.7, 145.7, 145.7
1/4/2017, 146.17, 147.45, 145.99, 147.03, 98887, 0, 0, 0, 0, 0, 0.106096866096863, 0.0212193732193725, 0.0848774928774901, 147.03, 147.03, 147.03, 147.03
1/5/2017, 147, 147.87, 146.9, 147.81, 66263, 0, 0, 0, 0, 0, 0.250234332513543, 0.0670223650782066, 0.183211967435336, 147.901666666667, 147.901666666667, 147.901666666667, 147.901666666667
1/6/2017, 147.93, 148.73, 147.59, 148.3, 119056, 0, 0, 0, 0, 0, 0.399399192725895, 0.133497730607744, 0.26590146211815, 148.497, 148.497, 148.497, 148.497
1/9/2017, 148.56, 149.39, 148.15, 149.15, 126319, 0, 0, 0, 0, 0, 0.579520958502201, 0.222702376186636, 0.356818582315565, 149.232, 149.232, 149.232, 149.232
1/10/2017, 149.23, 150.35, 149.05, 149.68, 56663, 0, 0, 0, 0, 0, 0.756316974896748, 0.329425295928658, 0.42689167896809, 149.855714285714, 149.855714285714, 149.855714285714, 149.855714285714
1/11/2017, 149.71, 150.41, 146.82, 148.01, 237234, 0, 0, 0, 0, 0, 0.752994002272544, 0.414139037197435, 0.338854965075109, 149.408214285714, 149.408214285714, 149.408214285714, 149.408214285714
1/12/2017, 147.14, 148.33, 147, 148.25, 59006, 0, 0, 0, 0, 0, 0.760954704606633, 0.483502170679275, 0.277452533927358, 149.208333333333, 149.208333333333, 149.208333333333, 149.208333333333
1/13/2017, 148.63, 149.07, 148.3, 148.47, 33916, 0, 0, 0, 0, 0, 0.776069731169144, 0.542015682777249, 0.234054048391896, 149.145777777778, 149.145777777778, 149.145777777778, 149.145777777778
1/17/2017, 148.01, 148.01, 146.55, 147.62, 81348, 0, 0, 0, 0, 0, 0.711261621140693, 0.575864870449938, 0.135396750690755, 148.798909090909, 148.798909090909, 148.798909090909, 148.798909090909
1/18/2017, 148.02, 148.13, 147.16, 147.57, 64222, 0, 0, 0, 0, 0, 0.648391886831917, 0.590370273726333, 0.0580216131055831, 148.189272727273, 148.528636363636, 148.528636363636, 148.528636363636
1/19/2017, 147.5, 147.5, 146.33, 146.69, 681125, 0, 0, 0, 0, 0, 0.521546460956557, 0.576605511172378, -0.055059050215821, 147.439636363636, 148.066282051282, 148.066282051282, 148.066282051282
1/20/2017, 146.71, 147.26, 146.05, 146.2, 94433, 0, 0, 0, 0, 0, 0.377134273037626, 0.536711263545428, -0.159576990507802, 146.695272727273, 147.581208791209, 147.581208791209, 147.581208791209
1/23/2017, 145.92, 146.31, 144.94, 145.48, 96873, 0, 0, 0, 0, 0, 0.20225709705511, 0.469820430247364, -0.267563333192254, 145.888, 147.022571428571, 147.022571428571, 147.022571428571
1/24/2017, 145.35, 145.35, 143.89, 144.67, 111254, 0, 0, 0, 0, 0, -0.00167524420817244, 0.375521295356257, -0.377196539564429, 145.124727272727, 146.390333333333, 146.390333333333, 146.390333333333
1/25/2017, 144.62, 146, 144.62, 145.78, 77048, 0, 0, 0, 0, 0, -0.0728851954063714, 0.285839997203731, -0.358725192610103, 145.095272727273, 146.142573529412, 146.142573529412, 146.142573529412
1/26/2017, 145.72, 145.98, 144.96, 144.97, 57769, 0, 0, 0, 0, 0, -0.192461251810585, 0.190179747400868, -0.382640999211453, 144.664727272727, 145.771176470588, 145.771176470588, 145.771176470588
1/27/2017, 145.05, 146.19, 145.05, 146.15, 78834, 0, 0, 0, 0, 0, -0.189821851536834, 0.114179427613328, -0.304001279150162, 144.855636363636, 145.712631578947, 145.712631578947, 145.712631578947
1/30/2017, 145.93, 145.96, 144.81, 145.3, 44598, 0, 0, 0, 0, 0, -0.253397001162398, 0.0406641418581826, -0.29406114302058, 144.911454545454, 145.502263157895, 145.502263157895, 145.502263157895
1/31/2017, 144.75, 147.55, 144.75, 147.54, 71699, 0, 0, 0, 0, 0, -0.121629417522456, 0.00820542998205485, -0.129834847504511, 145.744, 145.746, 145.746, 145.746
2/1/2017, 147.68, 148.73, 147.51, 148.64, 122422, 0, 0, 0, 0, 0, 0.0707426712840231, 0.0207128782424485, 0.0500297930415746, 146.950909090909, 146.14948051948, 146.14948051948, 146.14948051948
2/2/2017, 148.31, 148.98, 147.8, 148.86, 93553, 0.984943907026733, 0, 0, 0, 0, 0.238205217542259, 0.0642113461024105, 0.173993871439848, 147.999454545455, 146.53162055336, 146.53162055336, 146.53162055336
2/3/2017, 149.36, 149.79, 148.85, 149.75, 38019, 0.961521285475789, 0, 0, 0, 0, 0.437690628798265, 0.138907202641581, 0.298783426156684, 149.139090909091, 147.005, 147.005, 147.005
2/6/2017, 149.27, 149.67, 149.05, 149.66, 43710, 0.937380875818518, 0, 0, 0, 0, 0.581815203100831, 0.227488802733431, 0.3543264003674, 149.91, 147.399266666667, 147.399266666667, 147.399266666667
2/7/2017, 149.93, 150.27, 149.3, 149.67, 117429, 0.922856957180794, 0, 0, 0, 0, 0.688900664983464, 0.319771175183438, 0.369129489800026, 150.294363636364, 147.742553846154, 147.742553846154, 147.742553846154
2/8/2017, 148.73, 149.75, 148.73, 149.51, 37276, 0.911763766585426, 0.863469889032791, 0, 0, 0, 0.752185278538434, 0.406253995854437, 0.345931282683997, 150.572727272727, 148.018205128205, 148.018205128205, 148.018205128205
2/9/2017, 149.39, 150.67, 149.16, 150.25, 37121, 0.912159139468071, 0.746947408403208, 0, 0, 0, 0.852226667750585, 0.495448530233667, 0.356778137516919, 150.741272727273, 148.36291005291, 148.36291005291, 148.36291005291
2/10/2017, 150.41, 150.93, 150.18, 150.53, 113252, 0.889851293229414, 0.637659070286879, 0, 0, 0, 0.94323087106207, 0.585004998399348, 0.358225872662723, 150.954545454546, 148.703497536946, 148.703497536946, 148.703497536946
2/13/2017, 150.61, 151.55, 150.61, 151.54, 42719, 0.873378971963393, 0.741378810741522, 0, 0, 0, 1.08435119136524, 0.684874236992527, 0.399476954372717, 151.107818181818, 149.136, 149.136, 149.136
2/14/2017, 151.22, 152.67, 151.22, 152.65, 34777, 0.871171024833056, 0.787004437263202, 0, 0, 0, 1.27110527489208, 0.802120444572437, 0.468984830319642, 151.752181818182, 149.659634408602, 149.659634408602, 149.659634408602
2/15/2017, 152.5, 154.5, 152.32, 154.34, 167499, 0.889173539547283, 0.987294896768736, 0, 0, 0, 1.53775186141715, 0.94924672794138, 0.588505133475769, 152.921636363637, 150.301505376344, 150.332741935484, 150.332741935484
2/16/2017, 154.21, 154.4, 152.99, 154.01, 67878, 0.892301096610878, 1.37751731098022, 0, 0, 0, 1.70281398064429, 1.09996017848196, 0.602853802162331, 153.710181818182, 150.934430107527, 150.89375, 150.89375
2/17/2017, 153.44, 154.24, 153.44, 154.14, 38329, 0.872921547259564, 1.35043073819412, 0, 0, 0, 1.8231012366696, 1.24458839011949, 0.57851284655011, 154.440727272727, 151.590817204301, 151.410374331551, 151.410374331551
