Date,FXS_Open,FXS_High,FXS_Low,FXS_Close,FXS_Volume,FXS_ATRPercentOfClose20,FXS_SQN25,FXS_SQN50,FXS_SQN100,FXS_SQN200,FXS_MACD,FXS_MACD_Avg,FXS_MACD_Diff,FXS_LinReg10,FXS_LinReg30,FXS_LinReg90,FXS_LinReg270
1/3/2017, 105.69, 105.7, 105.56, 105.6, 837, 0, 0, 0, 0, 0, 0, 0, 0, 105.6, 105.6, 105.6, 105.6
1/4/2017, 105.95, 106.35, 105.95, 106.14, 11732, 0, 0, 0, 0, 0, 0.0430769230769386, 0.00861538461538771, 0.0344615384615508, 106.14, 106.14, 106.14, 106.14
1/5/2017, 106.75, 107.41, 106.75, 107.35, 1411, 0, 0, 0, 0, 0, 0.172859960552273, 0.0414642998027648, 0.131395660749508, 107.238333333333, 107.238333333333, 107.238333333333, 107.238333333333
1/6/2017, 106.76, 107, 106.76, 107, 2213, 0, 0, 0, 0, 0, 0.244651685519543, 0.0821017769461204, 0.162549908573422, 107.334, 107.334, 107.334, 107.334
1/9/2017, 106.78, 106.78, 106.78, 106.78, 169, 0, 0, 0, 0, 0, 0.280560852539253, 0.121793592064747, 0.158767260474506, 107.218, 107.218, 107.218, 107.218
1/10/2017, 106.84, 106.84, 106.49, 106.49, 317, 0, 0, 0, 0, 0, 0.282363637497269, 0.153907601151251, 0.128456036346018, 106.99, 106.99, 106.99, 106.99
1/11/2017, 106.11, 107.17, 106.11, 107, 1130, 0, 0, 0, 0, 0, 0.321242017307725, 0.187374484382546, 0.133867532925179, 107.086785714286, 107.086785714286, 107.086785714286, 107.086785714286
1/12/2017, 108.31, 108.45, 108.13, 108.13, 1607, 0, 0, 0, 0, 0, 0.438183858842308, 0.237536359274499, 0.200647499567809, 107.611666666667, 107.611666666667, 107.611666666667, 107.611666666667
1/13/2017, 108.39, 108.61, 108.39, 108.61, 552, 0, 0, 0, 0, 0, 0.563102009801398, 0.302649489379878, 0.260452520421519, 108.131111111111, 108.131111111111, 108.131111111111, 108.131111111111
1/17/2017, 108.92, 108.92, 108.92, 108.92, 457, 0, 0, 0, 0, 0, 0.679284583802954, 0.377976508264493, 0.30130807553846, 108.586909090909, 108.586909090909, 108.586909090909, 108.586909090909
1/18/2017, 108.41, 108.41, 108.41, 108.41, 343, 0, 0, 0, 0, 0, 0.721885921453151, 0.446758390902225, 0.275127530550926, 108.683818181818, 108.740454545455, 108.740454545455, 108.740454545455
1/20/2017, 108.43, 108.79, 108.43, 108.77, 1043, 0, 0, 0, 0, 0, 0.775754366376205, 0.512557585997021, 0.263196780379184, 108.859818181818, 108.950641025641, 108.950641025641, 108.950641025641
1/23/2017, 109.14, 109.41, 108.95, 109.41, 2750, 0, 0, 0, 0, 0, 0.860172613921321, 0.582080591581881, 0.27809202233944, 109.355454545454, 109.276923076923, 109.276923076923, 109.276923076923
1/24/2017, 109.62, 109.62, 109.1, 109.17, 11527, 0, 0, 0, 0, 0, 0.897364430500303, 0.645137359365566, 0.252227071134738, 109.585818181818, 109.458857142857, 109.458857142857, 109.458857142857
1/25/2017, 109.55, 109.6, 109.37, 109.37, 1493, 0, 0, 0, 0, 0, 0.93223135881145, 0.702556159254742, 0.229675199556707, 109.722909090909, 109.64275, 109.64275, 109.64275
