Date,XLI_Open,XLI_High,XLI_Low,XLI_Close,XLI_Volume,XLI_ATRPercentOfClose20,XLI_SQN25,XLI_SQN50,XLI_SQN100,XLI_SQN200,XLI_MACD,XLI_MACD_Avg,XLI_MACD_Diff,XLI_LinReg10,XLI_LinReg30,XLI_LinReg90,XLI_LinReg270
1/3/2017, 62.68, 63.06, 62.35, 62.59, 21592200, 0, 0, 0, 0, 0, 0, 0, 0, 62.59, 62.59, 62.59, 62.59
1/4/2017, 62.76, 63.08, 62.68, 62.96, 8889278, 0, 0, 0, 0, 0, 0.0295156695156606, 0.00590313390313213, 0.0236125356125285, 62.96, 62.96, 62.96, 62.96
1/5/2017, 62.91, 63.27, 62.44, 62.78, 9850871, 0, 0, 0, 0, 0, 0.0379451465491272, 0.0123115364323311, 0.025633610116796, 62.8716666666667, 62.8716666666667, 62.8716666666667, 62.8716666666667
1/6/2017, 62.79, 63.31, 62.58, 63.14, 12124458, 0, 0, 0, 0, 0, 0.0728349630676632, 0.0244162217593976, 0.0484187413082657, 63.088, 63.088, 63.088, 63.088
1/9/2017, 63.07, 63.07, 62.62, 62.65, 5970451, 0, 0, 0, 0, 0, 0.0602519422423811, 0.0315833658559943, 0.0286685763863868, 62.884, 62.884, 62.884, 62.884
1/10/2017, 62.76, 63.15, 62.63, 62.91, 8237838, 0, 0, 0, 0, 0, 0.0704475590631262, 0.0393562044974206, 0.0310913545657055, 62.9119047619048, 62.9119047619048, 62.9119047619048, 62.9119047619048
1/11/2017, 62.95, 63.3, 62.88, 63.24, 11113720, 0, 0, 0, 0, 0, 0.103957543078657, 0.0522764722136679, 0.0516810708649891, 63.08, 63.08, 63.08, 63.08
1/12/2017, 63.18, 63.24, 62.37, 62.98, 11844617, 0, 0, 0, 0, 0, 0.108286361973114, 0.0634784501655572, 0.0448079118075571, 63.0741666666667, 63.0741666666667, 63.0741666666667, 63.0741666666667
1/13/2017, 63.02, 63.28, 63, 63.22, 7130190, 0, 0, 0, 0, 0, 0.129589153278197, 0.0767005907880851, 0.0528885624901115, 63.1591111111111, 63.1591111111111, 63.1591111111111, 63.1591111111111
1/17/2017, 62.88, 62.99, 62.55, 62.73, 10689396, 0, 0, 0, 0, 0, 0.105714255830286, 0.0825033237965252, 0.0232109320337605, 63.0465454545455, 63.0465454545455, 63.0465454545455, 63.0465454545455
1/18/2017, 62.64, 63.09, 62.51, 62.97, 8098636, 0, 0, 0, 0, 0, 0.104949430128023, 0.0869925450628248, 0.0179568850651985, 62.9978181818182, 63.0413636363636, 63.0413636363636, 63.0413636363636
