Date,PGJ_Open,PGJ_High,PGJ_Low,PGJ_Close,PGJ_Volume,PGJ_ATRPercentOfClose20,PGJ_SQN25,PGJ_SQN50,PGJ_SQN100,PGJ_SQN200,PGJ_MACD,PGJ_MACD_Avg,PGJ_MACD_Diff,PGJ_LinReg10,PGJ_LinReg30,PGJ_LinReg90,PGJ_LinReg270
1/3/2017, 28.56, 29.07, 28.56, 28.91, 15660, 0, 0, 0, 0, 0, 0, 0, 0, 28.91, 28.91, 28.91, 28.91
1/4/2017, 29.12, 29.42, 29.12, 29.36, 17589, 0, 0, 0, 0, 0, 0.0358974358974358, 0.00717948717948715, 0.0287179487179486, 29.36, 29.36, 29.36, 29.36
1/5/2017, 29.4, 30.27, 29.4, 30.26, 17232, 0, 0, 0, 0, 0, 0.135407991818248, 0.0328251881072393, 0.102582803711009, 30.185, 30.185, 30.185, 30.185
1/6/2017, 30.19, 30.23, 30.04, 30.23, 8273, 0, 0, 0, 0, 0, 0.209435829171383, 0.0681473163200681, 0.141288512851315, 30.419, 30.419, 30.419, 30.419
1/9/2017, 30.49, 30.57, 30.23, 30.45, 10807, 0, 0, 0, 0, 0, 0.282597971494532, 0.111037447354961, 0.171560524139571, 30.632, 30.632, 30.632, 30.632
1/10/2017, 30.4, 30.88, 30.4, 30.76, 18502, 0, 0, 0, 0, 0, 0.361427593297634, 0.161115476543496, 0.200312116754139, 30.8871428571429, 30.8871428571429, 30.8871428571429, 30.8871428571429
1/11/2017, 30.6, 30.76, 30.4, 30.62, 12396, 0, 0, 0, 0, 0, 0.407901768860775, 0.210472735006951, 0.197429033853823, 30.9542857142857, 30.9542857142857, 30.9542857142857, 30.9542857142857
1/12/2017, 30.51, 30.51, 30.2, 30.48, 11622, 0, 0, 0, 0, 0, 0.428496615597012, 0.254077511124964, 0.174419104472049, 30.9258333333333, 30.9258333333333, 30.9258333333333, 30.9258333333333
1/13/2017, 30.65, 30.78, 30.62, 30.76, 16603, 0, 0, 0, 0, 0, 0.462085209300941, 0.295679050760159, 0.166406158540782, 31.004, 31.004, 31.004, 31.004
1/17/2017, 30.68, 30.8, 30.56, 30.78, 14148, 0, 0, 0, 0, 0, 0.484730572353293, 0.333489355078786, 0.151241217274507, 31.0576363636363, 31.0576363636363, 31.0576363636363, 31.0576363636363
1/18/2017, 30.85, 30.85, 30.39, 30.47, 3161, 0, 0, 0, 0, 0, 0.472219326056951, 0.361235349274419, 0.110983976782532, 30.8596363636364, 30.9913636363636, 30.9913636363636, 30.9913636363636
1/19/2017, 30.7, 30.74, 30.65, 30.69, 4644, 0, 0, 0, 0, 0, 0.474585508291362, 0.383905381077808, 0.0906801272135545, 30.7425454545455, 31.0028205128205, 31.0028205128205, 31.0028205128205
1/20/2017, 30.79, 30.79, 30.6, 30.6, 11428, 0, 0, 0, 0, 0, 0.463851485730959, 0.399894602008438, 0.0639568837225215, 30.7018181818182, 30.982967032967, 30.982967032967, 30.982967032967
1/23/2017, 30.62, 30.84, 30.57, 30.81, 14798, 0, 0, 0, 0, 0, 0.466907718930287, 0.413297225392808, 0.053610493537479, 30.7090909090909, 31.0185714285714, 31.0185714285714, 31.0185714285714
1/24/2017, 30.98, 31.2, 30.98, 31.13, 10601, 0, 0, 0, 0, 0, 0.489508383471865, 0.428539457008619, 0.0609689264632456, 30.8392727272727, 31.1211666666667, 31.1211666666667, 31.1211666666667
1/25/2017, 31.29, 31.29, 31.11, 31.23, 4606, 0, 0, 0, 0, 0, 0.509614221691375, 0.44475440994517, 0.064859811746205, 31.0289090909091, 31.2232352941176, 31.2232352941176, 31.2232352941176
1/26/2017, 31.26, 31.26, 30.95, 31.09, 15739, 0, 0, 0, 0, 0, 0.508390998396788, 0.457481727635494, 0.0509092707612938, 31.1165454545454, 31.2731372549019, 31.2731372549019, 31.2731372549019
