Date,VXX_Open,VXX_High,VXX_Low,VXX_Close,VXX_Volume,VXX_ATRPercentOfClose20,VXX_SQN25,VXX_SQN50,VXX_SQN100,VXX_SQN200,VXX_MACD,VXX_MACD_Avg,VXX_MACD_Diff,VXX_LinReg10,VXX_LinReg30,VXX_LinReg90,VXX_LinReg270
1/3/2017, 97.92, 98.65, 94.56, 94.8, 39114761, 0, 0, 0, 0, 0, 0, 0, 0, 94.8, 94.8, 94.8, 94.8
1/4/2017, 93.68, 93.72, 88.84, 89.92, 35627800, 0, 0, 0, 0, 0, -0.389287749287746, -0.0778575498575492, -0.311430199430197, 89.92, 89.92, 89.92, 89.92
1/5/2017, 90.6, 92.32, 89.44, 89.6, 28704628, 0, 0, 0, 0, 0, -0.715376011558348, -0.205361242197709, -0.510014769360639, 88.84, 88.84, 88.84, 88.84
1/6/2017, 88.64, 89.4, 86.52, 88.52, 39994617, 0, 0, 0, 0, 0, -1.04885968129675, -0.374060930017517, -0.674798751279231, 87.836, 87.836, 87.836, 87.836
1/9/2017, 88.8, 89.64, 86.8, 88.16, 29282991, 0, 0, 0, 0, 0, -1.32690119255849, -0.564628982525712, -0.762272210032783, 87.264, 87.264, 87.264, 87.264
1/10/2017, 87.2, 88.84, 86.52, 87.6, 28574945, 0, 0, 0, 0, 0, -1.57429096699369, -0.766561379419307, -0.807729587574379, 86.7409523809524, 86.7409523809524, 86.7409523809524, 86.7409523809524
1/11/2017, 87.64, 89.36, 85.4, 85.76, 41641683, 0, 0, 0, 0, 0, -1.89695485332331, -0.992640074200107, -0.904314779123201, 85.6371428571428, 85.6371428571428, 85.6371428571428, 85.6371428571428
1/12/2017, 86.36, 90.04, 85.52, 85.6, 52942752, 0, 0, 0, 0, 0, -2.14090000810211, -1.22229206098051, -0.9186079471216, 84.93, 84.93, 84.93, 84.93
1/13/2017, 85.2, 86.8, 84.64, 85.8, 35721954, 0, 0, 0, 0, 0, -2.29167299252308, -1.43616824728902, -0.855504745234054, 84.5804444444445, 84.5804444444445, 84.5804444444445, 84.5804444444445
1/17/2017, 87, 87.28, 85.16, 85.56, 35706836, 0, 0, 0, 0, 0, -2.40282934222583, -1.62950046627638, -0.773328875949446, 84.2909090909091, 84.2909090909091, 84.2909090909091, 84.2909090909091
