Date,FXF_Open,FXF_High,FXF_Low,FXF_Close,FXF_Volume,FXF_ATRPercentOfClose20,FXF_SQN25,FXF_SQN50,FXF_SQN100,FXF_SQN200,FXF_MACD,FXF_MACD_Avg,FXF_MACD_Diff,FXF_LinReg10,FXF_LinReg30,FXF_LinReg90,FXF_LinReg270
1/3/2017, 92.76, 93.07, 92.37, 92.89, 13958, 0, 0, 0, 0, 0, 0, 0, 0, 92.89, 92.89, 92.89, 92.89
1/4/2017, 93.02, 93.45, 93.02, 93.4, 44168, 0, 0, 0, 0, 0, 0.0406837606837485, 0.00813675213674969, 0.0325470085469988, 93.3999999999999, 93.3999999999999, 93.3999999999999, 93.3999999999999
1/5/2017, 93.96, 94.5, 93.96, 94.47, 21435, 0, 0, 0, 0, 0, 0.157450994715944, 0.0379996006525886, 0.119451394063356, 94.3766666666666, 94.3766666666666, 94.3766666666666, 94.3766666666666
1/6/2017, 93.8, 94.02, 93.75, 93.8, 8263, 0, 0, 0, 0, 0, 0.193693688106222, 0.0691384181433153, 0.124555269962907, 94.21, 94.21, 94.21, 94.21
1/9/2017, 93.74, 94.02, 93.74, 93.99, 6042, 0, 0, 0, 0, 0, 0.235038320385158, 0.102318398591684, 0.132719921793474, 94.23, 94.23, 94.23, 94.23
1/10/2017, 93.97, 94.14, 93.75, 93.91, 8952, 0, 0, 0, 0, 0, 0.258370572793012, 0.13352883343195, 0.124841739361063, 94.1861904761905, 94.1861904761905, 94.1861904761905, 94.1861904761905
1/11/2017, 93.34, 94.23, 93.18, 93.98, 39728, 0, 0, 0, 0, 0, 0.279290479120633, 0.162681162569686, 0.116609316550946, 94.1853571428571, 94.1853571428571, 94.1853571428571, 94.1853571428571
1/12/2017, 94.59, 94.8, 94.37, 94.48, 10825, 0, 0, 0, 0, 0, 0.332383961524073, 0.196621722360564, 0.135762239163509, 94.3875, 94.3875, 94.3875, 94.3875
1/13/2017, 94.54, 94.59, 94.37, 94.59, 4248, 0, 0, 0, 0, 0, 0.378968496609133, 0.233091077210277, 0.145877419398855, 94.5568888888888, 94.5568888888888, 94.5568888888888, 94.5568888888888
1/17/2017, 95.38, 95.42, 95.11, 95.16, 20869, 0, 0, 0, 0, 0, 0.456617707896754, 0.277796403347573, 0.178821304549181, 94.8652727272727, 94.8652727272727, 94.8652727272727, 94.8652727272727
1/18/2017, 95.18, 95.29, 94.73, 94.73, 17231, 0, 0, 0, 0, 0, 0.477948369641766, 0.317826796606411, 0.160121573035354, 94.8589090909091, 94.9431818181818, 94.9431818181818, 94.9431818181818
1/19/2017, 94.42, 94.81, 94.25, 94.76, 22492, 0, 0, 0, 0, 0, 0.49160688389054, 0.352582814063237, 0.139024069827303, 94.8645454545454, 95.0042307692307, 95.0042307692307, 95.0042307692307
1/20/2017, 94.76, 95.24, 94.68, 95.16, 34066, 0, 0, 0, 0, 0, 0.528614473300379, 0.387789145910666, 0.140825327389714, 95.1481818181818, 95.1557142857142, 95.1557142857142, 95.1557142857142
1/23/2017, 95.37, 95.57, 95.24, 95.5, 21949, 0, 0, 0, 0, 0, 0.578707433968475, 0.425972803522228, 0.152734630446247, 95.3776363636363, 95.3557142857142, 95.3557142857142, 95.3557142857142
1/24/2017, 95.39, 95.52, 95.21, 95.31, 14693, 0, 0, 0, 0, 0, 0.596202403905366, 0.460018723598855, 0.136183680306511, 95.4867272727273, 95.4626666666666, 95.4626666666666, 95.4626666666666
1/25/2017, 95.27, 95.47, 95.22, 95.45, 27711, 0, 0, 0, 0, 0, 0.614283050962413, 0.490871589071567, 0.123411461890846, 95.5561818181818, 95.5760294117647, 95.5760294117647, 95.5760294117647
1/26/2017, 95.44, 95.51, 95.31, 95.45, 19333, 0, 0, 0, 0, 0, 0.621448423432042, 0.516986955943662, 0.10446146748838, 95.5556363636364, 95.6641176470588, 95.6641176470588, 95.6641176470588
1/27/2017, 95.46, 95.55, 95.39, 95.43, 17004, 0, 0, 0, 0, 0, 0.618384844330677, 0.537266533621065, 0.0811183107096121, 95.568, 95.7288304093567, 95.7288304093567, 95.7288304093567
1/30/2017, 95.24, 95.94, 95.24, 95.83, 55615, 0, 0, 0, 0, 0, 0.640846315469716, 0.557982489990795, 0.0828638254789206, 95.6887272727273, 95.8572631578947, 95.8572631578947, 95.8572631578947
1/31/2017, 96.24, 96.6, 96.24, 96.36, 26080, 0, 0, 0, 0, 0, 0.693420444533416, 0.585070080899319, 0.108350363634097, 96.0389090909091, 96.0601428571428, 96.0601428571428, 96.0601428571428
2/1/2017, 96.05, 96.11, 95.79, 96.11, 13964, 0, 0, 0, 0, 0, 0.706765754261014, 0.609409215571658, 0.0973565386893552, 96.1512727272728, 96.1839393939394, 96.1839393939394, 96.1839393939394
2/2/2017, 96.5, 96.57, 96.01, 96.01, 15646, 0.581417300281218, 0, 0, 0, 0, 0.701189962688474, 0.627765364995021, 0.0734245976934527, 96.1598181818183, 96.2694071146245, 96.2694071146245, 96.2694071146245
2/3/2017, 95.88, 96.21, 95.88, 96.06, 8316, 0.569235699042263, 0, 0, 0, 0, 0.692819300200711, 0.640776152036159, 0.0520431481645514, 96.1974545454546, 96.3481521739131, 96.3481521739131, 96.3481521739131
2/6/2017, 95.79, 96.23, 95.79, 96.23, 5069, 0.562680475813153, 0, 0, 0, 0, 0.691926965770705, 0.651006314783068, 0.0409206509876364, 96.3127272727274, 96.4402333333334, 96.4402333333334, 96.4402333333334
2/7/2017, 95.44, 95.74, 95.44, 95.68, 23207, 0.578902645047291, 0, 0, 0, 0, 0.639467991892246, 0.648698650204904, -0.00923065831265768, 96.1601818181819, 96.4348615384616, 96.4348615384616, 96.4348615384616
2/8/2017, 95.79, 95.96, 95.75, 95.76, 8395, 0.564117949292173, 1.5409809513533, 0, 0, 0, 0.59746203809128, 0.638451327782179, -0.0409892896908995, 96.043090909091, 96.4397435897436, 96.4397435897436, 96.4397435897436
2/9/2017, 95.58, 95.6, 95.18, 95.2, 25551, 0.569526660535794, 0.939623920359291, 0, 0, 0, 0.513070341659287, 0.613375130557601, -0.100304788898314, 95.7156363636364, 96.3636243386244, 96.3636243386244, 96.3636243386244
2/10/2017, 94.87, 95.09, 94.82, 94.99, 26306, 0.562248564889538, 0.320883122955412, 0, 0, 0, 0.424352398965723, 0.575570584239225, -0.151218185273502, 95.3252727272728, 96.2665024630543, 96.2665024630543, 96.2665024630543
2/13/2017, 94.89, 94.89, 94.66, 94.75, 10716, 0.55290334163498, 0.630029793534229, 0, 0, 0, 0.330862815385686, 0.526629030468517, -0.195766215082832, 94.9560000000001, 96.1477241379311, 96.1477241379311, 96.1477241379311
2/14/2017, 94.87, 94.91, 94.57, 94.68, 14115, 0.543601732561456, 0.460863859368485, 0, 0, 0, 0.24826142864481, 0.470955510103776, -0.222694081458966, 94.7274545454547, 96.0321290322582, 96.0321290322582, 96.0321290322582
2/15/2017, 94.36, 94.82, 94.36, 94.82, 10067, 0.539915644768748, 0.605232821709812, 0, 0, 0, 0.191884143549871, 0.415141236792995, -0.223257093243124, 94.5889090909092, 95.8678494623657, 95.9452419354839, 95.9452419354839
2/16/2017, 95.29, 95.59, 95.29, 95.59, 12781, 0.549064351554808, 0.961275000965698, 0, 0, 0, 0.206951693477777, 0.373503328129951, -0.166551634652175, 94.7667272727274, 95.8228172043011, 95.958465909091, 95.958465909091
2/17/2017, 95.5, 95.5, 94.99, 95.03, 5106, 0.556253901892749, 0.326457633177115, 0, 0, 0, 0.171725965432941, 0.333147855590549, -0.161421890157608, 94.7840000000001, 95.763935483871, 95.9046167557933, 95.9046167557933
2/21/2017, 94.39, 94.51, 94.31, 94.44, 12962, 0.569862006374677, -0.0724901045641454, 0, 0, 0, 0.0951049424298986, 0.285539272958419, -0.19043433052852, 94.6876363636364, 95.5819139784946, 95.7889243697479, 95.7889243697479
2/22/2017, 94.1, 94.4, 94, 94.39, 18401, 0.564963232205989, -0.434843557817303, 0, 0, 0, 0.0300018054055329, 0.234431779447842, -0.204429974042309, 94.5616363636364, 95.4020860215053, 95.6782857142857, 95.6782857142857
2/23/2017, 94.52, 94.75, 94.52, 94.68, 7897, 0.5540825466152, -0.0201967849779141, 0, 0, 0, 0.00178707633622821, 0.187902838825519, -0.186115762489291, 94.6221818181818, 95.2511397849461, 95.6084234234234, 95.6084234234234
2/24/2017, 94.7, 94.84, 94.57, 94.57, 13995, 0.541265821485152, -0.101872266019347, 0, 0, 0, -0.0291137749441077, 0.144499516071594, -0.173613291015702, 94.5916363636363, 95.0859354838709, 95.5330725462304, 95.5330725462304
2/27/2017, 94.72, 94.8, 94.4, 94.42, 14506, 0.536201369423408, -0.434596510535808, 0, 0, 0, -0.0649578746658221, 0.102608037924111, -0.167565912589933, 94.5016363636363, 94.9312258064515, 95.4488663967612, 95.4488663967612
2/28/2017, 94.81, 95.16, 94.81, 94.88, 30842, 0.545918282418953, -0.354188891336962, 0, 0, 0, -0.0556054414031593, 0.0709653420586566, -0.126570783461816, 94.5536363636364, 94.8426021505376, 95.4170641025641, 95.4170641025641
3/1/2017, 94.12, 94.62, 94.08, 94.44, 46561, 0.563393586447636, -0.489863725463949, 0, 0, 0, -0.0827440712810983, 0.0402234593907057, -0.122967530671804, 94.4325454545454, 94.7342795698923, 95.3452804878049, 95.3452804878049
3/2/2017, 93.99, 94.26, 93.92, 94.01, 13281, 0.565328643643325, -0.802590878156655, 0, 0, 0, -0.137365572509893, 0.00470565301058596, -0.142071225520479, 94.204, 94.5473763440859, 95.2387456445993, 95.2387456445993
3/3/2017, 94.24, 94.39, 94.01, 94.39, 27138, 0.555029330431863, -0.570145699386055, 0, 0, 0, -0.148281386036615, -0.0258917547988542, -0.122389631237761, 94.3049090909091, 94.4153333333333, 95.1755703211518, 95.1755703211518
3/6/2017, 94.37, 94.37, 94.07, 94.14, 14696, 0.545674076635759, -0.6925274504044, 0, 0, 0, -0.175086865169675, -0.0557307768730184, -0.119356088296657, 94.2729090909091, 94.2806236559138, 95.0947780126851, 95.0947780126851
3/7/2017, 93.68, 94.07, 93.67, 93.99, 9370, 0.54422033935276, -1.02230181936222, 0, 0, 0, -0.206058828989939, -0.0857963872964024, -0.120262441693536, 94.1196363636363, 94.1561290322579, 95.0069393939395, 95.0069393939395
