Date,SLX_Open,SLX_High,SLX_Low,SLX_Close,SLX_Volume,SLX_ATRPercentOfClose20,SLX_SQN25,SLX_SQN50,SLX_SQN100,SLX_SQN200,SLX_MACD,SLX_MACD_Avg,SLX_MACD_Diff,SLX_LinReg10,SLX_LinReg30,SLX_LinReg90,SLX_LinReg270
1/3/2017, 38.5, 39.04, 38.3, 38.94, 68877, 0, 0, 0, 0, 0, 0, 0, 0, 38.94, 38.94, 38.94, 38.94
1/4/2017, 38.95, 39.56, 38.54, 39.56, 145189, 0, 0, 0, 0, 0, 0.0494586894586888, 0.00989173789173776, 0.039566951566951, 39.56, 39.56, 39.56, 39.56
1/5/2017, 39.8, 40.2, 39.55, 39.85, 127736, 0, 0, 0, 0, 0, 0.110778646277225, 0.0300691195688353, 0.0807095267083901, 39.905, 39.905, 39.905, 39.905
1/6/2017, 39.56, 39.78, 38.89, 38.89, 148696, 0, 0, 0, 0, 0, 0.0809777161917182, 0.0402508388934119, 0.0407268772983064, 39.331, 39.331, 39.331, 39.331
1/9/2017, 39.13, 39.35, 38.6, 38.69, 50044, 0, 0, 0, 0, 0, 0.0407521702137004, 0.0403511051574696, 0.000401065056230797, 38.952, 38.952, 38.952, 38.952
1/10/2017, 39.92, 40.63, 39.74, 40.59, 317708, 0, 0, 0, 0, 0, 0.160338968433621, 0.0643486778126998, 0.0959902906209209, 39.7542857142857, 39.7542857142857, 39.7542857142857, 39.7542857142857
1/11/2017, 40.8, 41.4, 40.37, 41.38, 109552, 0, 0, 0, 0, 0, 0.315225047170792, 0.114523951684318, 0.200701095486473, 40.5807142857143, 40.5807142857143, 40.5807142857143, 40.5807142857143
1/12/2017, 41.15, 41.44, 40.84, 41.12, 113162, 0, 0, 0, 0, 0, 0.41224149008827, 0.174067459365109, 0.238174030723162, 40.9766666666667, 40.9766666666667, 40.9766666666667, 40.9766666666667
1/13/2017, 40.84, 41.41, 40.71, 41.02, 45086, 0, 0, 0, 0, 0, 0.475576407016916, 0.23436924889547, 0.241207158121446, 41.1884444444445, 41.1884444444445, 41.1884444444445, 41.1884444444445
1/17/2017, 40.99, 41.21, 40.75, 40.95, 43203, 0, 0, 0, 0, 0, 0.514194060940874, 0.290334211304551, 0.223859849636323, 41.2998181818182, 41.2998181818182, 41.2998181818182, 41.2998181818182
1/18/2017, 41.07, 42.22, 41.05, 41.8, 102655, 0, 0, 0, 0, 0, 0.60639656403297, 0.353546681850235, 0.252849882182735, 41.6556363636364, 41.6409090909091, 41.6409090909091, 41.6409090909091
1/19/2017, 41.52, 41.56, 40.63, 41.11, 56812, 0, 0, 0, 0, 0, 0.616681755184523, 0.406173696517092, 0.21050805866743, 41.7410909090909, 41.68, 41.68, 41.68
1/20/2017, 41.11, 41.43, 40.85, 41.23, 36867, 0, 0, 0, 0, 0, 0.627284890643033, 0.45039593534228, 0.176888955300752, 41.8414545454545, 41.735054945055, 41.735054945055, 41.735054945055
1/23/2017, 41.76, 41.95, 41.39, 41.87, 37554, 0, 0, 0, 0, 0, 0.679497775795511, 0.496216303432927, 0.183281472362584, 41.8956363636363, 41.9357142857143, 41.9357142857143, 41.9357142857143
1/24/2017, 42.69, 43.26, 42.43, 42.74, 165142, 0, 0, 0, 0, 0, 0.782063451903056, 0.553385733126952, 0.228677718776104, 42.0478181818182, 42.2975833333334, 42.2975833333334, 42.2975833333334
