Date,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Volume,XAUUSD_ATRPercentOfClose20,XAUUSD_SQN25,XAUUSD_SQN50,XAUUSD_SQN100,XAUUSD_SQN200,XAUUSD_MACD,XAUUSD_MACD_Avg,XAUUSD_MACD_Diff,XAUUSD_LinReg10,XAUUSD_LinReg30,XAUUSD_LinReg90,XAUUSD_LinReg270
1/2/2017, 1151.73, 1151.73, 1151.36, 1151.36, 200000, 0, 0, 0, 0, 0, 0, 0, 0, 1151.36, 1151.36, 1151.36, 1151.36
1/3/2017, 1152.415, 1162.885, 1146.1, 1158.69, 608400000, 0, 0, 0, 0, 0, 0.58472934472934, 0.116945868945868, 0.467783475783472, 1158.69, 1158.69, 1158.69, 1158.69
1/4/2017, 1158.725, 1167.35, 1156.1, 1162.76, 629300000, 0, 0, 0, 0, 0, 1.36085940860858, 0.36572857687841, 0.995130831730166, 1163.30333333333, 1163.30333333333, 1163.30333333333, 1163.30333333333
1/5/2017, 1162.765, 1184.55, 1162.765, 1179.95, 628300000, 0, 0, 0, 0, 0, 3.32471220043885, 0.957525301590498, 2.36718689884835, 1176.666, 1176.666, 1176.666, 1176.666
1/6/2017, 1180.04, 1181.16, 1170.8, 1171.73, 650900000, 0, 0, 0, 0, 0, 4.16972835129786, 1.59996591153197, 2.56976243976589, 1177.298, 1177.298, 1177.298, 1177.298
1/9/2017, 1172.03, 1185.39, 1172.03, 1180.635, 649900000, 0, 0, 0, 0, 0, 5.49463014070284, 2.37889875736614, 3.11573138333669, 1181.99833333333, 1181.99833333333, 1181.99833333333, 1181.99833333333
1/10/2017, 1180.5, 1189.875, 1180.1, 1187.4, 664800000, 0, 0, 0, 0, 0, 7.00969986014297, 3.30505897792151, 3.70464088222146, 1187.60857142857, 1187.60857142857, 1187.60857142857, 1187.60857142857
1/11/2017, 1187.37, 1197.845, 1177.445, 1191.5, 685400000, 0, 0, 0, 0, 0, 8.44390320317825, 4.33282782297286, 4.11107538020539, 1192.58375, 1192.58375, 1192.58375, 1192.58375
1/12/2017, 1191.4, 1206.145, 1191.085, 1195.22, 677400000, 0, 0, 0, 0, 0, 9.76809211064847, 5.41988068050798, 4.34821143014049, 1197.06066666667, 1197.06066666667, 1197.06066666667, 1197.06066666667
1/13/2017, 1195.26, 1200.38, 1187.975, 1197.11, 676700000, 0, 0, 0, 0, 0, 10.8450139941574, 6.50490734323786, 4.34010665091953, 1200.61045454545, 1200.61045454545, 1200.61045454545, 1200.61045454545
1/16/2017, 1197.19, 1207.4, 1197.19, 1202.855, 1017000000, 0, 0, 0, 0, 0, 12.0234569058052, 7.60861725575134, 4.41483965005389, 1204.06754545455, 1204.80568181818, 1204.80568181818, 1204.80568181818
1/17/2017, 1202.82, 1218.4, 1202.52, 1216.58, 642300000, 0, 0, 0, 0, 0, 13.9045907322436, 8.86781195104979, 5.03677878119381, 1210.92318181818, 1211.78596153846, 1211.78596153846, 1211.78596153846
1/18/2017, 1216.545, 1217.135, 1202.44, 1203.76, 666800000, 0, 0, 0, 0, 0, 14.1972785936159, 9.93370527956302, 4.2635733140529, 1211.00645454545, 1213.37928571429, 1213.37928571429, 1213.37928571429
1/19/2017, 1203.715, 1206.28, 1195.9, 1204.45, 669900000, 0, 0, 0, 0, 0, 14.3198428315159, 10.8109327899536, 3.50891004156228, 1212.52972727273, 1214.64871428571, 1214.64871428571, 1214.64871428571
1/20/2017, 1204.43, 1214.32, 1198.665, 1208.79, 645200000, 0, 0, 0, 0, 0, 14.5988906779446, 11.5685243675518, 3.03036631039281, 1212.57190909091, 1216.57520833333, 1216.57520833333, 1216.57520833333
1/23/2017, 1208.9, 1219.15, 1208.71, 1217.785, 435400000, 0, 0, 0, 0, 0, 15.3686986410671, 12.3285592222549, 3.04013941881225, 1215.481, 1220.05566176471, 1220.05566176471, 1220.05566176471
1/24/2017, 1217.85, 1219.205, 1206.565, 1208.69, 423700000, 0, 0, 0, 0, 0, 15.0711556077179, 12.8770784993475, 2.1940771083704, 1214.57481818182, 1220.80892156863, 1220.80892156863, 1220.80892156863
1/25/2017, 1208.735, 1209.57, 1193.63, 1199.8, 549300000, 0, 0, 0, 0, 0, 13.9571129963165, 13.0930853987413, 0.86402759757522, 1210.25627272727, 1219.51754385965, 1219.51754385965, 1219.51754385965
1/26/2017, 1199.935, 1202.4, 1184.345, 1188.64, 630200000, 0, 0, 0, 0, 0, 12.0349757595054, 12.8814634708941, -0.846487711388679, 1202.37372727273, 1216.20060526316, 1216.20060526316, 1216.20060526316
1/27/2017, 1188.575, 1191.58, 1181.335, 1191.015, 632000000, 0, 0, 0, 0, 0, 10.5813357504996, 12.4214379268152, -1.84010217631556, 1196.04854545455, 1213.8095, 1213.8095, 1213.8095
1/30/2017, 1190.84, 1198.805, 1188.135, 1195.065, 612800000, 0, 0, 0, 0, 0, 9.64493590583129, 11.8661375226184, -2.22120161678713, 1192.60390909091, 1212.46294372294, 1212.46294372294, 1212.46294372294
1/31/2017, 1195.19, 1215.15, 1193.875, 1210.3, 615900000, 1.12180528587954, 0, 0, 0, 0, 10.0167031397141, 11.4962506460376, -1.47954750632347, 1197.59218181818, 1213.86583003953, 1213.86583003953, 1213.86583003953
2/1/2017, 1210.32, 1212.875, 1198.11, 1209.64, 613600000, 1.12732704823336, 0, 0, 0, 0, 10.141173728771, 11.2252352625843, -1.08406153381322, 1200.131, 1214.91945652174, 1214.91945652174, 1214.91945652174
2/2/2017, 1209.695, 1225.095, 1208.345, 1215.77, 612600000, 1.13444721953474, 0, 0, 0, 0, 10.612127338673, 11.102613677802, -0.490486339129031, 1204.60472727273, 1216.75078333333, 1216.75078333333, 1216.75078333333
2/3/2017, 1215.625, 1221.14, 1210.465, 1220.28, 614300000, 1.11748168558779, 0, 0, 0, 0, 11.2199442428562, 11.1260797908128, 0.0938644520433432, 1210.887, 1218.98295384615, 1218.98295384615, 1218.98295384615
2/6/2017, 1220.01, 1235.57, 1219.345, 1235.22, 631100000, 1.11444400489355, 2.11089733454854, 0, 0, 0, 12.7600863274115, 11.4528810981326, 1.30720522927894, 1223.50263636364, 1223.06525641026, 1223.06525641026, 1223.06525641026
2/7/2017, 1235.215, 1235.64, 1227.69, 1233.6, 649100000, 1.09233491207716, 1.88051175684455, 0, 0, 0, 13.6921054953405, 11.9007259775741, 1.79137951776631, 1232.78863636364, 1226.38018518519, 1226.38018518519, 1226.38018518519
2/8/2017, 1233.59, 1244.61, 1230.185, 1241.31, 635700000, 1.08937665060417, 1.9510557392228, 0, 0, 0, 14.8813272879306, 12.4968462396454, 2.38448104828518, 1241.60136363637, 1230.30828817734, 1230.30828817734, 1230.30828817734
2/9/2017, 1241.385, 1243.84, 1228.67, 1229, 605600000, 1.1069905806781, 1.22878982508374, 0, 0, 0, 14.6614716862514, 12.9297713289666, 1.73170035728476, 1241.66536363637, 1232.13393103448, 1232.13393103448, 1232.13393103448
2/10/2017, 1228.78, 1236.7, 1221.61, 1233.24, 619800000, 1.10920571216529, 1.59249509893033, 0, 0, 0, 14.6603714662888, 13.2758913564311, 1.38448010985772, 1241.46763636364, 1234.25917204301, 1234.25917204301, 1234.25917204301
