Date,XLK_Open,XLK_High,XLK_Low,XLK_Close,XLK_Volume,XLK_ATRPercentOfClose20,XLK_SQN25,XLK_SQN50,XLK_SQN100,XLK_SQN200,XLK_MACD,XLK_MACD_Avg,XLK_MACD_Diff,XLK_LinReg10,XLK_LinReg30,XLK_LinReg90,XLK_LinReg270
1/3/2017, 48.67, 48.96, 48.5, 48.79, 13940564, 0, 0, 0, 0, 0, 0, 0, 0, 48.79, 48.79, 48.79, 48.79
1/4/2017, 48.83, 49.03, 48.8, 48.96, 7223081, 0, 0, 0, 0, 0, 0.0135612535612637, 0.00271225071225274, 0.010849002849011, 48.96, 48.96, 48.96, 48.96
1/5/2017, 48.91, 49.16, 48.85, 49.04, 5502865, 0, 0, 0, 0, 0, 0.0304133895017173, 0.00825247847014566, 0.0221609110315717, 49.055, 49.055, 49.055, 49.055
1/6/2017, 49.04, 49.47, 48.9, 49.4, 8750635, 0, 0, 0, 0, 0, 0.0719879872955005, 0.0209995802352166, 0.0509884070602839, 49.334, 49.334, 49.334, 49.334
1/9/2017, 49.43, 49.55, 49.36, 49.39, 8313464, 0, 0, 0, 0, 0, 0.102942581153364, 0.0373881804188461, 0.065554400734518, 49.444, 49.444, 49.444, 49.444
1/10/2017, 49.4, 49.57, 49.23, 49.4, 7735815, 0, 0, 0, 0, 0, 0.12681934179809, 0.0552744126946948, 0.0715449291033948, 49.4990476190477, 49.4990476190477, 49.4990476190477, 49.4990476190477
1/11/2017, 49.31, 49.63, 49.25, 49.63, 7586507, 0, 0, 0, 0, 0, 0.162428549234292, 0.0767052400026143, 0.0857233092316778, 49.6317857142858, 49.6317857142858, 49.6317857142858, 49.6317857142858
1/12/2017, 49.44, 49.57, 49.04, 49.51, 6862721, 0, 0, 0, 0, 0, 0.178903813758559, 0.0971449547538033, 0.081758859004756, 49.6591666666667, 49.6591666666667, 49.6591666666667, 49.6591666666667
1/13/2017, 49.51, 49.75, 49.51, 49.66, 4832928, 0, 0, 0, 0, 0, 0.201738806605114, 0.118063725124065, 0.0836750814810486, 49.7295555555556, 49.7295555555556, 49.7295555555556, 49.7295555555556
1/17/2017, 49.53, 49.61, 49.36, 49.47, 4825753, 0, 0, 0, 0, 0, 0.202173757620443, 0.134885731623341, 0.067288025997102, 49.7087272727273, 49.7087272727273, 49.7087272727273, 49.7087272727273
1/18/2017, 49.61, 49.67, 49.48, 49.6, 6157702, 0, 0, 0, 0, 0, 0.210580927132497, 0.150024770725172, 0.060556156407325, 49.6967272727273, 49.7322727272727, 49.7322727272727, 49.7322727272727
1/19/2017, 49.6, 49.78, 49.44, 49.53, 7250031, 0, 0, 0, 0, 0, 0.209183912623345, 0.161856599104807, 0.0473273135185384, 49.6503636363636, 49.7265384615384, 49.7265384615384, 49.7265384615384
1/20/2017, 49.75, 49.93, 49.67, 49.8, 8755400, 0, 0, 0, 0, 0, 0.227243984872601, 0.174934076258366, 0.0523099086142353, 49.6821818181818, 49.7943956043956, 49.7943956043956, 49.7943956043956
1/23/2017, 49.75, 49.91, 49.54, 49.89, 11977629, 0, 0, 0, 0, 0, 0.245983426265916, 0.189143946259876, 0.0568394800060401, 49.7756363636364, 49.868, 49.868, 49.868
1/24/2017, 49.85, 50.28, 49.83, 50.2, 6510953, 0, 0, 0, 0, 0, 0.28259143959383, 0.207833444926667, 0.0747579946671633, 49.9474545454545, 49.9989166666667, 49.9989166666667, 49.9989166666667
1/25/2017, 50.47, 50.68, 50.43, 50.68, 9197791, 0, 0, 0, 0, 0, 0.34634311454198, 0.235535378849729, 0.110807735692251, 50.2429090909091, 50.2108823529412, 50.2108823529412, 50.2108823529412
