Date,EFA_Open,EFA_High,EFA_Low,EFA_Close,EFA_Volume,EFA_ATRPercentOfClose20,EFA_SQN25,EFA_SQN50,EFA_SQN100,EFA_SQN200,EFA_MACD,EFA_MACD_Avg,EFA_MACD_Diff,EFA_LinReg10,EFA_LinReg30,EFA_LinReg90,EFA_LinReg270
1/3/2017, 57.95, 58.11, 57.85, 58.09, 27938327, 0, 0, 0, 0, 0, 0, 0, 0, 58.09, 58.09, 58.09, 58.09
1/4/2017, 58.4, 58.78, 58.35, 58.75, 25670022, 0, 0, 0, 0, 0, 0.0526495726495781, 0.0105299145299156, 0.0421196581196625, 58.75, 58.75, 58.75, 58.75
1/5/2017, 58.9, 59.31, 58.9, 59.25, 22063115, 0, 0, 0, 0, 0, 0.133185282586993, 0.0350609881413311, 0.0981242944456619, 59.2766666666667, 59.2766666666667, 59.2766666666667, 59.2766666666667
1/6/2017, 58.97, 59.11, 58.91, 59.05, 22073717, 0, 0, 0, 0, 0, 0.17881086407543, 0.0638109633281509, 0.114999900747279, 59.292, 59.292, 59.292, 59.292
1/9/2017, 58.83, 58.99, 58.75, 58.96, 13962351, 0, 0, 0, 0, 0, 0.205340184454407, 0.0921168075534022, 0.113223376901005, 59.228, 59.228, 59.228, 59.228
1/10/2017, 58.92, 59.13, 58.92, 58.97, 16296577, 0, 0, 0, 0, 0, 0.224582926239023, 0.118610031290526, 0.105972894948497, 59.19, 59.19, 59.19, 59.19
1/11/2017, 58.85, 59.3, 58.78, 59.28, 31352400, 0, 0, 0, 0, 0, 0.261829143577522, 0.147253853747925, 0.114575289829596, 59.3057142857143, 59.3057142857143, 59.3057142857143, 59.3057142857143
1/12/2017, 59.36, 59.38, 59.11, 59.37, 25127259, 0, 0, 0, 0, 0, 0.295206332163779, 0.176844349431096, 0.118361982732683, 59.41, 59.41, 59.41, 59.41
1/13/2017, 59.42, 59.6, 59.33, 59.59, 20901856, 0, 0, 0, 0, 0, 0.335542233965967, 0.20858392633807, 0.126958307627896, 59.5571111111111, 59.5571111111111, 59.5571111111111, 59.5571111111111
1/17/2017, 59.41, 59.44, 59.27, 59.37, 22524825, 0, 0, 0, 0, 0, 0.345770735560656, 0.236021288182588, 0.109749447378068, 59.578, 59.578, 59.578, 59.578
1/18/2017, 59.19, 59.32, 59.02, 59.2, 14581351, 0, 0, 0, 0, 0, 0.336282858057224, 0.256073602157515, 0.0802092558997093, 59.428, 59.535, 59.535, 59.535
1/19/2017, 59.1, 59.18, 58.87, 59.05, 17619274, 0, 0, 0, 0, 0, 0.313051240548184, 0.267469129835649, 0.0455821107125352, 59.2976363636364, 59.4561538461539, 59.4561538461539, 59.4561538461539
1/20/2017, 59.26, 59.41, 59.18, 59.39, 24974054, 0, 0, 0, 0, 0, 0.318404802436568, 0.277656264355833, 0.0407485380807355, 59.3683636363636, 59.4879120879121, 59.4879120879121, 59.4879120879121
1/23/2017, 59.31, 59.54, 59.18, 59.54, 43093617, 0, 0, 0, 0, 0, 0.330936455740151, 0.288312302632696, 0.0426241531074547, 59.4432727272727, 59.5491428571428, 59.5491428571428, 59.5491428571428
1/24/2017, 59.44, 59.72, 59.42, 59.69, 18175974, 0, 0, 0, 0, 0, 0.348949158975273, 0.300439673901212, 0.0485094850740615, 59.5252727272728, 59.63175, 59.63175, 59.63175
1/25/2017, 60.01, 60.33, 59.99, 60.31, 27237612, 0, 0, 0, 0, 0, 0.408543736621297, 0.322060486445229, 0.0864832501760684, 59.7836363636364, 59.8372794117647, 59.8372794117647, 59.8372794117647
1/26/2017, 60.19, 60.25, 59.99, 60.07, 20838845, 0, 0, 0, 0, 0, 0.431433576809823, 0.343935104518148, 0.0874984722916756, 59.9480000000001, 59.9498039215686, 59.9498039215686, 59.9498039215686
1/27/2017, 60.02, 60.05, 59.86, 59.97, 13061016, 0, 0, 0, 0, 0, 0.436473382350016, 0.362442760084521, 0.0740306222654947, 60.0527272727273, 60.0195321637427, 60.0195321637427, 60.0195321637427
1/30/2017, 59.45, 59.58, 59.26, 59.54, 19146191, 0, 0, 0, 0, 0, 0.401145898002873, 0.370183387668192, 0.0309625103346817, 60.0201818181819, 59.9916842105263, 59.9916842105263, 59.9916842105263
1/31/2017, 59.65, 59.74, 59.39, 59.63, 29996755, 0, 0, 0, 0, 0, 0.376075693480153, 0.371361848830584, 0.00471384464956937, 59.9774545454546, 59.9835714285715, 59.9835714285715, 59.9835714285715
2/1/2017, 60, 60.03, 59.71, 59.87, 26726436, 0, 0, 0, 0, 0, 0.371293331606445, 0.371348145385756, -5.48137793112691E-05, 59.9694545454546, 60.0179653679654, 60.0179653679654, 60.0179653679654
2/2/2017, 59.93, 59.99, 59.73, 59.9, 14796655, 0.631233305509182, 0, 0, 0, 0, 0.365708366245492, 0.370220189557704, -0.00451182331221128, 59.9052727272728, 60.0510276679842, 60.0510276679842, 60.0510276679842
2/3/2017, 60.01, 60.18, 59.93, 60.14, 13963766, 0.620557553209179, 0, 0, 0, 0, 0.376310363569587, 0.37143822436008, 0.00487213920950669, 59.9456363636365, 60.1172826086956, 60.1172826086956, 60.1172826086956
2/6/2017, 59.52, 59.71, 59.48, 59.71, 16220209, 0.649042282490371, 0, 0, 0, 0, 0.346026340235817, 0.366355847535228, -0.020329507299411, 59.8265454545456, 60.1058666666667, 60.1058666666667, 60.1058666666667
2/7/2017, 59.58, 59.68, 59.53, 59.65, 12123012, 0.632298389826069, 0, 0, 0, 0, 0.313569896424625, 0.355798657313107, -0.0422287608884825, 59.7074545454547, 60.0859076923077, 60.0859076923077, 60.0859076923077
2/8/2017, 59.59, 59.81, 59.52, 59.75, 16749223, 0.62394592477772, 1.19450252109821, 0, 0, 0, 0.292544820544911, 0.343147889959468, -0.0506030694145564, 59.749090909091, 60.0821367521368, 60.0821367521368, 60.0821367521368
2/9/2017, 59.83, 60.02, 59.75, 60, 14299559, 0.612778842586589, 0.98135769426341, 0, 0, 0, 0.292681358581667, 0.333054583683908, -0.0403732251022404, 59.8596363636365, 60.1130687830688, 60.1130687830688, 60.1130687830688
2/10/2017, 59.93, 60.18, 59.91, 60.14, 13212119, 0.603232358287922, 0.744023222860327, 0, 0, 0, 0.300621023897278, 0.326567871726582, -0.0259468478293036, 60.0023636363638, 60.1584975369458, 60.1584975369458, 60.1584975369458
2/13/2017, 60.39, 60.47, 60.28, 60.38, 12694444, 0.598119813283601, 1.1153737533924, 0, 0, 0, 0.322560977932049, 0.325766492967675, -0.00320551503562616, 60.1327272727275, 60.2293793103448, 60.2293793103448, 60.2293793103448
2/14/2017, 60.17, 60.29, 59.92, 60.29, 14256634, 0.607210990375861, 1.11726120961827, 0, 0, 0, 0.32889500484896, 0.326392195343932, 0.00250280950502729, 60.2041818181821, 60.2801720430108, 60.2801720430108, 60.2801720430108
2/15/2017, 60.03, 60.52, 60.01, 60.52, 15460127, 0.616793011884875, 1.28640832341308, 0, 0, 0, 0.348457048674469, 0.33080516601004, 0.0176518826644291, 60.3670909090912, 60.3033333333333, 60.3530241935484, 60.3530241935484
2/16/2017, 60.54, 60.66, 60.46, 60.66, 14416534, 0.601086340674398, 1.16511154186881, 0, 0, 0, 0.370980506957423, 0.338840234199516, 0.0321402727579067, 60.5489090909094, 60.3725806451613, 60.4342045454545, 60.4342045454545
2/17/2017, 60.32, 60.52, 60.27, 60.5, 14938004, 0.604773595934603, 0.942834032562617, 0, 0, 0, 0.371635860233724, 0.345399359406358, 0.0262365008273659, 60.6820000000003, 60.4425376344086, 60.4878431372549, 60.4878431372549
2/21/2017, 60.44, 60.7, 60.42, 60.7, 11550324, 0.595706135524569, 0.925556506322577, 0, 0, 0, 0.383868563111356, 0.353093200147358, 0.0307753629639987, 60.7785454545457, 60.5164731182795, 60.5579831932773, 60.5579831932773
2/22/2017, 60.39, 60.74, 60.39, 60.7, 17129440, 0.594751141763167, 1.13646781629988, 0, 0, 0, 0.389078019062651, 0.360290163930416, 0.0287878551322351, 60.8090909090912, 60.5737634408602, 60.6206666666667, 60.6206666666667
2/23/2017, 60.88, 60.93, 60.67, 60.83, 12410639, 0.585177126249762, 1.41591702267377, 0, 0, 0, 0.399095934476762, 0.368051318039685, 0.0310446164370763, 60.847272727273, 60.6369892473118, 60.6906456456456, 60.6906456456456
2/24/2017, 60.17, 60.43, 60.14, 60.39, 16198702, 0.617097339961656, 1.09449649565444, 0, 0, 0, 0.367296911687518, 0.367900436769252, -0.000603525081733947, 60.7245454545458, 60.6530537634408, 60.70786628734, 60.70786628734
2/27/2017, 60.19, 60.44, 60.18, 60.43, 14039003, 0.607366919448455, 0.873764140161931, 0, 0, 0, 0.341388310793519, 0.362598011574105, -0.0212097007805863, 60.622363636364, 60.6730322580644, 60.726963562753, 60.726963562753
2/28/2017, 60.32, 60.52, 60.23, 60.34, 20439108, 0.60188968835195, 0.673376568335272, 0, 0, 0, 0.310019597149584, 0.352082328689201, -0.0420627315396175, 60.5212727272731, 60.6894193548386, 60.7349102564102, 60.7349102564102
3/1/2017, 60.75, 61.12, 60.73, 60.97, 20198030, 0.629852757182201, 0.963595214649057, 0, 0, 0, 0.332166393045078, 0.348099141560377, -0.0159327485152983, 60.6220000000004, 60.7662365591397, 60.8023048780488, 60.8023048780488
3/2/2017, 60.71, 60.78, 60.56, 60.57, 16452808, 0.636156785126776, 0.213534412829393, 0, 0, 0, 0.313823667401437, 0.341244046728589, -0.027420379327152, 60.5934545454549, 60.7706451612902, 60.8259233449478, 60.8259233449478
3/3/2017, 60.7, 61, 60.61, 60.93, 19149128, 0.63606459299807, 0.672711167414479, 0, 0, 0, 0.3245941966846, 0.337914076719791, -0.0133198800351905, 60.7145454545458, 60.8018924731182, 60.8801771871539, 60.8801771871539
3/6/2017, 60.73, 60.75, 60.57, 60.74, 10965776, 0.635786053157784, 0.599510512282349, 0, 0, 0, 0.314176871231986, 0.33316663562223, -0.0189897643902441, 60.7232727272731, 60.819569892473, 60.9125369978859, 60.9125369978859
