Date,GAF_Open,GAF_High,GAF_Low,GAF_Close,GAF_Volume,GAF_ATRPercentOfClose20,GAF_SQN25,GAF_SQN50,GAF_SQN100,GAF_SQN200,GAF_MACD,GAF_MACD_Avg,GAF_MACD_Diff,GAF_LinReg10,GAF_LinReg30,GAF_LinReg90,GAF_LinReg270
1/3/2017, 56.3, 56.65, 55.9, 56.5, 4958, 0, 0, 0, 0, 0, 0, 0, 0, 56.5, 56.5, 56.5, 56.5
1/4/2017, 56.55, 57.4, 55.35, 55.35, 6580, 0, 0, 0, 0, 0, -0.0917378917378926, -0.0183475783475785, -0.0733903133903141, 55.35, 55.35, 55.35, 55.35
1/5/2017, 56.4, 57.13, 55.97, 57.05, 3275, 0, 0, 0, 0, 0, -0.0269543266694328, -0.0200689280119494, -0.00688539865748339, 56.575, 56.575, 56.575, 56.575
1/6/2017, 56.83, 57.55, 56.29, 56.29, 5840, 0, 0, 0, 0, 0, -0.0365175810839418, -0.0233586586263479, -0.0131589224575939, 56.458, 56.458, 56.458, 56.458
1/9/2017, 56.7, 57.6, 56.7, 57.45, 2069, 0, 0, 0, 0, 0, 0.0489416079768645, -0.00889860530570538, 0.0578402132825699, 57.096, 57.096, 57.096, 57.096
1/10/2017, 57.2, 58.02, 56.53, 57.4, 9398, 0, 0, 0, 0, 0, 0.111350469970638, 0.0151512097495633, 0.0961992602210749, 57.3904761904762, 57.3904761904762, 57.3904761904762, 57.3904761904762
1/11/2017, 56.88, 57.67, 55.81, 57, 12754, 0, 0, 0, 0, 0, 0.127068518883483, 0.0375346715763473, 0.0895338473071359, 57.3628571428571, 57.3628571428571, 57.3628571428571, 57.3628571428571
1/12/2017, 58.24, 59.02, 57.44, 58.99, 7813, 0, 0, 0, 0, 0, 0.296681594027348, 0.0893640560665474, 0.2073175379608, 58.1658333333333, 58.1658333333333, 58.1658333333333, 58.1658333333333
1/13/2017, 59.34, 59.34, 57.92, 58.7, 2136, 0, 0, 0, 0, 0, 0.403054441002993, 0.152102133053837, 0.250952307949157, 58.5742222222222, 58.5742222222222, 58.5742222222222, 58.5742222222222
1/17/2017, 59, 59.25, 59, 59.15, 1347, 0, 0, 0, 0, 0, 0.517699213522341, 0.225221549147538, 0.292477664374804, 58.9992727272728, 58.9992727272728, 58.9992727272728, 58.9992727272728
