Date,VNQ_Open,VNQ_High,VNQ_Low,VNQ_Close,VNQ_Volume,VNQ_ATRPercentOfClose20,VNQ_SQN25,VNQ_SQN50,VNQ_SQN100,VNQ_SQN200,VNQ_MACD,VNQ_MACD_Avg,VNQ_MACD_Diff,VNQ_LinReg10,VNQ_LinReg30,VNQ_LinReg90,VNQ_LinReg270
1/3/2017, 82.98, 83, 82.14, 82.8, 9380344, 0, 0, 0, 0, 0, 0, 0, 0, 82.8, 82.8, 82.8, 82.8
1/4/2017, 82.91, 84.19, 82.83, 84.01, 6598743, 0, 0, 0, 0, 0, 0.0965242165242159, 0.0193048433048432, 0.0772193732193728, 84.01, 84.01, 84.01, 84.01
1/5/2017, 83.7, 84.38, 82.92, 84.28, 8555674, 0, 0, 0, 0, 0, 0.192587073156872, 0.053961289275249, 0.138625783881623, 84.4366666666666, 84.4366666666666, 84.4366666666666, 84.4366666666666
1/6/2017, 84.02, 84.7, 83.82, 84.29, 3901163, 0, 0, 0, 0, 0, 0.26645299133736, 0.0964596296876712, 0.169993361649689, 84.556, 84.556, 84.556, 84.556
1/9/2017, 84.53, 84.53, 83.5, 83.53, 3546074, 0, 0, 0, 0, 0, 0.260661867503416, 0.12930007725082, 0.131361790252596, 84.13, 84.13, 84.13, 84.13
1/10/2017, 83.57, 83.57, 82.78, 82.82, 3959633, 0, 0, 0, 0, 0, 0.196515979969647, 0.142743257794585, 0.0537727221750612, 83.5266666666667, 83.5266666666667, 83.5266666666667, 83.5266666666667
1/11/2017, 82.87, 82.96, 82.23, 82.31, 4498021, 0, 0, 0, 0, 0, 0.103335971446398, 0.134861800524948, -0.0315258290785496, 82.9414285714286, 82.9414285714286, 82.9414285714286, 82.9414285714286
1/12/2017, 82.4, 82.77, 81.6, 82.73, 4670739, 0, 0, 0, 0, 0, 0.0626583468604167, 0.120421109792042, -0.057762762931625, 82.7575, 82.7575, 82.7575, 82.7575
1/13/2017, 82.72, 83.02, 82.33, 82.61, 3658131, 0, 0, 0, 0, 0, 0.0205017082604684, 0.100437229485727, -0.0799355212252587, 82.5971111111111, 82.5971111111111, 82.5971111111111, 82.5971111111111
1/17/2017, 82.96, 83.32, 82.76, 83.25, 4139242, 0, 0, 0, 0, 0, 0.0382934961578059, 0.0880084828201428, -0.049714986662337, 82.7134545454546, 82.7134545454546, 82.7134545454546, 82.7134545454546
1/18/2017, 83.22, 83.67, 83.03, 83.39, 3317394, 0, 0, 0, 0, 0, 0.0629646291695991, 0.0829997120900341, -0.020035082920435, 82.6647272727272, 82.8454545454546, 82.8454545454546, 82.8454545454546
1/19/2017, 83.08, 83.25, 82.34, 82.54, 3169244, 0, 0, 0, 0, 0, 0.0137700509974223, 0.0691537798715118, -0.0553837288740894, 82.5321818181818, 82.6948717948718, 82.6948717948718, 82.6948717948718
1/20/2017, 82.57, 83.19, 82.38, 83.14, 3285567, 0, 0, 0, 0, 0, 0.0229336145263659, 0.0599097468024826, -0.0369761322761167, 82.7410909090909, 82.7487912087912, 82.7487912087912, 82.7487912087912
1/23/2017, 83.26, 83.97, 83, 83.84, 3165576, 0, 0, 0, 0, 0, 0.085692148749601, 0.0650662271919063, 0.0206259215576947, 83.256, 82.9725714285714, 82.9725714285714, 82.9725714285714
1/24/2017, 83.84, 84.21, 83.5, 83.86, 4204177, 0, 0, 0, 0, 0, 0.135480833411691, 0.0791491484358632, 0.0563316849758278, 83.6503636363636, 83.1543333333333, 83.1543333333333, 83.1543333333333
1/25/2017, 83.81, 84.16, 83.06, 83.31, 3461494, 0, 0, 0, 0, 0, 0.129070477139393, 0.0891334141765693, 0.0399370629628241, 83.6947272727272, 83.1744852941176, 83.1744852941176, 83.1744852941176
1/26/2017, 83.32, 83.72, 83.03, 83.15, 4093711, 0, 0, 0, 0, 0, 0.109813696844697, 0.0932694707101947, 0.0165442261345018, 83.5550909090908, 83.1566666666666, 83.1566666666666, 83.1566666666666
1/27/2017, 83.39, 83.5, 82.02, 82.34, 2996199, 0, 0, 0, 0, 0, 0.0288596530600245, 0.0803875071801607, -0.0515278541201362, 83.1738181818181, 82.9766666666667, 82.9766666666667, 82.9766666666667
1/30/2017, 82.1, 82.27, 81.57, 81.78, 3182619, 0, 0, 0, 0, 0, -0.0795671294272324, 0.0483965798586821, -0.127963709285915, 82.5963636363636, 82.7193157894737, 82.7193157894737, 82.7193157894737
1/31/2017, 81.8, 82.95, 81.8, 82.37, 11091498, 0, 0, 0, 0, 0, -0.116544612806948, 0.0154083413255561, -0.131952954132504, 82.3959999999999, 82.6148571428571, 82.6148571428571, 82.6148571428571
2/1/2017, 82.28, 82.89, 81.32, 81.38, 4555854, 0, 0, 0, 0, 0, -0.223161790807524, -0.0323056851010598, -0.190856105706464, 81.9296363636363, 82.3521645021644, 82.3521645021644, 82.3521645021644
2/2/2017, 81.43, 82.43, 81.42, 82.35, 4754825, 1.20092592592593, 0, 0, 0, 0, -0.226771696183377, -0.0711988873175233, -0.155572808865854, 81.7379999999999, 82.295138339921, 82.295138339921, 82.295138339921
2/3/2017, 82.96, 83.23, 82.46, 82.8, 4165139, 1.18781929347826, 0, 0, 0, 0, -0.191118240894568, -0.0951827580329322, -0.0959354828616356, 81.8321818181817, 82.3209782608696, 82.3209782608696, 82.3209782608696
2/6/2017, 82.9, 83.06, 82.49, 82.66, 2985824, 1.16481811789257, 0, 0, 0, 0, -0.172174727595404, -0.110581151945427, -0.0615935756499778, 82.0365454545453, 82.3224333333333, 82.3224333333333, 82.3224333333333
2/7/2017, 82.73, 83.03, 82.24, 82.37, 3250658, 1.15842748990834, 0, 0, 0, 0, -0.178504741647686, -0.124165869885878, -0.0543388717618073, 82.2090909090908, 82.2809846153847, 82.2809846153847, 82.2809846153847
2/8/2017, 82.62, 83.2, 82.3, 83.02, 3316789, 1.14609357656664, 0.0902417858500108, 0, 0, 0, -0.1295780604448, -0.125248307997663, -0.0043297524471371, 82.5774545454544, 82.3402564102564, 82.3402564102564, 82.3402564102564
2/9/2017, 83, 83.38, 82.92, 83.22, 2806990, 1.1138098328555, -0.260712806602702, 0, 0, 0, -0.073814101548578, -0.114961466707846, 0.0411473651592677, 82.9987272727271, 82.4210582010582, 82.4210582010582, 82.4210582010582
2/10/2017, 83.19, 83.86, 83.03, 83.81, 2983820, 1.10018722796471, -0.144164698144672, 0, 0, 0, 0.0177823232452994, -0.0884127087172168, 0.106195031962516, 83.4579999999999, 82.5728078817735, 82.5728078817735, 82.5728078817735
2/13/2017, 83.88, 84.2, 83.38, 83.84, 3968165, 1.09370654815048, -0.137241807699392, 0, 0, 0, 0.0917364187590834, -0.0523828832219567, 0.14411930198104, 83.7354545454544, 82.7114482758621, 82.7114482758621, 82.7114482758621
2/14/2017, 83.64, 83.69, 82.75, 83.4, 2688061, 1.10985058929364, -0.0290676426617494, 0, 0, 0, 0.113532517309665, -0.0191998031156325, 0.132732320425297, 83.8665454545453, 82.7790967741936, 82.7790967741936, 82.7790967741936
2/15/2017, 82.88, 83.25, 82.34, 83.12, 3687277, 1.12167302923166, 0.126268035760966, 0, 0, 0, 0.106979232501033, 0.00603600400770055, 0.100943228493332, 83.6467272727271, 82.773247311828, 82.8052419354839, 82.8052419354839
2/16/2017, 83.21, 84.17, 83.12, 83.61, 3097815, 1.12213597751762, 0.495218781540965, 0, 0, 0, 0.139714075086857, 0.0327716182235319, 0.106942456863325, 83.6952727272726, 82.9081720430109, 82.8873295454546, 82.8873295454546
2/17/2017, 83.81, 83.9, 83.07, 83.77, 2624200, 1.11353348007922, 0.401309461334299, 0, 0, 0, 0.176532381100401, 0.0615237707989057, 0.115008610301495, 83.8203636363635, 83.0839784946238, 82.9797326203208, 82.9797326203208
2/21/2017, 83.68, 84.93, 83.57, 84.84, 5646684, 1.12466601420232, 0.789445770143601, 0, 0, 0, 0.288722992579949, 0.106963615155114, 0.181759377424835, 84.2341818181816, 83.3995053763442, 83.1835462184874, 83.1835462184874
2/22/2017, 84.96, 85.25, 84.13, 84.56, 3464404, 1.13819573572231, 0.475356045671915, 0, 0, 0, 0.350995146957615, 0.155769921515615, 0.195225225442001, 84.3743636363635, 83.6252903225808, 83.337, 83.337
2/23/2017, 84.79, 85.07, 84.22, 85, 3430911, 1.12568870402405, 0.573980732016027, 0, 0, 0, 0.430883642302419, 0.210792665672975, 0.220090976629444, 84.6770909090907, 83.852924731183, 83.5228378378378, 83.5228378378378
2/24/2017, 84.98, 85.43, 84.52, 85.4, 3667437, 1.11767403805553, 1.06019242333548, 0, 0, 0, 0.520472820794183, 0.272728696697217, 0.247744124096966, 85.0499999999998, 84.0832473118281, 83.7330156472261, 83.7330156472261
2/27/2017, 85.39, 86.16, 85.32, 85.85, 3326666, 1.10514728838026, 1.00830366949548, 0, 0, 0, 0.620629894304315, 0.342308936218637, 0.278320958085679, 85.5774545454544, 84.3787311827958, 83.9697165991903, 83.9697165991903
2/28/2017, 85.85, 85.85, 85.06, 85.26, 5778083, 1.10348404846438, 0.533853756575627, 0, 0, 0, 0.644962303529582, 0.402839609680826, 0.242122693848756, 85.795818181818, 84.5712258064517, 84.1272179487179, 84.1272179487179
3/1/2017, 85, 85.49, 84.7, 85, 6282779, 1.09798702909964, 0.429830612490965, 0, 0, 0, 0.63593541840946, 0.449458771426552, 0.186476646982907, 85.7589090909089, 84.756301075269, 84.2458780487804, 84.2458780487804
3/2/2017, 84.88, 84.95, 84.25, 84.54, 3060437, 1.09312103855921, 0.468259600103913, 0, 0, 0, 0.584920788547137, 0.476551174850669, 0.108369613696468, 85.4198181818179, 84.881053763441, 84.3109756097561, 84.3109756097561
