Date,DIA_Open,DIA_High,DIA_Low,DIA_Close,DIA_Volume,DIA_ATRPercentOfClose20,DIA_SQN25,DIA_SQN50,DIA_SQN100,DIA_SQN200,DIA_MACD,DIA_MACD_Avg,DIA_MACD_Diff,DIA_LinReg10,DIA_LinReg30,DIA_LinReg90,DIA_LinReg270
1/3/2017, 198.91, 199.1, 197.48, 198.42, 6669759, 0, 0, 0, 0, 0, 0, 0, 0, 198.42, 198.42, 198.42, 198.42
1/4/2017, 198.76, 199.36, 198.6, 199.15, 4823184, 0, 0, 0, 0, 0, 0.0582336182336292, 0.0116467236467258, 0.0465868945869033, 199.15, 199.15, 199.15, 199.15
1/5/2017, 198.95, 199.27, 197.9, 198.75, 4124542, 0, 0, 0, 0, 0, 0.0712857850179489, 0.0235745359209704, 0.0477112490969785, 198.938333333333, 198.938333333333, 198.938333333333, 198.938333333333
1/6/2017, 198.73, 199.83, 198.17, 199.51, 4322585, 0, 0, 0, 0, 0, 0.141326248623727, 0.0471248784615218, 0.0942013701622054, 199.388, 199.388, 199.388, 199.388
1/9/2017, 199.09, 199.27, 198.75, 198.76, 2303543, 0, 0, 0, 0, 0, 0.134761640353361, 0.0646522308398896, 0.0701094095134711, 199.126, 199.126, 199.126, 199.126
1/10/2017, 198.72, 199.41, 198.21, 198.4, 3029218, 0, 0, 0, 0, 0, 0.0993647348383604, 0.0715947316395837, 0.0277700031987766, 198.795238095238, 198.795238095238, 198.795238095238, 198.795238095238
1/11/2017, 198.63, 199.57, 198.15, 199.33, 5209773, 0, 0, 0, 0, 0, 0.144687789094831, 0.0862133431306333, 0.0584744459641982, 199.035714285714, 199.035714285714, 199.035714285714, 199.035714285714
1/12/2017, 198.88, 198.91, 197.53, 198.75, 3865239, 0, 0, 0, 0, 0, 0.132280634576716, 0.0954268014198499, 0.0368538331568664, 198.9425, 198.9425, 198.9425, 198.9425
1/13/2017, 198.91, 199.35, 198.32, 198.7, 3468891, 0, 0, 0, 0, 0, 0.117063853862248, 0.0997542119083296, 0.0173096419539188, 198.861333333333, 198.861333333333, 198.861333333333, 198.861333333333
1/17/2017, 198.27, 198.65, 197.59, 198.09, 3329829, 0, 0, 0, 0, 0, 0.0551468449963579, 0.0908327385259353, -0.0356858935295773, 198.594545454545, 198.594545454545, 198.594545454545, 198.594545454545
1/18/2017, 198.08, 198.23, 197.3, 197.95, 4634930, 0, 0, 0, 0, 0, -0.00516017727744611, 0.071634155365259, -0.0767943326427051, 198.232545454545, 198.360454545454, 198.360454545454, 198.360454545454
