Date,XAU_Open,XAU_High,XAU_Low,XAU_Close,XAU_Volume,XAU_ATRPercentOfClose20,XAU_SQN25,XAU_SQN50,XAU_SQN100,XAU_SQN200,XAU_MACD,XAU_MACD_Avg,XAU_MACD_Diff,XAU_LinReg10,XAU_LinReg30,XAU_LinReg90,XAU_LinReg270
1/3/2017, 79.46, 82.1, 79.45, 82.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82.01, 82.01, 82.01, 82.01
1/4/2017, 83.04, 83.46, 81.84, 83.39, 0, 0, 0, 0, 0, 0, 0.11008547008548, 0.0220170940170959, 0.0880683760683837, 83.39, 83.39, 83.39, 83.39
1/5/2017, 84.7, 88.42, 84.7, 87.93, 0, 0, 0, 0, 0, 0, 0.557245476903603, 0.129062770594397, 0.428182706309206, 87.4033333333333, 87.4033333333333, 87.4033333333333, 87.4033333333333
1/6/2017, 86.72, 87.87, 83.9, 85.31, 0, 0, 0, 0, 0, 0, 0.692231288776441, 0.241696474230806, 0.450534814545635, 86.826, 86.826, 86.826, 86.826
1/9/2017, 86.22, 87.03, 84.9, 85.4, 0, 0, 0, 0, 0, 0, 0.797280215015547, 0.352813222387754, 0.444466992627793, 86.548, 86.548, 86.548, 86.548
1/10/2017, 86.01, 87.9, 85.42, 86.5, 0, 0, 0, 0, 0, 0, 0.958246978137183, 0.47389997353764, 0.484347004599543, 86.9371428571429, 86.9371428571429, 86.9371428571429, 86.9371428571429
1/11/2017, 85.97, 87.32, 83.97, 86.41, 0, 0, 0, 0, 0, 0, 1.06626085832492, 0.592372150495097, 0.473888707829827, 87.0882142857143, 87.0882142857143, 87.0882142857143, 87.0882142857143
1/12/2017, 87.57, 88.79, 85.4, 86.22, 0, 0, 0, 0, 0, 0, 1.12357930168199, 0.698613580732474, 0.424965720949511, 87.0783333333333, 87.0783333333333, 87.0783333333333, 87.0783333333333
1/13/2017, 85.33, 87.27, 84.38, 87.04, 0, 0, 0, 0, 0, 0, 1.22109569688558, 0.803110003963096, 0.417985692922488, 87.3628888888889, 87.3628888888889, 87.3628888888889, 87.3628888888889
1/17/2017, 88.58, 89.8, 88.57, 89.1, 0, 0, 0, 0, 0, 0, 1.44791229487264, 0.932070462145005, 0.515841832727632, 88.2549090909091, 88.2549090909091, 88.2549090909091, 88.2549090909091
1/18/2017, 89.04, 90.03, 86.94, 87.96, 0, 0, 0, 0, 0, 0, 1.5181770107329, 1.04929177186258, 0.468885238870315, 88.1716363636364, 88.5131818181818, 88.5131818181818, 88.5131818181818
1/19/2017, 86.92, 88.4, 86.4, 87.56, 0, 0, 0, 0, 0, 0, 1.5240177196179, 1.14423696141365, 0.379780758204255, 87.9016363636363, 88.5702564102564, 88.5702564102564, 88.5702564102564
1/20/2017, 87.67, 89.81, 87.3, 88.68, 0, 0, 0, 0, 0, 0, 1.60057077963185, 1.23550372505729, 0.365067054574563, 88.6990909090909, 88.9082417582417, 88.9082417582417, 88.9082417582417
