Date,IYT_Open,IYT_High,IYT_Low,IYT_Close,IYT_Volume,IYT_ATRPercentOfClose20,IYT_SQN25,IYT_SQN50,IYT_SQN100,IYT_SQN200,IYT_MACD,IYT_MACD_Avg,IYT_MACD_Diff,IYT_LinReg10,IYT_LinReg30,IYT_LinReg90,IYT_LinReg270
1/3/2017, 163.52, 164.91, 161.58, 162.43, 306731, 0, 0, 0, 0, 0, 0, 0, 0, 162.43, 162.43, 162.43, 162.43
1/4/2017, 162.77, 164.16, 162.73, 163.93, 228019, 0, 0, 0, 0, 0, 0.119658119658112, 0.0239316239316224, 0.0957264957264897, 163.93, 163.93, 163.93, 163.93
1/5/2017, 163.38, 164.5, 162.25, 162.96, 220638, 0, 0, 0, 0, 0, 0.134664816032313, 0.0460782623517605, 0.0885865536805522, 163.371666666667, 163.371666666667, 163.371666666667, 163.371666666667
1/6/2017, 162.75, 164.51, 162.01, 163.76, 110117, 0, 0, 0, 0, 0, 0.208705221270975, 0.0786036541356034, 0.130101567135372, 163.723, 163.723, 163.723, 163.723
1/9/2017, 163.39, 163.47, 161.98, 162.42, 113498, 0, 0, 0, 0, 0, 0.157441091799626, 0.0943711416684079, 0.0630699501312181, 163.062, 163.062, 163.062, 163.062
1/10/2017, 162.41, 164.54, 162.35, 163.56, 284331, 0, 0, 0, 0, 0, 0.206422858261675, 0.116781484987061, 0.0896413732746136, 163.31380952381, 163.31380952381, 163.31380952381, 163.31380952381
1/11/2017, 163.99, 165.51, 163.99, 165.41, 659484, 0, 0, 0, 0, 0, 0.390024836449754, 0.1714301552796, 0.218594681170154, 164.316428571429, 164.316428571429, 164.316428571429, 164.316428571429
1/12/2017, 165.23, 165.23, 162.74, 164.59, 338341, 0, 0, 0, 0, 0, 0.46401470726434, 0.229947065676548, 0.234067641587792, 164.59, 164.59, 164.59, 164.59
1/13/2017, 164.79, 165.91, 164.79, 165.57, 226410, 0, 0, 0, 0, 0, 0.594872700554816, 0.302932192652202, 0.291940507902615, 165.130444444444, 165.130444444444, 165.130444444444, 165.130444444444
1/17/2017, 164.93, 165.25, 163.37, 163.78, 245390, 0, 0, 0, 0, 0, 0.547825570505438, 0.351910868222849, 0.195914702282589, 164.873818181818, 164.873818181818, 164.873818181818, 164.873818181818
1/18/2017, 163.09, 164.54, 162.44, 164.42, 262701, 0, 0, 0, 0, 0, 0.555776388039334, 0.392683972186146, 0.163092415853188, 164.791636363636, 164.885909090909, 164.885909090909, 164.885909090909
1/19/2017, 166.87, 167, 164.28, 165.02, 424322, 0, 0, 0, 0, 0, 0.603535274847502, 0.434854232718417, 0.168681042129085, 165.108181818182, 165.065384615385, 165.065384615385, 165.065384615385
1/20/2017, 165.27, 166.19, 164.42, 166.19, 122737, 0, 0, 0, 0, 0, 0.727408644570716, 0.493365115088877, 0.234043529481839, 165.575454545455, 165.516483516483, 165.516483516483, 165.516483516483
1/23/2017, 165.97, 165.97, 163.65, 164.61, 503929, 0, 0, 0, 0, 0, 0.69013098672346, 0.532718289415794, 0.157412697307667, 165.480727272727, 165.451714285714, 165.451714285714, 165.451714285714
1/24/2017, 164.65, 167.68, 164.65, 167.22, 231025, 0, 0, 0, 0, 0, 0.861265232151084, 0.598427677962852, 0.262837554188232, 165.973272727273, 166.026333333333, 166.026333333333, 166.026333333333
1/25/2017, 168.3, 169.79, 167.84, 169.66, 549901, 0, 0, 0, 0, 0, 1.18017365541033, 0.714776873452347, 0.465396781957982, 167.274909090909, 167.034926470588, 167.034926470588, 167.034926470588
1/26/2017, 169.54, 171.15, 169.36, 170.53, 356732, 0, 0, 0, 0, 0, 1.48598311915578, 0.869018122593033, 0.616964996562743, 168.914363636364, 168.030784313725, 168.030784313725, 168.030784313725
1/27/2017, 170.57, 170.57, 169.1, 170.04, 441347, 0, 0, 0, 0, 0, 1.66955482870955, 1.02912546381634, 0.640429364893214, 169.941272727273, 168.737134502924, 168.737134502924, 168.737134502924
1/30/2017, 168.75, 168.75, 165.84, 167.77, 360356, 0, 0, 0, 0, 0, 1.61326993073934, 1.14595435720094, 0.467315573538399, 170.082727272727, 168.870736842105, 168.870736842105, 168.870736842105
1/31/2017, 167.01, 167.29, 164.33, 165.4, 530150, 0, 0, 0, 0, 0, 1.36172740462885, 1.18910896668652, 0.172618437942332, 168.927454545455, 168.534142857143, 168.534142857143, 168.534142857143
2/1/2017, 165.53, 166.24, 163.66, 165.02, 424007, 0, 0, 0, 0, 0, 1.11881827557218, 1.17505082846365, -0.0562325528914707, 167.680545454545, 168.176277056277, 168.176277056277, 168.176277056277
2/2/2017, 164.2, 164.91, 162.9, 163.85, 338673, 1.45013655782728, 0, 0, 0, 0, 0.822421456219274, 1.10452495401478, -0.282103497795502, 166.116727272727, 167.66790513834, 167.66790513834, 167.66790513834
2/3/2017, 164.8, 166.55, 164.58, 166.34, 534061, 1.43816659402429, 0, 0, 0, 0, 0.779461880302136, 1.03951233927225, -0.260050458970112, 165.710909090909, 167.634565217391, 167.634565217391, 167.634565217391
2/6/2017, 166.43, 167.61, 165.69, 166.23, 139254, 1.4249136719455, 0, 0, 0, 0, 0.728146407657022, 0.977239152949203, -0.249092745292182, 164.942909090909, 167.5849, 167.5849, 167.5849
2/7/2017, 166.49, 167.09, 165.65, 165.92, 404266, 1.39959154835538, 0, 0, 0, 0, 0.654914668033001, 0.912774255965963, -0.257859587932962, 164.501454545455, 167.491815384615, 167.491815384615, 167.491815384615
2/8/2017, 165.77, 166.59, 165.04, 166.45, 231848, 1.37193882978653, 0.584899560974829, 0, 0, 0, 0.632355160714667, 0.856690436915704, -0.224335276201037, 164.802, 167.484786324786, 167.484786324786, 167.484786324786
2/9/2017, 166.84, 168.85, 166.58, 168.17, 547153, 1.36136800444235, 0.607112425376419, 0, 0, 0, 0.74468198363374, 0.834288746259311, -0.0896067626255713, 166.045818181818, 167.717169312169, 167.717169312169, 167.717169312169
