Date,ECH_Open,ECH_High,ECH_Low,ECH_Close,ECH_Volume,ECH_ATRPercentOfClose20,ECH_SQN25,ECH_SQN50,ECH_SQN100,ECH_SQN200,ECH_MACD,ECH_MACD_Avg,ECH_MACD_Diff,ECH_LinReg10,ECH_LinReg30,ECH_LinReg90,ECH_LinReg270
1/3/2017, 37.48, 37.8, 37.18, 37.24, 366191, 0, 0, 0, 0, 0, 0, 0, 0, 37.24, 37.24, 37.24, 37.24
1/4/2017, 37.48, 37.61, 37.28, 37.29, 303776, 0, 0, 0, 0, 0, 0.00398860398860279, 0.000797720797720558, 0.00319088319088223, 37.29, 37.29, 37.29, 37.29
1/5/2017, 37.69, 37.86, 37.64, 37.82, 535310, 0, 0, 0, 0, 0, 0.0493473267262416, 0.0105076419834248, 0.0388396847428169, 37.74, 37.74, 37.74, 37.74
1/6/2017, 37.69, 37.77, 37.47, 37.54, 77898, 0, 0, 0, 0, 0, 0.0619862425266646, 0.0208033620920727, 0.0411828804345919, 37.687, 37.687, 37.687, 37.687
1/9/2017, 37.32, 37.46, 37.22, 37.22, 96471, 0, 0, 0, 0, 0, 0.0456550655323866, 0.0257737027801355, 0.0198813627522511, 37.464, 37.464, 37.464, 37.464
1/10/2017, 37.39, 37.58, 37.31, 37.41, 569616, 0, 0, 0, 0, 0, 0.0474963933513095, 0.0301182408943703, 0.0173781524569392, 37.4457142857143, 37.4457142857143, 37.4457142857143, 37.4457142857143
1/11/2017, 37.53, 37.9, 37.3, 37.84, 194294, 0, 0, 0, 0, 0, 0.0826997539689671, 0.0406345435092897, 0.0420652104596774, 37.6342857142857, 37.6342857142857, 37.6342857142857, 37.6342857142857
1/12/2017, 38.35, 38.54, 38.32, 38.41, 521969, 0, 0, 0, 0, 0, 0.154808372641277, 0.0634693093356871, 0.0913390633055899, 37.9875, 37.9875, 37.9875, 37.9875
1/13/2017, 38.59, 38.75, 38.47, 38.73, 154379, 0, 0, 0, 0, 0, 0.235066596699177, 0.0977887668083851, 0.137277829890792, 38.3375555555556, 38.3375555555556, 38.3375555555556, 38.3375555555556
1/17/2017, 38.6, 38.78, 38.5, 38.71, 124561, 0, 0, 0, 0, 0, 0.293672708463063, 0.136965555139321, 0.156707153323743, 38.5669090909091, 38.5669090909091, 38.5669090909091, 38.5669090909091
1/18/2017, 38.75, 39.29, 38.67, 38.89, 164549, 0, 0, 0, 0, 0, 0.350601454620374, 0.179692735035531, 0.170908719584843, 38.82, 38.7827272727273, 38.7827272727273, 38.7827272727273
1/19/2017, 38.98, 38.98, 38.65, 38.77, 275970, 0, 0, 0, 0, 0, 0.381635640873313, 0.220081316203088, 0.161554324670225, 38.9516363636364, 38.9008974358974, 38.9008974358974, 38.9008974358974
1/20/2017, 38.9, 39.16, 38.68, 38.99, 133749, 0, 0, 0, 0, 0, 0.419150907699702, 0.259895234502411, 0.159255673197292, 39.1845454545455, 39.0456043956044, 39.0456043956044, 39.0456043956044
1/23/2017, 39.2, 39.4, 39.17, 39.4, 510593, 0, 0, 0, 0, 0, 0.476473114954572, 0.303210810592843, 0.173262304361729, 39.4392727272727, 39.258, 39.258, 39.258
1/24/2017, 39.31, 39.71, 39.23, 39.51, 317573, 0, 0, 0, 0, 0, 0.524728711921156, 0.347514390858506, 0.177214321062651, 39.5665454545455, 39.4468333333333, 39.4468333333333, 39.4468333333333
1/25/2017, 39.72, 40.2, 39.64, 40.08, 328303, 0, 0, 0, 0, 0, 0.602026074650851, 0.398416727616975, 0.203609347033876, 39.8038181818182, 39.7230147058823, 39.7230147058823, 39.7230147058823
1/26/2017, 40.12, 40.37, 39.82, 39.83, 526035, 0, 0, 0, 0, 0, 0.635782970525682, 0.445889976198716, 0.189892994326966, 39.8950909090909, 39.8880392156863, 39.8880392156863, 39.8880392156863
1/27/2017, 39.99, 40.02, 39.37, 39.44, 216834, 0, 0, 0, 0, 0, 0.62387417988031, 0.481486816935035, 0.142387362945275, 39.857090909091, 39.9391228070175, 39.9391228070175, 39.9391228070175
1/30/2017, 39.38, 39.54, 38.97, 38.98, 524416, 0, 0, 0, 0, 0, 0.570739096840427, 0.499337272916114, 0.0714018239243134, 39.6680000000001, 39.8880526315789, 39.8880526315789, 39.8880526315789
1/31/2017, 39.08, 39.15, 38.82, 38.88, 533281, 0, 0, 0, 0, 0, 0.51462768879675, 0.502395356092241, 0.0122323327045093, 39.4267272727274, 39.8235714285714, 39.8235714285714, 39.8235714285714
2/1/2017, 39.29, 39.37, 38.95, 38.95, 467036, 0, 0, 0, 0, 0, 0.47038510199561, 0.495993305272915, -0.0256082032773044, 39.2363636363637, 39.7788744588744, 39.7788744588744, 39.7788744588744
2/2/2017, 39.27, 39.72, 39.27, 39.59, 154179, 1.2525322051023, 0, 0, 0, 0, 0.481415723709873, 0.493077788960306, -0.0116620652504338, 39.2398181818183, 39.8472727272727, 39.8472727272727, 39.8472727272727
2/3/2017, 39.74, 40.24, 39.59, 40.22, 278844, 1.2520726628543, 0, 0, 0, 0, 0.534828139882471, 0.501427859144739, 0.0334002807377317, 39.4601818181819, 40.006304347826, 40.006304347826, 40.006304347826
2/6/2017, 40.06, 40.2, 39.91, 39.94, 196089, 1.23661603342514, 0, 0, 0, 0, 0.548244384577451, 0.510791164231282, 0.0374532203461695, 39.5987272727274, 40.0972666666666, 40.0972666666666, 40.0972666666666
2/7/2017, 39.84, 39.86, 39.58, 39.62, 223656, 1.22970525381752, 0, 0, 0, 0, 0.526980822619642, 0.514029095908954, 0.012951726710688, 39.6192727272728, 40.1257846153846, 40.1257846153846, 40.1257846153846
2/8/2017, 39.83, 39.83, 39.52, 39.69, 408524, 1.20521229650888, 1.47491071738437, 0, 0, 0, 0.509899902879248, 0.513203257303013, -0.00330335442376484, 39.7720000000001, 40.1588888888889, 40.1588888888889, 40.1588888888889
2/9/2017, 39.81, 40.2, 39.76, 40.15, 124424, 1.19534575955207, 1.67590811606913, 0, 0, 0, 0.527401747494274, 0.516042955341265, 0.0113587921530089, 40.0549090909092, 40.2506084656084, 40.2506084656084, 40.2506084656084
2/10/2017, 40.4, 41.05, 40.33, 41.05, 220354, 1.22030391312338, 1.75357523573778, 0, 0, 0, 0.606898614386459, 0.534214087150304, 0.0726845272361555, 40.5532727272728, 40.4515763546798, 40.4515763546798, 40.4515763546798
2/13/2017, 40.84, 41.21, 40.77, 41.21, 105429, 1.20817281853989, 2.04701801302845, 0, 0, 0, 0.675029793696439, 0.562377228459531, 0.112652565236908, 40.927090909091, 40.6485517241379, 40.6485517241379, 40.6485517241379
