Date,IXJ_Open,IXJ_High,IXJ_Low,IXJ_Close,IXJ_Volume,IXJ_ATRPercentOfClose20,IXJ_SQN25,IXJ_SQN50,IXJ_SQN100,IXJ_SQN200,IXJ_MACD,IXJ_MACD_Avg,IXJ_MACD_Diff,IXJ_LinReg10,IXJ_LinReg30,IXJ_LinReg90,IXJ_LinReg270
1/3/2017, 95.34, 95.97, 95.22, 95.95, 59181, 0, 0, 0, 0, 0, 0, 0, 0, 95.95, 95.95, 95.95, 95.95
1/4/2017, 96.03, 96.71, 95.99, 96.59, 94791, 0, 0, 0, 0, 0, 0.0510541310541299, 0.010210826210826, 0.0408433048433039, 96.5899999999999, 96.5899999999999, 96.5899999999999, 96.5899999999999
1/5/2017, 96.92, 97.56, 96.83, 97.52, 42319, 0, 0, 0, 0, 0, 0.164660027110159, 0.0411006663906926, 0.123559360719466, 97.4716666666667, 97.4716666666667, 97.4716666666667, 97.4716666666667
1/6/2017, 97.46, 97.71, 97.16, 97.54, 101281, 0, 0, 0, 0, 0, 0.253386469580164, 0.0835578270285869, 0.169828642551577, 97.755, 97.755, 97.755, 97.755
1/9/2017, 97.45, 98.01, 97.38, 97.83, 48703, 0, 0, 0, 0, 0, 0.343147796648339, 0.135475820952537, 0.207671975695801, 98.028, 98.028, 98.028, 98.028
1/10/2017, 98.01, 98.62, 97.95, 98.2, 49679, 0, 0, 0, 0, 0, 0.439078776013446, 0.196196411964719, 0.242882364048727, 98.3423809523809, 98.3423809523809, 98.3423809523809, 98.3423809523809
1/11/2017, 98.14, 98.23, 96.55, 97.19, 134144, 0, 0, 0, 0, 0, 0.428664827926127, 0.242690095157001, 0.185974732769127, 98.0367857142857, 98.0367857142857, 98.0367857142857, 98.0367857142857
1/12/2017, 96.63, 97.04, 96.43, 97.02, 51685, 0, 0, 0, 0, 0, 0.40205942896398, 0.274563961918397, 0.127495467045584, 97.7641666666667, 97.7641666666667, 97.7641666666667, 97.7641666666667
1/13/2017, 97.16, 97.57, 97.02, 97.26, 52773, 0, 0, 0, 0, 0, 0.395778168478358, 0.298806803230389, 0.0969713652479694, 97.6686666666667, 97.6686666666667, 97.6686666666667, 97.6686666666667
1/17/2017, 96.94, 97.04, 96.3, 96.95, 96265, 0, 0, 0, 0, 0, 0.361617315750564, 0.311368905734424, 0.0502484100161402, 97.4916363636364, 97.4916363636364, 97.4916363636364, 97.4916363636364
1/18/2017, 96.9, 96.92, 96.54, 96.67, 33196, 0, 0, 0, 0, 0, 0.308395937507981, 0.310774312089136, -0.00237837458115409, 97.0558181818182, 97.2736363636364, 97.2736363636364, 97.2736363636364
1/19/2017, 96.48, 96.53, 95.93, 96.13, 324431, 0, 0, 0, 0, 0, 0.220106869796467, 0.292640823630602, -0.0725339538341347, 96.5221818181818, 96.9529487179487, 96.9529487179487, 96.9529487179487
1/20/2017, 96.23, 96.42, 95.9, 96.03, 32935, 0, 0, 0, 0, 0, 0.140448974925093, 0.2622024538895, -0.121753478964407, 96.1650909090909, 96.6838461538462, 96.6838461538462, 96.6838461538462
1/23/2017, 95.76, 95.99, 95.34, 95.61, 58680, 0, 0, 0, 0, 0, 0.0429341117076234, 0.218348785453125, -0.175414673745501, 95.7481818181818, 96.3697142857143, 96.3697142857143, 96.3697142857143
1/24/2017, 95.49, 95.49, 94.65, 95.03, 75978, 0, 0, 0, 0, 0, -0.080223506046309, 0.158634327153238, -0.238857833199547, 95.2941818181818, 95.985, 95.985, 95.985
1/25/2017, 95.62, 96.12, 95.34, 96.01, 120686, 0, 0, 0, 0, 0, -0.0976236509413155, 0.107382731534327, -0.205006382475643, 95.4054545454545, 95.9043382352942, 95.9043382352942, 95.9043382352942
1/26/2017, 96.3, 96.3, 95.71, 95.71, 150455, 0, 0, 0, 0, 0, -0.134075346788492, 0.0590911158697634, -0.193166462658256, 95.3305454545455, 95.7770588235294, 95.7770588235294, 95.7770588235294
1/27/2017, 95.74, 96.29, 95.74, 96.18, 37655, 0, 0, 0, 0, 0, -0.123613566078589, 0.0225501794800929, -0.146163745558682, 95.4647272727273, 95.7716374269006, 95.7716374269006, 95.7716374269006
1/30/2017, 95.86, 96.08, 95.45, 95.94, 35833, 0, 0, 0, 0, 0, -0.1331536117779, -0.00859057877150558, -0.124563033006394, 95.6098181818181, 95.7226842105264, 95.7226842105264, 95.7226842105264
1/31/2017, 95.55, 97.12, 95.46, 97.09, 103073, 0, 0, 0, 0, 0, -0.0473726947414264, -0.0163470019654897, -0.0310256927759366, 96.1621818181818, 95.8974285714286, 95.8974285714286, 95.8974285714286
2/1/2017, 97.16, 97.6, 96.91, 97.57, 100965, 0, 0, 0, 0, 0, 0.0586650345007058, -0.00134459467225063, 0.0600096291729564, 96.8167272727273, 96.1315151515152, 96.1315151515152, 96.1315151515152
2/2/2017, 97.31, 97.57, 97, 97.45, 44308, 0.820904309902515, 0, 0, 0, 0, 0.131501830522311, 0.0252246903666616, 0.106277140155649, 97.2727272727273, 96.3111067193677, 96.3111067193677, 96.3111067193677
2/3/2017, 98.07, 98.2, 97.56, 98.2, 98204, 0.812090313136457, 0, 0, 0, 0, 0.246898159821043, 0.069559384257538, 0.177338775563505, 97.8958181818182, 96.5878260869566, 96.5878260869566, 96.5878260869566
2/6/2017, 97.76, 98.05, 97.7, 97.99, 31154, 0.79865195747015, 0, 0, 0, 0, 0.317742598333496, 0.11919602707273, 0.198546571260766, 98.244, 96.7936666666667, 96.7936666666667, 96.7936666666667
2/7/2017, 98.32, 98.46, 97.98, 98.19, 30965, 0.781616356521794, 0, 0, 0, 0, 0.385580917984754, 0.172473005255134, 0.21310791272962, 98.4154545454546, 97.0023076923077, 97.0023076923077, 97.0023076923077
2/8/2017, 97.88, 98.25, 97.61, 98.14, 33340, 0.7755203234617, 0.840647833304087, 0, 0, 0, 0.430347910099144, 0.224047986223936, 0.206299923875208, 98.5932727272727, 97.1767521367522, 97.1767521367522, 97.1767521367522
2/9/2017, 98.52, 99, 98.47, 98.82, 23086, 0.775188082547102, 0.848396281288969, 0, 0, 0, 0.514762528877114, 0.282190894754572, 0.232571634122542, 98.8298181818182, 97.4246296296297, 97.4246296296297, 97.4246296296297
2/10/2017, 98.78, 99.2, 98.78, 99.01, 58735, 0.756225451989086, 0.598367479390316, 0, 0, 0, 0.590189793972357, 0.343790674598129, 0.246399119374228, 99.0563636363636, 97.6681034482759, 97.6681034482759, 97.6681034482759
2/13/2017, 99.18, 99.54, 99.18, 99.46, 45184, 0.741807640271139, 0.75774522233003, 0, 0, 0, 0.678456855867793, 0.410723910852062, 0.267732945015732, 99.2360000000001, 97.941724137931, 97.941724137931, 97.941724137931
2/14/2017, 99.27, 99.89, 99.09, 99.86, 24949, 0.74195051578509, 0.794534699919925, 0, 0, 0, 0.771789091189092, 0.482936946919468, 0.288852144269624, 99.5918181818183, 98.2346451612903, 98.2346451612903, 98.2346451612903
2/15/2017, 99.58, 100.97, 99.58, 100.75, 68195, 0.767609127354681, 0.952170784828823, 0, 0, 0, 0.907114471099632, 0.567772451755501, 0.339342019344132, 100.2, 98.5943870967742, 98.6042741935484, 98.6042741935484
2/16/2017, 101.06, 101.22, 100.51, 101.13, 81771, 0.761591897576732, 1.61200465138838, 0, 0, 0, 1.03311453261246, 0.660840867926892, 0.372273664685566, 100.742, 99.0140430107527, 98.9792045454545, 98.9792045454545
2/17/2017, 100.84, 101.23, 100.72, 101.23, 28432, 0.747987742485806, 1.73788820299812, 0, 0, 0, 1.1280363525144, 0.754279964844394, 0.373756387670006, 101.267818181818, 99.4790967741936, 99.3261140819964, 99.3261140819964
2/21/2017, 101.17, 101.64, 100.97, 101.55, 119662, 0.741337855374163, 1.76361147041957, 0, 0, 0, 1.2150772501297, 0.846439421901454, 0.368637828228241, 101.696909090909, 99.9621505376344, 99.6731932773109, 99.6731932773109
2/22/2017, 101.31, 101.64, 101.21, 101.45, 17753, 0.726157873362089, 1.87941878060592, 0, 0, 0, 1.26144744341656, 0.929441026204475, 0.332006417212082, 101.937272727273, 100.425978494624, 99.9742857142856, 99.9742857142856
2/23/2017, 101.79, 102.17, 101.5, 102.1, 41252, 0.720717732026981, 2.27073441080852, 0, 0, 0, 1.33525374934312, 1.0106035708322, 0.324650178510919, 102.214363636364, 100.973591397849, 100.31478978979, 100.31478978979
2/24/2017, 101.73, 102.33, 101.73, 102.33, 25803, 0.71245984968198, 2.74617188389097, 0, 0, 0, 1.3962102141079, 1.08772489948734, 0.308485314620553, 102.490909090909, 101.457892473118, 100.646358463727, 100.646358463727
2/27/2017, 102.06, 102.66, 102.03, 102.52, 47515, 0.706308189592852, 2.90778514121581, 0, 0, 0, 1.44321359574286, 1.15882263873845, 0.284390957004415, 102.679636363637, 101.921806451613, 100.965870445344, 100.965870445344
2/28/2017, 102.35, 102.77, 102.34, 102.38, 22817, 0.692910527614829, 3.14549895578958, 0, 0, 0, 1.45242463724328, 1.21754303843941, 0.234881598803869, 102.718545454546, 102.34847311828, 101.242012820513, 101.242012820513
3/1/2017, 102.91, 103.51, 102.65, 103.21, 36713, 0.70771408609966, 4.04318440781161, 0, 0, 0, 1.50930024369241, 1.27589447949001, 0.233405764202395, 102.96490909091, 102.826752688172, 101.572902439024, 101.572902439024
3/2/2017, 103.21, 103.53, 103.07, 103.12, 65012, 0.695219281274521, 3.6597631420318, 0, 0, 0, 1.52948141405918, 1.32661186640385, 0.202869547655331, 103.175454545455, 103.234559139785, 101.866097560976, 101.866097560976
3/3/2017, 103.15, 103.73, 103.15, 103.73, 29348, 0.685977650349727, 4.29145844088609, 0, 0, 0, 1.57652385336011, 1.3765942637951, 0.199929589565015, 103.543454545455, 103.642150537634, 102.189800664452, 102.189800664452
3/6/2017, 103.32, 103.48, 102.99, 103.2, 45542, 0.690878280884093, 3.46486672657856, 0, 0, 0, 1.55313517926986, 1.41190244689005, 0.141232732379807, 103.606545454546, 103.926795698925, 102.438424947146, 102.438424947146
3/7/2017, 102.5, 102.87, 102.2, 102.43, 70392, 0.710082072223728, 2.96127283565338, 0, 0, 0, 1.45568667188553, 1.42065929188915, 0.0350273799963827, 103.360181818182, 104.039483870968, 102.598303030303, 102.598303030303
3/8/2017, 102.33, 103.01, 102.32, 102.55, 198335, 0.707430729643907, 2.73672674045493, 0, 0, 0, 1.37232175388486, 1.41099178428829, -0.0386700304034291, 103.087272727273, 104.084731182796, 102.754589371981, 102.754589371981
3/9/2017, 102.6, 103.26, 102.6, 103.23, 17809, 0.702021411011659, 2.77970202370868, 0, 0, 0, 1.34561337933864, 1.39791610329836, -0.0523027239597171, 103.119272727274, 104.233075268817, 102.954773358002, 102.954773358002
3/10/2017, 103.67, 103.81, 103.37, 103.8, 19997, 0.69119640410209, 3.12392496759946, 0, 0, 0, 1.3548234747302, 1.38929757758473, -0.0344741028545323, 103.332545454546, 104.387161290323, 103.185691489362, 103.185691489362
3/13/2017, 103.89, 103.89, 103.45, 103.88, 15694, 0.677309177979467, 2.87278498503091, 0, 0, 0, 1.35298154405713, 1.38203437087921, -0.0290528268220791, 103.531272727274, 104.530537634409, 103.404940476191, 103.404940476191
3/14/2017, 103.41, 103.64, 103.35, 103.49, 24566, 0.671474862673512, 2.73215640801299, 0, 0, 0, 1.30500873177417, 1.3666292430582, -0.0616205112840347, 103.493090909092, 104.558752688172, 103.576334693878, 103.576334693878
3/15/2017, 103.4, 104.69, 103.4, 104.59, 42310, 0.692861524631204, 2.92246999213777, 0, 0, 0, 1.34030058845534, 1.36136351213763, -0.0210629236822921, 103.940363636365, 104.754494623656, 103.819764705882, 103.819764705882
3/16/2017, 104.6, 104.6, 103.69, 104, 221185, 0.705702572289603, 2.53820022872334, 2.25560100711507, 0, 0, 1.30561129567327, 1.35021306884476, -0.0446017731714834, 104.090545454546, 104.858989247312, 104.000294117647, 104.000294117647
3/17/2017, 103.84, 104, 103.4, 103.64, 25558, 0.701692533213168, 2.07015237255819, 1.97566089398919, 0, 0, 1.23483636491044, 1.32713772805789, -0.0923013631474567, 104.190363636365, 104.868322580645, 104.140420899855, 104.140420899855
3/20/2017, 103.73, 103.84, 103.39, 103.47, 17692, 0.689448569006496, 1.89493543195346, 1.70292664217414, 0, 0, 1.1517524577326, 1.29206067399283, -0.140308216260235, 104.130363636365, 104.866150537635, 104.257442348008, 104.257442348008
3/21/2017, 103.66, 103.81, 102.51, 102.55, 38006, 0.724235799740097, 1.21604575676847, 1.38956937273075, 0, 0, 1.00014253093818, 1.2336770453819, -0.233534514443725, 103.583818181819, 104.699247311828, 104.299212121212, 104.299212121212
3/22/2017, 102.67, 102.86, 102.26, 102.68, 28801, 0.716369908455197, 1.11475022053329, 1.34482830833128, 0, 0, 0.88033255945038, 1.1630081481956, -0.282675588745218, 103.099636363637, 104.532752688172, 104.346090909091, 104.346090909091
