Date,KXI_Open,KXI_High,KXI_Low,KXI_Close,KXI_Volume,KXI_ATRPercentOfClose20,KXI_SQN25,KXI_SQN50,KXI_SQN100,KXI_SQN200,KXI_MACD,KXI_MACD_Avg,KXI_MACD_Diff,KXI_LinReg10,KXI_LinReg30,KXI_LinReg90,KXI_LinReg270
1/3/2017, 92.03, 92.09, 91.7, 92.07, 15804, 0, 0, 0, 0, 0, 0, 0, 0, 92.07, 92.07, 92.07, 92.07
1/4/2017, 92.24, 92.57, 92.24, 92.47, 14673, 0, 0, 0, 0, 0, 0.0319088319088223, 0.00638176638176446, 0.0255270655270579, 92.47, 92.47, 92.47, 92.47
1/5/2017, 92.67, 93.15, 92.5, 93, 7387, 0, 0, 0, 0, 0, 0.0988241978555209, 0.0248702526765157, 0.0739539451790051, 92.9783333333334, 92.9783333333334, 92.9783333333334, 92.9783333333334
1/6/2017, 92.8, 92.91, 92.41, 92.84, 26561, 0, 0, 0, 0, 0, 0.137361032168684, 0.0473684085749494, 0.0899926235937346, 93.021, 93.021, 93.021, 93.021
1/9/2017, 92.8, 92.8, 92.47, 92.58, 18735, 0, 0, 0, 0, 0, 0.145247599996182, 0.0669442468591959, 0.0783033531369861, 92.87, 92.87, 92.87, 92.87
1/10/2017, 92.42, 92.42, 92.09, 92.09, 95421, 0, 0, 0, 0, 0, 0.110682972510631, 0.0756919919894829, 0.0349909805211479, 92.5276190476191, 92.5276190476191, 92.5276190476191, 92.5276190476191
1/11/2017, 92.01, 92.47, 92, 92.43, 11362, 0, 0, 0, 0, 0, 0.109463586617281, 0.0824463109150425, 0.0270172757022383, 92.4864285714285, 92.4864285714285, 92.4864285714285, 92.4864285714285
1/12/2017, 92.35, 92.56, 92.33, 92.47, 53172, 0, 0, 0, 0, 0, 0.110451662209471, 0.0880473811739281, 0.0224042810355425, 92.4775, 92.4775, 92.4775, 92.4775
1/13/2017, 92.48, 92.67, 92.44, 92.56, 6309, 0, 0, 0, 0, 0, 0.117146574286437, 0.0938672197964299, 0.0232793544900071, 92.5057777777778, 92.5057777777778, 92.5057777777778, 92.5057777777778
1/17/2017, 92.38, 93.26, 92.38, 93.2, 14566, 0, 0, 0, 0, 0, 0.172111003129814, 0.109515976463107, 0.0625950266667071, 92.7463636363636, 92.7463636363636, 92.7463636363636, 92.7463636363636
1/18/2017, 93.28, 93.5, 93.19, 93.19, 24373, 0, 0, 0, 0, 0, 0.212415202330405, 0.130095821636566, 0.0823193806938385, 92.8599999999999, 92.9140909090909, 92.9140909090909, 92.9140909090909
1/19/2017, 93.39, 93.39, 93.02, 93.09, 22571, 0, 0, 0, 0, 0, 0.233594672332785, 0.15079559177581, 0.082799080556975, 92.9579999999999, 93.0064102564102, 93.0064102564102, 93.0064102564102
1/20/2017, 93.3, 93.72, 93.3, 93.67, 14615, 0, 0, 0, 0, 0, 0.293794032906348, 0.179395280001918, 0.11439875290443, 93.3285454545454, 93.2336263736264, 93.2336263736264, 93.2336263736264
1/23/2017, 93.59, 93.95, 93.59, 93.88, 22670, 0, 0, 0, 0, 0, 0.354362830701533, 0.214388790141841, 0.139974040559692, 93.7030909090908, 93.4605714285714, 93.4605714285714, 93.4605714285714
1/24/2017, 93.83, 94.41, 93.83, 94.34, 23429, 0, 0, 0, 0, 0, 0.434473850846473, 0.258405802282767, 0.176068048563706, 94.1278181818181, 93.7473333333333, 93.7473333333333, 93.7473333333333
1/25/2017, 94.62, 94.7, 94.37, 94.64, 15354, 0, 0, 0, 0, 0, 0.516219250095673, 0.309968491845348, 0.206250758250325, 94.4621818181818, 94.0414705882353, 94.0414705882353, 94.0414705882353
1/26/2017, 94.37, 94.37, 94.05, 94.05, 17389, 0, 0, 0, 0, 0, 0.527316423295517, 0.353438078135382, 0.173878345160135, 94.5216363636363, 94.1488235294117, 94.1488235294117, 94.1488235294117
1/27/2017, 94.2, 94.2, 93.69, 93.83, 26915, 0, 0, 0, 0, 0, 0.51245162824361, 0.385240788157028, 0.127210840086583, 94.4247272727272, 94.1885964912281, 94.1885964912281, 94.1885964912281
1/30/2017, 93.35, 93.6, 93.27, 93.59, 13000, 0, 0, 0, 0, 0, 0.475820217553434, 0.403356674036309, 0.0724635435171246, 94.1887272727272, 94.172, 94.172, 94.172
1/31/2017, 93.58, 93.98, 93.58, 93.97, 11672, 0, 0, 0, 0, 0, 0.472011332054819, 0.417087605640011, 0.0549237264148083, 94.1558181818181, 94.2262857142858, 94.2262857142858, 94.2262857142858
2/1/2017, 94.15, 94.15, 93.43, 93.79, 11229, 0, 0, 0, 0, 0, 0.449289141626508, 0.423527912837311, 0.0257612287891976, 94.0167272727273, 94.2378787878789, 94.2378787878789, 94.2378787878789
2/2/2017, 94.09, 94.57, 94.09, 94.42, 17077, 0.531547871213727, 0, 0, 0, 0, 0.476623161756734, 0.434146962621195, 0.042476199135539, 94.0425454545454, 94.3528063241107, 94.3528063241107, 94.3528063241107
2/3/2017, 94.71, 95.2, 94.71, 94.99, 16242, 0.542997289188337, 0, 0, 0, 0, 0.538077187080901, 0.454933007513137, 0.0831441795677648, 94.3087272727273, 94.5421739130435, 94.5421739130435, 94.5421739130435
2/6/2017, 94.62, 94.62, 94.3, 94.41, 7103, 0.555559229689653, 0, 0, 0, 0, 0.533825187695783, 0.470711443549666, 0.0631137441461169, 94.3445454545454, 94.6125000000001, 94.6125000000001, 94.6125000000001
2/7/2017, 94.4, 94.99, 94.4, 94.93, 12808, 0.555965759309492, 0, 0, 0, 0, 0.565891852705207, 0.489747525380774, 0.0761443273244325, 94.6230909090909, 94.7500000000001, 94.7500000000001, 94.7500000000001
2/8/2017, 95.2, 95.69, 95.15, 95.69, 14937, 0.563684168196128, 1.81748635922681, 0, 0, 0, 0.645193178821359, 0.520836656068891, 0.124356522752468, 95.192, 94.9784615384616, 94.9784615384616, 94.9784615384616
2/9/2017, 95.59, 95.82, 95.52, 95.77, 14686, 0.550715162910652, 1.66749726466092, 0, 0, 0, 0.706352984994169, 0.557939921853946, 0.148413063140222, 95.6132727272727, 95.1879894179895, 95.1879894179895, 95.1879894179895
2/10/2017, 95.59, 95.73, 95.4, 95.66, 53869, 0.543120338640554, 1.36406038588081, 0, 0, 0, 0.737445676611131, 0.593841072805383, 0.143604603805747, 95.8587272727272, 95.3556650246306, 95.3556650246306, 95.3556650246306
2/13/2017, 95.77, 95.81, 95.48, 95.75, 22135, 0.532711718168539, 1.50638211481365, 0, 0, 0, 0.76058159538097, 0.627189177320501, 0.133392418060469, 95.9874545454546, 95.5138620689656, 95.5138620689656, 95.5138620689656
2/14/2017, 95.49, 95.59, 94.93, 95.45, 28567, 0.550621159391364, 1.48540041740902, 0, 0, 0, 0.746108807005413, 0.650973103257483, 0.09513570374793, 95.9707272727273, 95.614430107527, 95.614430107527, 95.614430107527
2/15/2017, 95.25, 96.13, 95.25, 95.98, 37639, 0.566044490317883, 2.07955505184933, 0, 0, 0, 0.768546265605707, 0.674487735727128, 0.094058529878579, 96.0203636363636, 95.7704086021507, 95.7674798387098, 95.7674798387098
2/16/2017, 95.92, 96.32, 95.71, 96.32, 21580, 0.567509371591309, 2.07359280938408, 0, 0, 0, 0.804489616183076, 0.700488111818318, 0.104001504364759, 96.194, 95.9709677419356, 95.9432386363637, 95.9432386363637
2/17/2017, 96.63, 97.39, 96.63, 97.27, 86304, 0.588869924314703, 2.36755956619061, 0, 0, 0, 0.89926586388691, 0.740243662232036, 0.159022201654874, 96.7061818181818, 96.3025591397851, 96.2093761140821, 96.2093761140821
2/21/2017, 97.07, 97.74, 96.74, 97.66, 48566, 0.608390422498327, 2.50232698115262, 0, 0, 0, 0.994383825889784, 0.791071694963586, 0.203312130926198, 97.1127272727273, 96.6454193548389, 96.4912436974791, 96.4912436974791
2/22/2017, 97.78, 98.09, 97.65, 98.06, 21123, 0.598048523639886, 2.4221098029532, 0, 0, 0, 1.0894832681896, 0.850754009608788, 0.238729258580808, 97.5841818181819, 96.9906021505378, 96.7879047619048, 96.7879047619048
