Date,IJJ_Open,IJJ_High,IJJ_Low,IJJ_Close,IJJ_Volume,IJJ_ATRPercentOfClose20,IJJ_SQN25,IJJ_SQN50,IJJ_SQN100,IJJ_SQN200,IJJ_MACD,IJJ_MACD_Avg,IJJ_MACD_Diff,IJJ_LinReg10,IJJ_LinReg30,IJJ_LinReg90,IJJ_LinReg270
1/3/2017, 146.64, 147.24, 145.35, 146.33, 2524624, 0, 0, 0, 0, 0, 0, 0, 0, 146.33, 146.33, 146.33, 146.33
1/4/2017, 146.78, 148.94, 146.78, 148.78, 1246144, 0, 0, 0, 0, 0, 0.195441595441594, 0.0390883190883187, 0.156353276353275, 148.78, 148.78, 148.78, 148.78
1/5/2017, 148.49, 148.64, 147, 147.61, 435433, 0, 0, 0, 0, 0, 0.253004764571699, 0.0818716081849948, 0.171133156386704, 148.213333333333, 148.213333333333, 148.213333333333, 148.213333333333
1/6/2017, 147.76, 148.05, 147, 147.32, 420053, 0, 0, 0, 0, 0, 0.272086965291038, 0.119914679606203, 0.152172285684835, 147.78, 147.78, 147.78, 147.78
1/9/2017, 147.08, 147.12, 145.65, 145.91, 384580, 0, 0, 0, 0, 0, 0.171458068814275, 0.130223357447818, 0.0412347113664569, 146.73, 146.73, 146.73, 146.73
1/10/2017, 146.24, 147.37, 145.96, 146.85, 234695, 0, 0, 0, 0, 0, 0.165649582186461, 0.137308602395546, 0.0283409797909146, 146.683333333333, 146.683333333333, 146.683333333333, 146.683333333333
1/11/2017, 147, 147.59, 146.44, 147.53, 144214, 0, 0, 0, 0, 0, 0.213456043293576, 0.152538090575152, 0.0609179527184235, 146.98, 146.98, 146.98, 146.98
1/12/2017, 147.4, 147.45, 145.05, 146.62, 144897, 0, 0, 0, 0, 0, 0.175886107770197, 0.157207694014161, 0.0186784137560355, 146.789166666667, 146.789166666667, 146.789166666667, 146.789166666667
1/13/2017, 146.95, 147.97, 146.95, 147.23, 117243, 0, 0, 0, 0, 0, 0.193107541673299, 0.164387663545989, 0.0287198781273107, 146.897111111111, 146.897111111111, 146.897111111111, 146.897111111111
1/17/2017, 146.94, 147.23, 145.95, 146.17, 121154, 0, 0, 0, 0, 0, 0.119841057789131, 0.155478342394617, -0.0356372846054863, 146.607636363636, 146.607636363636, 146.607636363636, 146.607636363636
1/18/2017, 146.47, 146.84, 145.84, 146.78, 213611, 0, 0, 0, 0, 0, 0.109733800526186, 0.146329434020931, -0.0365956334947449, 146.378545454546, 146.597727272727, 146.597727272727, 146.597727272727
1/19/2017, 146.92, 147.47, 144.93, 145.59, 316505, 0, 0, 0, 0, 0, 0.00563570665320867, 0.118190688547387, -0.112554981894178, 146.203818181818, 146.24217948718, 146.24217948718, 146.24217948718
1/20/2017, 146.06, 146.62, 145.69, 146.22, 208751, 0, 0, 0, 0, 0, -0.0257304433231127, 0.0894064621732867, -0.115136905496399, 146.186727272727, 146.15021978022, 146.15021978022, 146.15021978022
1/23/2017, 145.85, 146.27, 144.81, 145.63, 126980, 0, 0, 0, 0, 0, -0.0970773648906231, 0.0521096967605047, -0.149187061651128, 145.983636363636, 145.930857142857, 145.930857142857, 145.930857142857
1/24/2017, 146.37, 148.41, 146.37, 148.08, 228656, 0, 0, 0, 0, 0, 0.0435719400338712, 0.050402145415178, -0.00683020538130683, 146.437090909091, 146.354083333333, 146.354083333333, 146.354083333333
1/25/2017, 148.77, 149.39, 148.62, 149.22, 230223, 0, 0, 0, 0, 0, 0.244210889019911, 0.0891638941361246, 0.155046994883786, 147.354, 146.953382352941, 146.953382352941, 146.953382352941
1/26/2017, 149.32, 149.66, 148.46, 148.8, 170963, 0, 0, 0, 0, 0, 0.365119343193953, 0.14435498394769, 0.220764359246263, 148.132545454545, 147.347647058824, 147.347647058824, 147.347647058824
1/27/2017, 148.89, 149.17, 147.62, 147.91, 474996, 0, 0, 0, 0, 0, 0.3846901338637, 0.192422013930892, 0.192268119932807, 148.352363636364, 147.487543859649, 147.487543859649, 147.487543859649
1/30/2017, 147.04, 147.04, 145, 146.46, 296534, 0, 0, 0, 0, 0, 0.279969925597953, 0.209931596264304, 0.0700383293336489, 148.122909090909, 147.320052631579, 147.320052631579, 147.320052631579
1/31/2017, 146.18, 147.42, 145.54, 147.2, 171007, 0, 0, 0, 0, 0, 0.253764976949896, 0.218698272401423, 0.0350667045484729, 147.979090909091, 147.317, 147.317, 147.317
2/1/2017, 147.98, 148.53, 146.24, 146.84, 177000, 0, 0, 0, 0, 0, 0.201624176989725, 0.215283453319083, -0.0136592763293582, 147.776727272727, 147.250086580087, 147.250086580087, 147.250086580087
2/2/2017, 146.83, 147.48, 146.44, 146.99, 329462, 1.16482243690047, 0, 0, 0, 0, 0.170441223436995, 0.206315007342666, -0.0358737839056702, 147.384909090909, 147.218418972332, 147.218418972332, 147.218418972332
2/3/2017, 148.11, 149.06, 147.81, 148.96, 169619, 1.16142848751342, 0, 0, 0, 0, 0.301218781497539, 0.22529576217364, 0.0759230193238988, 147.723272727273, 147.512282608696, 147.512282608696, 147.512282608696
2/6/2017, 148.54, 148.95, 147.76, 148.02, 336771, 1.15089898746791, 0, 0, 0, 0, 0.325261383607682, 0.245288886460449, 0.0799724971472332, 147.469454545455, 147.617666666667, 147.617666666667, 147.617666666667
2/7/2017, 148.23, 148.53, 147, 147.45, 222271, 1.14946262949305, 0, 0, 0, 0, 0.294921412228376, 0.255215391614034, 0.0397060206143421, 147.378363636364, 147.622461538462, 147.622461538462, 147.622461538462
2/8/2017, 146.89, 147.54, 146.35, 147.45, 175478, 1.13234215993769, 0.217875333329978, 0, 0, 0, 0.267789851606665, 0.25773028361256, 0.0100595679941045, 147.549636363636, 147.626068376068, 147.626068376068, 147.626068376068
2/9/2017, 147.8, 149.06, 147.8, 148.86, 184777, 1.11961345498234, 0.0328746164246643, 0, 0, 0, 0.355959827169613, 0.277376192323971, 0.0785836348456423, 148.220545454546, 147.826402116402, 147.826402116402, 147.826402116402
2/10/2017, 149.63, 150, 149.17, 149.79, 218470, 1.09508228829186, 0.431820199548222, 0, 0, 0, 0.495170379793933, 0.320935029817963, 0.17423534997597, 149.031454545455, 148.128128078818, 148.128128078818, 148.128128078818
2/13/2017, 150.41, 150.67, 150.12, 150.22, 120862, 1.06664064149298, 0.568937053052796, 0, 0, 0, 0.632897503590272, 0.383327524572425, 0.249569979017847, 149.598363636364, 148.450482758621, 148.450482758621, 148.450482758621
2/14/2017, 149.97, 150.77, 149.57, 150.74, 168924, 1.04961668639261, 0.980374384780478, 0, 0, 0, 0.775072344130535, 0.461676488484047, 0.313395855646488, 150.287818181818, 148.801720430108, 148.801720430108, 148.801720430108
2/15/2017, 150.34, 151.19, 150.1, 150.98, 117354, 1.03164828680276, 0.847043635044129, 0, 0, 0, 0.896775454592188, 0.548696281705675, 0.348079172886512, 150.795090909091, 149.148752688172, 149.143185483871, 149.143185483871
2/16/2017, 150.91, 151.12, 149.95, 150.71, 103957, 1.02063794986668, 0.656551235261344, 0, 0, 0, 0.960368769573932, 0.631030779279327, 0.329337990294606, 151.013272727273, 149.594860215054, 149.415170454546, 149.415170454546
2/17/2017, 150.25, 150.6, 149.79, 150.59, 133973, 1.00092521517489, 0.835919681283932, 0, 0, 0, 0.989675568837981, 0.702759737191058, 0.286915831646924, 151.381090909091, 149.935290322581, 149.644046345811, 149.644046345811
2/21/2017, 150.99, 152.01, 150.94, 151.98, 140094, 0.988898945555518, 0.966353007131079, 0, 0, 0, 1.11224157317488, 0.784656104387823, 0.327585468787061, 151.952181818182, 150.41352688172, 150.005260504202, 150.005260504202
2/22/2017, 151.81, 151.91, 151, 151.51, 220124, 0.974709383263489, 1.1161463054069, 0, 0, 0, 1.15810107431437, 0.859345098373133, 0.29875597594124, 152.030909090909, 150.708064516129, 150.278571428572, 150.278571428572
2/23/2017, 151.91, 152.07, 150.12, 150.73, 138005, 0.995450857329918, 0.818132636914077, 0, 0, 0, 1.11861092763661, 0.911198264225829, 0.207412663410781, 151.618727272727, 150.930172043011, 150.441441441442, 150.441441441442
2/24/2017, 149.74, 150.75, 149.41, 150.66, 113699, 0.990588692015609, 1.09150830161275, 0, 0, 0, 1.06933960556555, 0.942826532493772, 0.126513073071774, 151.285454545454, 151.163698924731, 150.580540540541, 150.580540540541
2/27/2017, 150.58, 151.68, 150.29, 151.63, 1324624, 0.980874416158532, 1.1483958206011, 0, 0, 0, 1.09592942895074, 0.973447111785166, 0.122482317165574, 151.375090909091, 151.439440860215, 150.803846153846, 150.803846153846
