Date,WOOD_Open,WOOD_High,WOOD_Low,WOOD_Close,WOOD_Volume,WOOD_ATRPercentOfClose20,WOOD_SQN25,WOOD_SQN50,WOOD_SQN100,WOOD_SQN200,WOOD_MACD,WOOD_MACD_Avg,WOOD_MACD_Diff,WOOD_LinReg10,WOOD_LinReg30,WOOD_LinReg90,WOOD_LinReg270
1/3/2017, 53.76, 53.82, 53.51, 53.82, 146062, 0, 0, 0, 0, 0, 0, 0, 0, 53.82, 53.82, 53.82, 53.82
1/4/2017, 53.94, 54.4, 53.94, 54.3, 9605, 0, 0, 0, 0, 0, 0.038290598290601, 0.0076581196581202, 0.0306324786324808, 54.3, 54.3, 54.3, 54.3
1/5/2017, 54.42, 54.42, 54.16, 54.26, 23647, 0, 0, 0, 0, 0, 0.064663111500721, 0.0190591180266404, 0.0456039934740807, 54.3466666666667, 54.3466666666667, 54.3466666666667, 54.3466666666667
1/6/2017, 54.36, 54.41, 54.15, 54.26, 25132, 0, 0, 0, 0, 0, 0.0845884353946857, 0.0321649815002494, 0.0524234538944363, 54.352, 54.352, 54.352, 54.352
1/9/2017, 54.07, 54.34, 53.91, 53.91, 36570, 0, 0, 0, 0, 0, 0.0713152454495614, 0.0399950342901118, 0.0313202111594495, 54.138, 54.138, 54.138, 54.138
1/10/2017, 54.1, 54.43, 54.1, 54.24, 9478, 0, 0, 0, 0, 0, 0.0864280995330091, 0.0492816473386913, 0.0371464521943178, 54.1980952380953, 54.1980952380953, 54.1980952380953, 54.1980952380953
1/11/2017, 54.15, 54.62, 54.1, 54.38, 15603, 0, 0, 0, 0, 0, 0.10845181028747, 0.061115679928447, 0.0473361303590227, 54.2967857142857, 54.2967857142857, 54.2967857142857, 54.2967857142857
1/12/2017, 54.66, 54.75, 54.28, 54.58, 27835, 0, 0, 0, 0, 0, 0.140425352214329, 0.0769776143856234, 0.0634477378287059, 54.44, 54.44, 54.44, 54.44
1/13/2017, 54.6, 54.9, 54.6, 54.88, 30199, 0, 0, 0, 0, 0, 0.187807183043468, 0.0991435281171923, 0.0886636549262755, 54.6455555555556, 54.6455555555556, 54.6455555555556, 54.6455555555556
1/17/2017, 54.84, 54.84, 54.26, 54.29, 32043, 0, 0, 0, 0, 0, 0.175723920211105, 0.114459606535975, 0.0612643136751303, 54.5805454545455, 54.5805454545455, 54.5805454545455, 54.5805454545455
1/18/2017, 54.45, 54.45, 54.03, 54.12, 40603, 0, 0, 0, 0, 0, 0.150693171038043, 0.121706319436388, 0.0289868516016543, 54.4267272727273, 54.4777272727273, 54.4777272727273, 54.4777272727273
1/19/2017, 54.38, 54.65, 54.01, 54.17, 7910, 0, 0, 0, 0, 0, 0.133353488112846, 0.12403575317168, 0.00931773494116582, 54.3698181818182, 54.4153846153847, 54.4153846153847, 54.4153846153847
1/20/2017, 54.4, 54.45, 54.18, 54.34, 17343, 0, 0, 0, 0, 0, 0.131809822138827, 0.125590566965109, 0.00621925517371755, 54.3707272727273, 54.4141758241758, 54.4141758241758, 54.4141758241758
1/23/2017, 54.39, 54.73, 54.34, 54.66, 6699, 0, 0, 0, 0, 0, 0.154625356522267, 0.131397524876541, 0.0232278316457262, 54.4778181818182, 54.4948571428572, 54.4948571428572, 54.4948571428572
1/24/2017, 54.75, 55.44, 54.75, 55.4, 12427, 0, 0, 0, 0, 0, 0.229770001905059, 0.151072020282245, 0.0786979816228149, 54.7487272727273, 54.73625, 54.73625, 54.73625
1/25/2017, 55.67, 56.5, 55.67, 56.49, 12072, 0, 0, 0, 0, 0, 0.37297711721174, 0.195453039668144, 0.177524077543596, 55.3809090909091, 55.1759558823529, 55.1759558823529, 55.1759558823529
1/26/2017, 56.24, 56.24, 55.78, 55.98, 7220, 0, 0, 0, 0, 0, 0.44024221191399, 0.244410874117313, 0.195831337796677, 55.7421818181818, 55.4194117647059, 55.4194117647059, 55.4194117647059
1/27/2017, 56.09, 56.09, 55.66, 55.76, 20915, 0, 0, 0, 0, 0, 0.470375921872581, 0.289603883668366, 0.180772038204214, 55.9801818181819, 55.5712865497076, 55.5712865497076, 55.5712865497076
1/30/2017, 55.39, 55.39, 54.71, 54.96, 20835, 0, 0, 0, 0, 0, 0.424806880707692, 0.316644483076232, 0.10816239763146, 55.9374545454546, 55.5387894736842, 55.5387894736842, 55.5387894736842
1/31/2017, 54.79, 54.96, 54.64, 54.74, 9901, 0, 0, 0, 0, 0, 0.366713678875279, 0.326658322236041, 0.0400553566392375, 55.6963636363637, 55.4687142857143, 55.4687142857143, 55.4687142857143
2/1/2017, 55.04, 55.26, 54.76, 55.02, 25497, 0, 0, 0, 0, 0, 0.339356171127655, 0.329197892014364, 0.010158279113291, 55.4934545454546, 55.4576190476191, 55.4576190476191, 55.4576190476191
2/2/2017, 55.08, 55.14, 54.78, 55.12, 10981, 0.929701106676343, 0, 0, 0, 0, 0.322032127494879, 0.327764739110467, -0.00573261161558797, 55.286, 55.4636758893281, 55.4636758893281, 55.4636758893281
2/3/2017, 54.98, 55.08, 54.82, 55.08, 10721, 0.911090572803196, 0, 0, 0, 0, 0.301598393851016, 0.322531470058577, -0.0209330762075606, 55.0469090909091, 55.4609782608696, 55.4609782608696, 55.4609782608696
2/6/2017, 54.94, 54.94, 54.4, 54.8, 10448, 0.932002286724453, 0, 0, 0, 0, 0.259815857305533, 0.309988347507968, -0.050172490202435, 54.7347272727273, 55.4135666666667, 55.4135666666667, 55.4135666666667
2/7/2017, 55.22, 55.23, 55.04, 55.21, 9021, 0.917769227438417, 0, 0, 0, 0, 0.256825939985788, 0.299355866003532, -0.042529926017744, 54.7045454545455, 55.4332307692308, 55.4332307692308, 55.4332307692308
2/8/2017, 55.17, 55.65, 55.07, 55.65, 15855, 0.917098600081424, 0.913474594909684, 0, 0, 0, 0.286656335932022, 0.29681595998923, -0.0101596240572076, 55.0547272727273, 55.5133333333333, 55.5133333333333, 55.5133333333333
2/9/2017, 55.53, 55.77, 55.13, 55.77, 7410, 0.926747538816652, 0.748381392884855, 0, 0, 0, 0.316333639469015, 0.300719495885187, 0.0156141435838278, 55.3901818181819, 55.5993915343916, 55.5993915343916, 55.5993915343916
2/10/2017, 55.83, 55.96, 55.77, 55.91, 32632, 0.895197187047298, 0.837639195035828, 0, 0, 0, 0.347148237516869, 0.310005244211523, 0.0371429933053457, 55.7414545454546, 55.6931773399015, 55.6931773399015, 55.6931773399015
2/13/2017, 56.06, 56.32, 55.81, 56.14, 14172, 0.892375329380544, 0.947915080833676, 0, 0, 0, 0.385682201941634, 0.325140635757546, 0.0605415661840886, 56.0040000000001, 55.8053103448276, 55.8053103448276, 55.8053103448276
2/14/2017, 56.12, 56.35, 55.9, 56.35, 33882, 0.88452623676757, 1.25422336177086, 0, 0, 0, 0.428229527893329, 0.345758414184702, 0.0824711137086268, 56.2307272727273, 55.9305806451613, 55.9305806451613, 55.9305806451613
2/15/2017, 56.28, 56.85, 56.28, 56.85, 22253, 0.883041350391555, 1.31520018223261, 0, 0, 0, 0.496570258734188, 0.375920783094599, 0.120649475639589, 56.5983636363637, 56.0957419354839, 56.1027822580645, 56.1027822580645
2/16/2017, 56.85, 56.85, 56.57, 56.63, 12488, 0.8668701347567, 1.12404535472518, 0, 0, 0, 0.52690478849572, 0.406117584174824, 0.120787204320897, 56.8101818181819, 56.2454408602151, 56.2296022727273, 56.2296022727273
