Date,VTI_Open,VTI_High,VTI_Low,VTI_Close,VTI_Volume,VTI_ATRPercentOfClose20,VTI_SQN25,VTI_SQN50,VTI_SQN100,VTI_SQN200,VTI_MACD,VTI_MACD_Avg,VTI_MACD_Diff,VTI_LinReg10,VTI_LinReg30,VTI_LinReg90,VTI_LinReg270
1/3/2017, 116.15, 116.55, 115.49, 116.2, 2731646, 0, 0, 0, 0, 0, 0, 0, 0, 116.2, 116.2, 116.2, 116.2
1/4/2017, 116.47, 117.19, 116.42, 117.09, 3228738, 0, 0, 0, 0, 0, 0.0709971509971581, 0.0141994301994316, 0.0567977207977265, 117.09, 117.09, 117.09, 117.09
1/5/2017, 116.95, 117.09, 116.4, 116.86, 2604038, 0, 0, 0, 0, 0, 0.107465036809771, 0.0328525515214994, 0.0746124852882713, 117.046666666667, 117.046666666667, 117.046666666667, 117.046666666667
1/6/2017, 117.02, 117.52, 116.64, 117.23, 2317806, 0, 0, 0, 0, 0, 0.164327738950021, 0.0591475890072038, 0.105180149942817, 117.274, 117.274, 117.274, 117.274
1/9/2017, 117.1, 117.14, 116.74, 116.78, 2461680, 0, 0, 0, 0, 0, 0.171108172376719, 0.0815397056811069, 0.0895684666956125, 117.092, 117.092, 117.092, 117.092
1/10/2017, 116.76, 117.36, 116.62, 116.87, 2055428, 0, 0, 0, 0, 0, 0.181650014265131, 0.101561767397912, 0.080088246867219, 117.037619047619, 117.037619047619, 117.037619047619, 117.037619047619
1/11/2017, 116.91, 117.24, 116.49, 117.24, 2751838, 0, 0, 0, 0, 0, 0.217354875980959, 0.124720389114521, 0.092634486866438, 117.174285714286, 117.174285714286, 117.174285714286, 117.174285714286
1/12/2017, 117.04, 117.04, 116.01, 116.93, 2342402, 0, 0, 0, 0, 0, 0.218122447114666, 0.14340080071455, 0.0747216464001161, 117.126666666667, 117.126666666667, 117.126666666667, 117.126666666667
1/13/2017, 116.99, 117.4, 116.98, 117.22, 2031780, 0, 0, 0, 0, 0, 0.239371997750879, 0.162595040121816, 0.0767769576290634, 117.202222222222, 117.202222222222, 117.202222222222, 117.202222222222
1/17/2017, 116.86, 117.06, 116.47, 116.7, 2583709, 0, 0, 0, 0, 0, 0.211811138588359, 0.172438259815125, 0.0393728787732347, 117.072363636364, 117.072363636364, 117.072363636364, 117.072363636364
1/18/2017, 116.8, 117, 116.48, 116.97, 1901752, 0, 0, 0, 0, 0, 0.209342532252037, 0.179819114302507, 0.0295234179495302, 116.95, 117.064090909091, 117.064090909091, 117.064090909091
