Date,FXE_Open,FXE_High,FXE_Low,FXE_Close,FXE_Volume,FXE_ATRPercentOfClose20,FXE_SQN25,FXE_SQN50,FXE_SQN100,FXE_SQN200,FXE_MACD,FXE_MACD_Avg,FXE_MACD_Diff,FXE_LinReg10,FXE_LinReg30,FXE_LinReg90,FXE_LinReg270
1/3/2017, 100.98, 101.32, 100.46, 100.93, 533494, 0, 0, 0, 0, 0, 0, 0, 0, 100.93, 100.93, 100.93, 100.93
1/4/2017, 101.45, 101.98, 101.41, 101.87, 533794, 0, 0, 0, 0, 0, 0.0749857549857609, 0.0149971509971522, 0.0599886039886087, 101.87, 101.87, 101.87, 101.87
1/5/2017, 102.34, 103.09, 102.34, 102.98, 900409, 0, 0, 0, 0, 0, 0.221427748151399, 0.0562832704280015, 0.165144477723397, 102.951666666667, 102.951666666667, 102.951666666667, 102.951666666667
1/6/2017, 102.35, 102.78, 102.21, 102.29, 938873, 0, 0, 0, 0, 0, 0.278595375296547, 0.100745691401711, 0.177849683894836, 102.796, 102.796, 102.796, 102.796
1/9/2017, 102.32, 102.76, 102.2, 102.66, 352564, 0, 0, 0, 0, 0, 0.349725620207451, 0.150541677162859, 0.199183943044592, 102.922, 102.922, 102.922, 102.922
1/10/2017, 102.7, 102.98, 102.48, 102.55, 231525, 0, 0, 0, 0, 0, 0.392694038639561, 0.198972149458199, 0.193721889181362, 102.911904761905, 102.911904761905, 102.911904761905, 102.911904761905
1/11/2017, 101.9, 103.14, 101.53, 102.69, 1288853, 0, 0, 0, 0, 0, 0.433051699363972, 0.245788059439354, 0.187263639924618, 102.958571428571, 102.958571428571, 102.958571428571, 102.958571428571
1/12/2017, 103.34, 103.65, 103.04, 103.17, 519677, 0, 0, 0, 0, 0, 0.498026485408872, 0.296235744633257, 0.201790740775614, 103.178333333333, 103.178333333333, 103.178333333333, 103.178333333333
1/13/2017, 103.32, 103.44, 102.9, 103.31, 666897, 0, 0, 0, 0, 0, 0.554425232476433, 0.347873642201892, 0.20655159027454, 103.367777777778, 103.367777777778, 103.367777777778, 103.367777777778
1/17/2017, 103.94, 104.05, 103.8, 103.95, 871151, 0, 0, 0, 0, 0, 0.643348179808825, 0.406968549723279, 0.236379630085546, 103.711818181818, 103.711818181818, 103.711818181818, 103.711818181818
1/18/2017, 103.66, 103.91, 103.23, 103.27, 842244, 0, 0, 0, 0, 0, 0.651440538205321, 0.455862947419687, 0.195577590785634, 103.587454545455, 103.733636363636, 103.733636363636, 103.733636363636
1/19/2017, 103.03, 103.59, 102.82, 103.52, 1312478, 0, 0, 0, 0, 0, 0.670299901185999, 0.49875033817295, 0.171549563013049, 103.609818181818, 103.816794871795, 103.816794871795, 103.816794871795
1/20/2017, 103.52, 103.97, 103.44, 103.86, 851351, 0, 0, 0, 0, 0, 0.704559517182986, 0.539912173974957, 0.164647343208029, 103.881636363636, 103.967252747253, 103.967252747253, 103.967252747253
1/23/2017, 104.12, 104.38, 103.95, 104.32, 931669, 0, 0, 0, 0, 0, 0.76006708507596, 0.583943156195158, 0.176123928880802, 104.126363636364, 104.196285714286, 104.196285714286, 104.196285714286
1/24/2017, 104.33, 104.59, 104.08, 104.17, 404992, 0, 0, 0, 0, 0, 0.782928375190693, 0.623740199994265, 0.159188175196428, 104.282545454546, 104.33475, 104.33475, 104.33475
1/25/2017, 104.1, 104.39, 104.08, 104.39, 429596, 0, 0, 0, 0, 0, 0.809467239238529, 0.660885607843118, 0.148581631395411, 104.410363636364, 104.490588235294, 104.490588235294, 104.490588235294
1/26/2017, 103.72, 103.89, 103.46, 103.62, 981059, 0, 0, 0, 0, 0, 0.759610597233376, 0.680630605721169, 0.0789799915122066, 104.199818181818, 104.446078431373, 104.446078431373, 104.446078431373
1/27/2017, 103.93, 104.01, 103.67, 103.82, 1015402, 0, 0, 0, 0, 0, 0.727847010508739, 0.690073886678683, 0.0377731238300559, 104.103636363637, 104.446783625731, 104.446783625731, 104.446783625731
1/30/2017, 103.3, 103.95, 103.3, 103.81, 565876, 0, 0, 0, 0, 0, 0.693868735889623, 0.690832856520871, 0.00303587936875171, 103.996545454546, 104.442105263158, 104.442105263158, 104.442105263158
1/31/2017, 104.59, 104.93, 104.51, 104.81, 1002008, 0, 0, 0, 0, 0, 0.739112324311805, 0.700488750079058, 0.0386235742327464, 104.335636363637, 104.621, 104.621, 104.621
2/1/2017, 104.36, 104.7, 104.16, 104.51, 743270, 0, 0, 0, 0, 0, 0.742205023795705, 0.708832004822388, 0.0333730189733177, 104.388181818182, 104.715714285714, 104.715714285714, 104.715714285714
2/2/2017, 104.94, 105.04, 104.41, 104.44, 368268, 0.719056396016854, 0, 0, 0, 0, 0.73058585645353, 0.713182775148616, 0.0174030813049139, 104.398909090909, 104.78162055336, 104.78162055336, 104.78162055336
2/3/2017, 104.4, 104.78, 104.4, 104.64, 542089, 0.699955442469421, 0, 0, 0, 0, 0.729111171425259, 0.716368454403945, 0.0127427170213146, 104.496545454546, 104.868152173913, 104.868152173913, 104.868152173913
2/6/2017, 104.04, 104.37, 103.98, 104.32, 375376, 0.698630853383821, 0, 0, 0, 0, 0.694119766671776, 0.711918716857511, -0.0177989501857355, 104.533090909091, 104.890233333333, 104.890233333333, 104.890233333333
2/7/2017, 103.62, 103.89, 103.48, 103.71, 463989, 0.708100589082539, 0, 0, 0, 0, 0.610133682985477, 0.691561710083104, -0.0814280270976271, 104.328909090909, 104.815261538462, 104.815261538462, 104.815261538462
2/8/2017, 103.73, 103.95, 103.64, 103.71, 359131, 0.687641080793199, 1.13071411408242, 0, 0, 0, 0.537379529863884, 0.66072527403926, -0.123345744175376, 104.193818181819, 104.748034188034, 104.748034188034, 104.748034188034
