Date,EFG_Open,EFG_High,EFG_Low,EFG_Close,EFG_Volume,EFG_ATRPercentOfClose20,EFG_SQN25,EFG_SQN50,EFG_SQN100,EFG_SQN200,EFG_MACD,EFG_MACD_Avg,EFG_MACD_Diff,EFG_LinReg10,EFG_LinReg30,EFG_LinReg90,EFG_LinReg270
1/3/2017, 63.65, 63.86, 63.6, 63.79, 1065678, 0, 0, 0, 0, 0, 0, 0, 0, 63.79, 63.79, 63.79, 63.79
1/4/2017, 64.03, 64.48, 64.03, 64.48, 968619, 0, 0, 0, 0, 0, 0.0550427350427327, 0.0110085470085465, 0.0440341880341862, 64.48, 64.48, 64.48, 64.48
1/5/2017, 64.74, 65.2, 64.73, 65.16, 254223, 0, 0, 0, 0, 0, 0.15178513161419, 0.0391638639296752, 0.112621267684515, 65.1616666666667, 65.1616666666667, 65.1616666666667, 65.1616666666667
1/6/2017, 64.93, 65.03, 64.85, 64.92, 229209, 0, 0, 0, 0, 0, 0.206705412328418, 0.0726721736094238, 0.134033238718994, 65.198, 65.198, 65.198, 65.198
1/9/2017, 64.8, 65.08, 64.77, 65, 580462, 0, 0, 0, 0, 0, 0.25376027143696, 0.108889793174931, 0.144870478262029, 65.242, 65.242, 65.242, 65.242
1/10/2017, 65.08, 65.22, 65.01, 65.05, 229247, 0, 0, 0, 0, 0, 0.291723363086817, 0.145456507157308, 0.146266855929509, 65.277619047619, 65.277619047619, 65.277619047619, 65.277619047619
1/11/2017, 64.98, 65.37, 64.81, 65.34, 209074, 0, 0, 0, 0, 0, 0.341275946424034, 0.184620395010653, 0.156655551413381, 65.4232142857143, 65.4232142857143, 65.4232142857143, 65.4232142857143
1/12/2017, 65.4, 65.41, 65.14, 65.32, 1393273, 0, 0, 0, 0, 0, 0.37461456930734, 0.222619229869991, 0.15199533943735, 65.4975, 65.4975, 65.4975, 65.4975
1/13/2017, 65.4, 65.59, 65.29, 65.59, 1421341, 0, 0, 0, 0, 0, 0.418003922628358, 0.261696168421664, 0.156307754206694, 65.6417777777778, 65.6417777777778, 65.6417777777778, 65.6417777777778
1/17/2017, 65.31, 65.41, 65.23, 65.4, 548581, 0, 0, 0, 0, 0, 0.432078157593509, 0.295772566256033, 0.136305591337476, 65.6696363636364, 65.6696363636364, 65.6696363636364, 65.6696363636364
1/18/2017, 65.33, 65.42, 65.06, 65.24, 297869, 0, 0, 0, 0, 0, 0.425417479488218, 0.32170154890247, 0.103715930585748, 65.5078181818182, 65.6336363636364, 65.6336363636364, 65.6336363636364
1/19/2017, 65.16, 65.17, 64.91, 65.15, 255476, 0, 0, 0, 0, 0, 0.408171449867396, 0.338995529095455, 0.0691759207719408, 65.3738181818182, 65.5766666666667, 65.5766666666667, 65.5766666666667
1/20/2017, 65.3, 65.45, 65.21, 65.45, 338608, 0, 0, 0, 0, 0, 0.413939700735796, 0.353984363423523, 0.0599553373122724, 65.442909090909, 65.613076923077, 65.613076923077, 65.613076923077
1/23/2017, 65.39, 65.63, 65.26, 65.6, 664125, 0, 0, 0, 0, 0, 0.425707536023154, 0.368328997943449, 0.0573785380797045, 65.5, 65.6771428571429, 65.6771428571429, 65.6771428571429
1/24/2017, 65.62, 65.83, 65.57, 65.79, 187964, 0, 0, 0, 0, 0, 0.445232677219536, 0.383709733798667, 0.0615229434208694, 65.6016363636364, 65.771, 65.771, 65.771
1/25/2017, 66.07, 66.39, 66.02, 66.39, 313626, 0, 0, 0, 0, 0, 0.503319523715632, 0.40763169178206, 0.0956878319335721, 65.8774545454545, 65.9803676470589, 65.9803676470589, 65.9803676470589
1/26/2017, 66.28, 66.28, 66.08, 66.15, 157410, 0, 0, 0, 0, 0, 0.523948027110393, 0.430894958847727, 0.0930530682626664, 66.0552727272727, 66.0954901960784, 66.0954901960784, 66.0954901960784
1/27/2017, 66.22, 66.25, 66.03, 66.19, 467406, 0, 0, 0, 0, 0, 0.537329925472562, 0.452181952172694, 0.0851479732998686, 66.1987272727273, 66.1955555555555, 66.1955555555555, 66.1955555555555
1/30/2017, 65.68, 65.85, 65.49, 65.83, 176129, 0, 0, 0, 0, 0, 0.512972952104192, 0.464340152158993, 0.0486327999451989, 66.2243636363636, 66.206, 66.206, 66.206
1/31/2017, 65.96, 66.09, 65.78, 66.03, 132829, 0, 0, 0, 0, 0, 0.503998423657706, 0.472271806458736, 0.0317266171989696, 66.268, 66.2498571428572, 66.2498571428572, 66.2498571428572
2/1/2017, 66.3, 66.36, 66.05, 66.26, 406137, 0, 0, 0, 0, 0, 0.509571104519779, 0.479731666070945, 0.0298394384488343, 66.3247272727273, 66.3258008658009, 66.3258008658009, 66.3258008658009
2/2/2017, 66.36, 66.41, 66.1, 66.28, 279598, 0.575354556427278, 0, 0, 0, 0, 0.509725528505498, 0.485730438557855, 0.0239950899476431, 66.3147272727273, 66.391976284585, 66.391976284585, 66.391976284585
2/3/2017, 66.47, 66.59, 66.35, 66.54, 183355, 0.567745341148181, 0, 0, 0, 0, 0.524778418767752, 0.493540034599835, 0.0312383841679177, 66.3929090909091, 66.489347826087, 66.489347826087, 66.489347826087
2/6/2017, 65.97, 66.09, 65.84, 66.07, 401181, 0.596169006356894, 0, 0, 0, 0, 0.493098735426017, 0.493451774765071, -0.000353039339054395, 66.2792727272727, 66.498, 66.498, 66.498
2/7/2017, 66.06, 66.17, 66.01, 66.13, 252214, 0.577944078897626, 0, 0, 0, 0, 0.467445436677636, 0.488250507147584, -0.0208050704699482, 66.1987272727273, 66.5130769230769, 66.5130769230769, 66.5130769230769
